EM Mode,HSS,Preamp,Binning,Gain,Noise,Error
,MHz,,,e-/ADU,e-,e-
EM,30,1,1,17.2,209,
EM,30,1,2,17.2,271.24,0.07
EM,30,2,1,5.27,119,
EM,30,2,2,5.27,144.35,0.37
EM,20,1,1,16.4,158,
EM,20,1,2,16.4,171.54,0.05
EM,20,2,1,4.39,67.9,
EM,20,2,2,4.39,71.95,0.27
EM,10,1,1,16,76.1,
EM,10,1,2,16,87.04,0.02
EM,10,2,1,3.96,40,
EM,10,2,2,3.96,41.14,0.19
EM,1,1,1,15.9,24.8,
EM,1,1,2,15.9,32.75,0.05
EM,1,2,1,3.88,12.2,
EM,1,2,2,3.88,13.74,0.19
Convencional,1,1,1,3.37,6.67,
Convencional,1,1,2,3.37,6.94,0.22
Convencional,1,2,1,0.8,4.76,
Convencional,1,2,2,0.8,4.79,0.93
Convencional,0.1,1,1,3.35,8.78,
Convencional,0.1,1,2,3.35,8.84,0.22
Convencional,0.1,2,1,0.8,3.46,
Convencional,0.1,2,2,0.8,3.27,0.93
