Wavelength,Transmission
(nm),(%)
400,0.892
405,0.757
410,0.677
415,0.618
420,0.565
425,0.55
430,0.498
435,0.368
440,0.238
445,0.187
450,0.181
455,0.221
460,0.284
465,0.276
470,0.279
475,0.331
480,0.309
485,0.273
490,0.234
495,0.188
500,0.23
505,0.253
510,0.218
515,0.241
520,0.392
525,1.16
530,5.42
535,19.6
540,40.5
545,57.1
550,77.7
555,94.2
560,97.4
565,97.8
570,98.3
575,98.5
580,98.6
585,98.8
590,98.9
595,99
600,99.1
605,98
610,97.9
615,97.9
620,98.2
625,98.3
630,98.3
635,98.3
640,98.4
645,98.1
650,97.7
655,97.3
660,95.6
665,90.7
670,81.1
675,68
680,56.4
685,49.2
690,45.1
695,35.4
700,16.3
705,4.61
710,2.55
715,2.19
720,2.17
725,2.36
730,1.96
735,1.55
740,1.51
745,1.66
750,1.84
755,1.72
760,1.68
765,1.7
770,1.42
775,1.24
780,1.17
785,1.03
790,0.968
795,1.05
800,1.11
805,0.979
810,0.783
815,0.721
820,0.704
825,0.6
830,0.552
835,0.714
840,0.938
845,1
850,1.05
855,1.2
860,1.13
865,0.807
870,0.499
875,0.351
880,0.335
885,0.384
890,0.428
895,0.433
900,0.413
905,0.44
910,0.583
915,0.816
920,0.995
925,1.01
930,0.877
935,0.691
940,0.531
945,0.44
950,0.411
955,0.407
960,0.387
965,0.358
970,0.345
975,0.349
980,0.352
985,0.34
990,0.322
995,0.32
1000,0.341
1005,0.361
1010,0.358
1015,0.334
1020,0.309
1025,0.297
1030,0.3
1035,0.315
1040,0.343
1045,0.384
1050,0.431
1055,0.476
1060,0.532
1065,0.683
1070,1.08
1075,1.88
1080,3.1
1085,4.74
1090,6.8
1095,9.33
1100,12
