Wavelength,Transmission
(nm),(%)
350,"4,04"
355,"1,99"
360,"1,98"
365,"2,17"
370,"2,1"
375,"1,91"
380,"1,69"
385,"1,45"
390,"1,25"
395,"1,07"
400,"0,915"
405,"0,772"
410,"0,689"
415,"0,627"
420,"0,572"
425,"0,555"
430,"0,501"
435,"0,37"
440,"0,239"
445,"0,187"
450,"0,182"
455,"0,222"
460,"0,285"
465,"0,276"
470,"0,279"
475,"0,332"
480,"0,31"
485,"0,274"
490,"0,235"
495,"0,189"
500,"0,23"
505,"0,253"
510,"0,218"
515,"0,242"
520,"0,395"
525,"1,16"
530,"5,43"
535,"19,7"
540,"40,6"
545,"57,3"
550,78
555,"94,5"
560,"97,8"
565,98
570,"98,4"
575,"98,6"
580,"98,9"
585,"99,1"
590,"99,2"
595,"99,2"
600,"99,4"
605,99
610,"99,2"
615,"99,2"
620,"99,2"
625,"99,1"
630,99
635,"99,1"
640,"99,2"
645,"99,3"
650,"99,5"
655,"99,6"
660,"99,4"
665,"99,4"
670,"99,4"
675,"99,3"
680,"99,2"
685,"99,3"
690,"99,3"
695,"99,2"
700,"99,1"
705,99
710,99
715,"98,9"
720,"98,7"
725,"98,3"
730,"98,1"
735,"97,8"
740,"97,5"
745,97
750,"96,4"
755,"95,9"
760,"95,4"
765,"94,9"
770,"93,9"
775,"93,1"
780,93
785,"92,6"
790,"91,2"
795,"87,7"
800,"80,9"
805,"71,5"
810,"61,5"
815,"52,7"
820,"46,9"
825,"44,6"
830,"45,7"
835,"50,1"
840,"57,5"
845,"66,3"
850,"72,8"
855,"71,7"
860,"62,7"
865,"49,9"
870,"38,2"
875,"29,7"
880,"24,4"
885,"21,7"
890,"21,3"
895,23
900,"27,1"
905,"33,8"
910,43
915,"52,6"
920,"58,2"
925,56
930,"47,1"
935,"37,8"
940,31
945,"26,9"
950,25
955,"24,8"
960,25
965,"24,9"
970,"24,2"
975,"23,1"
980,"22,1"
985,"21,5"
990,"21,2"
995,"21,2"
1000,"21,2"
1005,"21,1"
1010,"20,6"
1015,"19,8"
1020,"18,8"
1025,"17,8"
1030,"16,9"
1035,"16,3"
1040,"16,2"
1045,"16,5"
1050,"17,2"
1055,"18,5"
1060,"20,3"
1065,"22,7"
1070,"25,7"
1075,"29,3"
1080,"33,1"
1085,"37,3"
1090,"41,6"
1095,46
1100,"50,2"
