Wavelength,Reflection
(nm),(%)
400,88.4
405,83.1
410,80.7
415,80.7
420,83.7
425,87.3
430,87.1
435,82.6
440,77.9
445,73.1
450,72
455,74.1
460,73.9
465,74.6
470,74
475,73.1
480,76.5
485,82.5
490,88.6
495,90.1
500,86.3
505,79.9
510,77.1
515,80.7
520,87
525,94
530,97.4
535,98
540,98.1
545,98.2
550,98.5
555,98.6
560,98.4
565,98.1
570,97.9
575,98.1
580,98.6
585,99
590,99.1
595,99
600,99
605,98.9
610,98.8
615,98.1
620,96.6
625,95.2
630,94.4
635,95.2
640,96.9
645,97.8
650,97.9
655,98.1
660,98.3
665,98.5
670,98.8
675,98.9
680,98.9
685,98.8
690,98.7
695,98.6
700,98.6
705,98.5
710,98.6
715,98.6
720,98.6
725,98.6
730,98.5
735,98.6
740,98.6
745,98.6
750,98.7
755,98.8
760,98.8
765,98.7
770,98.6
775,98.6
780,98.7
785,98.7
790,98.5
795,98.3
800,97.8
805,96.7
810,93.8
815,87.6
820,78.3
825,66.8
830,55.5
835,44.5
840,32.6
845,19.8
850,8.84
855,3.91
860,2.85
865,2.6
870,2.44
875,2.23
880,2.01
885,1.93
890,1.93
895,1.93
900,1.96
905,2.03
910,2.11
915,2.14
920,2.14
925,2.08
930,1.97
935,1.86
940,1.75
945,1.68
950,1.65
955,1.64
960,1.6
965,1.53
970,1.46
975,1.39
980,1.33
985,1.28
990,1.24
995,1.24
1000,1.3
1005,1.41
1010,1.54
1015,1.63
1020,1.69
1025,1.72
1030,1.74
1035,1.72
1040,1.68
1045,1.6
1050,1.54
1055,1.54
1060,1.61
1065,1.74
1070,1.88
1075,1.97
1080,2.04
1085,2.13
1090,2.26
1095,2.43
1100,2.63
