Wavelength,Transmitance
(nm),(%)
350.27,0.84
352.35,0.89
360,0.94
368.82,0.96
380,0.97
390,0.98
400,0.98
410,0.98
420,0.98
430,0.98
440,0.98
450,0.98
460,0.97
470,0.97
480,0.97
490,0.97
500,0.97
510,0.97
520,0.98
530,0.98
540,0.98
550,0.98
560,0.98
570,0.98
580,0.98
590,0.98
600,0.97
610,0.97
620,0.97
630,0.96
640,0.96
650,0.96
660,0.95
670,0.95
680,0.95
690,0.95
700,0.95
710,0.95
720,0.95
730,0.95
740,0.95
750,0.95
760,0.96
770,0.96
780,0.96
790,0.96
800,0.97
810,0.97
820,0.97
830,0.98
840,0.98
850,0.98
860,0.98
870,0.98
880,0.99
890,0.99
900,0.98
910,0.98
920,0.98
930,0.98
940,0.98
950,0.98
960,0.98
970,0.97
980,0.97
990,0.97
