wavelength (nm),flux (F_lambda)
115.0,0.001302
115.5,0.028494
116.0,0.038351
116.5,0.010907
117.0,0.007104
117.5,0.007855
118.0,0.012577
118.5,0.005637
119.0,0.000000
119.5,0.000000
120.0,0.002823
120.5,0.010046
121.0,0.032138
121.5,0.068752
122.0,0.048752
122.5,0.010260
123.0,0.004441
123.5,0.006205
124.0,0.010580
124.5,0.013431
125.0,0.022072
125.5,0.025107
126.0,0.018001
126.5,0.019467
127.0,0.040959
127.5,0.051147
128.0,0.075992
128.5,0.095131
129.0,0.082335
129.5,0.084885
130.0,0.078036
130.5,0.056222
131.0,0.070440
131.5,0.123925
132.0,0.141896
132.5,0.141920
133.0,0.149568
133.5,0.166500
134.0,0.213025
134.5,0.223162
135.0,0.206550
135.5,0.201843
136.0,0.186481
136.5,0.153489
137.0,0.152033
137.5,0.178020
138.0,0.187280
138.5,0.201581
139.0,0.236587
139.5,0.235059
140.0,0.226678
140.5,0.251817
141.0,0.224142
141.5,0.205800
142.0,0.212476
142.5,0.245930
143.0,0.251540
143.5,0.214893
144.0,0.249289
144.5,0.292419
145.0,0.329290
145.5,0.353004
146.0,0.369204
146.5,0.324025
147.0,0.274007
147.5,0.286680
148.0,0.312665
148.5,0.346270
149.0,0.392010
149.5,0.389431
150.0,0.430584
150.5,0.410446
151.0,0.348921
151.5,0.363294
152.0,0.413463
152.5,0.385199
153.0,0.368283
153.5,0.367959
154.0,0.442645
154.5,0.449415
155.0,0.412014
155.5,0.393316
156.0,0.355145
156.5,0.352874
157.0,0.345054
157.5,0.361048
158.0,0.411292
158.5,0.437877
159.0,0.459507
159.5,0.494241
160.0,0.474113
160.5,0.431034
161.0,0.408089
161.5,0.411884
162.0,0.412838
162.5,0.405640
163.0,0.398064
163.5,0.378090
164.0,0.377780
164.5,0.399238
165.0,0.406482
165.5,0.356016
166.0,0.342160
166.5,0.413205
167.0,0.379472
167.5,0.353647
168.0,0.431402
168.5,0.457439
169.0,0.434702
169.5,0.438094
170.0,0.461380
170.5,0.444489
171.0,0.426274
171.5,0.417784
172.0,0.402173
172.5,0.427866
173.0,0.470908
173.5,0.476248
174.0,0.506566
174.5,0.517309
175.0,0.529457
175.5,0.587224
176.0,0.562558
176.5,0.527996
177.0,0.545433
177.5,0.566257
178.0,0.606096
178.5,0.574895
179.0,0.578335
179.5,0.690627
180.0,0.710987
180.5,0.653515
181.0,0.635759
181.5,0.645379
182.0,0.625356
182.5,0.601611
183.0,0.550465
183.5,0.558639
184.0,0.553644
184.5,0.511652
185.0,0.522886
185.5,0.516588
186.0,0.516184
186.5,0.533742
187.0,0.588782
187.5,0.603107
188.0,0.582657
188.5,0.591629
189.0,0.581563
189.5,0.568766
190.0,0.553029
190.5,0.552726
191.0,0.541034
191.5,0.542184
192.0,0.556439
192.5,0.554979
193.0,0.560166
193.5,0.585540
194.0,0.610102
194.5,0.630666
195.0,0.628622
195.5,0.611984
196.0,0.607809
196.5,0.632308
197.0,0.611656
197.5,0.630887
198.0,0.628506
198.5,0.648691
199.0,0.611500
199.5,0.554056
200.0,0.558319
200.5,0.565341
201.0,0.512857
201.5,0.511314
202.0,0.489642
202.5,0.501504
203.0,0.535802
203.5,0.536345
204.0,0.510422
204.5,0.508805
205.0,0.568915
205.5,0.584289
206.0,0.509902
206.5,0.492834
207.0,0.516877
207.5,0.536323
208.0,0.564779
208.5,0.572700
209.0,0.584505
209.5,0.562600
210.0,0.530593
210.5,0.529982
211.0,0.537663
211.5,0.528661
212.0,0.524411
212.5,0.555519
213.0,0.551178
213.5,0.424599
214.0,0.362133
214.5,0.392425
215.0,0.435800
215.5,0.487876
216.0,0.504089
216.5,0.456047
217.0,0.425080
217.5,0.394584
218.0,0.393355
218.5,0.422669
219.0,0.435426
219.5,0.474036
220.0,0.496923
220.5,0.491642
221.0,0.449159
221.5,0.402303
222.0,0.364642
222.5,0.356632
223.0,0.354396
223.5,0.397112
224.0,0.439007
224.5,0.405890
225.0,0.360890
225.5,0.343982
226.0,0.346069
226.5,0.352597
227.0,0.376729
227.5,0.412406
228.0,0.452030
228.5,0.445064
229.0,0.485477
229.5,0.478773
230.0,0.426790
230.5,0.391459
231.0,0.422237
231.5,0.454204
232.0,0.420883
