wavelength (nm),flux (F_lambda)
115.0,0.016382
115.5,0.011100
116.0,0.007573
116.5,0.000000
117.0,0.000000
117.5,0.002963
118.0,0.004812
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000000
120.5,0.003479
121.0,0.012130
121.5,0.021089
122.0,0.012803
122.5,0.004961
123.0,0.001935
123.5,0.004621
124.0,0.006628
124.5,0.003106
125.0,0.004505
125.5,0.002873
126.0,0.002064
126.5,0.000741
127.0,0.001831
127.5,0.002796
128.0,0.002645
128.5,0.001010
129.0,0.002057
129.5,0.001795
130.0,0.002932
130.5,0.001859
131.0,0.002227
131.5,0.001077
132.0,0.002648
132.5,0.003148
133.0,0.002297
133.5,0.004517
134.0,0.004731
134.5,0.005058
135.0,0.003370
135.5,0.003829
136.0,0.004222
136.5,0.004849
137.0,0.004210
137.5,0.004876
138.0,0.006149
138.5,0.004759
139.0,0.003930
139.5,0.004567
140.0,0.005385
140.5,0.005748
141.0,0.006051
141.5,0.006528
142.0,0.004609
142.5,0.003372
143.0,0.003379
143.5,0.007166
144.0,0.006992
144.5,0.009250
145.0,0.009611
145.5,0.009496
146.0,0.006863
146.5,0.008684
147.0,0.010911
147.5,0.009583
148.0,0.006998
148.5,0.009806
149.0,0.010642
149.5,0.013559
150.0,0.013711
150.5,0.014259
151.0,0.013468
151.5,0.014177
152.0,0.010663
152.5,0.011690
153.0,0.013568
153.5,0.021825
154.0,0.030646
154.5,0.038750
155.0,0.042383
155.5,0.047347
156.0,0.057935
156.5,0.073745
157.0,0.070103
157.5,0.090470
158.0,0.122939
158.5,0.121194
159.0,0.112470
159.5,0.106320
160.0,0.119975
160.5,0.129450
161.0,0.134920
161.5,0.137452
162.0,0.138071
162.5,0.141383
163.0,0.145804
163.5,0.161444
164.0,0.182946
164.5,0.205567
165.0,0.191799
165.5,0.157693
166.0,0.185694
166.5,0.216082
167.0,0.176549
167.5,0.203912
168.0,0.237828
168.5,0.236163
169.0,0.246538
169.5,0.247526
170.0,0.271555
170.5,0.316251
171.0,0.355732
171.5,0.376832
172.0,0.380919
172.5,0.380016
173.0,0.430696
173.5,0.422711
174.0,0.422597
174.5,0.450348
175.0,0.501676
175.5,0.537023
176.0,0.496520
176.5,0.457194
177.0,0.502280
177.5,0.566550
178.0,0.595272
178.5,0.568423
179.0,0.577942
179.5,0.653380
180.0,0.674116
180.5,0.616599
181.0,0.587915
181.5,0.620148
182.0,0.629086
182.5,0.625034
183.0,0.585010
183.5,0.557814
184.0,0.507068
184.5,0.479302
185.0,0.486542
185.5,0.503049
186.0,0.523835
186.5,0.538898
187.0,0.566329
187.5,0.576139
188.0,0.594562
188.5,0.614176
189.0,0.610741
189.5,0.577491
190.0,0.539039
190.5,0.549594
191.0,0.563032
191.5,0.599681
192.0,0.609278
192.5,0.570285
193.0,0.510519
193.5,0.516215
194.0,0.591867
194.5,0.637304
195.0,0.641735
195.5,0.652557
196.0,0.652335
196.5,0.674956
197.0,0.675386
197.5,0.695299
198.0,0.685882
198.5,0.696605
199.0,0.657706
199.5,0.636015
200.0,0.661366
200.5,0.671639
201.0,0.630867
201.5,0.619520
202.0,0.590454
202.5,0.602243
203.0,0.635184
203.5,0.653488
204.0,0.651870
204.5,0.657735
205.0,0.703315
205.5,0.711501
206.0,0.642001
206.5,0.643708
207.0,0.658566
207.5,0.674572
208.0,0.749345
208.5,0.762347
209.0,0.762263
209.5,0.728748
210.0,0.692135
210.5,0.684651
211.0,0.670524
211.5,0.664218
212.0,0.661068
212.5,0.698594
213.0,0.704376
213.5,0.591538
214.0,0.512454
214.5,0.553709
215.0,0.599820
215.5,0.619639
216.0,0.637378
216.5,0.587188
217.0,0.555201
217.5,0.531257
218.0,0.531660
218.5,0.586407
219.0,0.624230
219.5,0.646017
220.0,0.671270
220.5,0.665746
221.0,0.604872
221.5,0.532949
222.0,0.529511
222.5,0.530988
223.0,0.504361
223.5,0.531269
224.0,0.597760
224.5,0.562575
225.0,0.500791
225.5,0.497488
226.0,0.519429
226.5,0.505740
227.0,0.497855
227.5,0.515324
228.0,0.544213
228.5,0.565133
229.0,0.589644
229.5,0.591845
230.0,0.531217
230.5,0.486424
231.0,0.511795
231.5,0.518541
232.0,0.497423
232.5,0.501377
233.0,0.492795
233.5,0.474905
234.0,0.442517
234.5,0.398605
235.0,0.373456
235.5,0.417445
236.0,0.471844
236.5,0.445641
237.0,0.441501
237.5,0.464739
238.0,0.461305
238.5,0.416578
239.0,0.370862
239.5,0.404889
240.0,0.406194
240.5,0.407708
241.0,0.376096
241.5,0.366305
242.0,0.419363
242.5,0.474721
243.0,0.499513
243.5,0.488697
244.0,0.471622
244.5,0.491040
245.0,0.502497
245.5,0.486109
246.0,0.495487
246.5,0.499760
247.0,0.464131
247.5,0.449812
248.0,0.462096
248.5,0.466203
249.0,0.474873
249.5,0.449270
250.0,0.513576
250.5,0.546905
251.0,0.529850
251.5,0.494456
252.0,0.461011
252.5,0.426592
253.0,0.400738
253.5,0.408144
254.0,0.407826
254.5,0.405126
255.0,0.404299
255.5,0.424048
256.0,0.483142
256.5,0.484678
257.0,0.519129
257.5,0.566191
258.0,0.479030
258.5,0.455142
259.0,0.516019
259.5,0.541934
260.0,0.510919
260.5,0.483738
261.0,0.467167
261.5,0.445285
262.0,0.503303
262.5,0.567676
263.0,0.525477
263.5,0.513575
264.0,0.623356
264.5,0.711776
265.0,0.748743
265.5,0.752497
266.0,0.730342
266.5,0.646397
267.0,0.599221
267.5,0.620744
268.0,0.642845
268.5,0.632015
269.0,0.628941
269.5,0.586541
270.0,0.578184
270.5,0.624539
271.0,0.631699
271.5,0.579139
272.0,0.570630
272.5,0.564592
273.0,0.616796
273.5,0.674879
274.0,0.625613
274.5,0.529316
275.0,0.484460
275.5,0.487808
276.0,0.527083
276.5,0.559248
277.0,0.572393
277.5,0.593362
278.0,0.602848
278.5,0.559252
279.0,0.559207
279.5,0.469136
280.0,0.322893
280.5,0.324502
281.0,0.462907
281.5,0.618013
282.0,0.705272
282.5,0.750932
283.0,0.714564
283.5,0.680412
284.0,0.648579
284.5,0.606810
285.0,0.602007
285.5,0.587734
286.0,0.614672
286.5,0.673776
287.0,0.644822
287.5,0.647040
288.0,0.666249
288.5,0.659092
289.0,0.657828
289.5,0.628293
290.0,0.657097
290.5,0.736851
291.0,0.770486
291.5,0.769654
292.0,0.759356
292.5,0.727337
293.0,0.684680
293.5,0.698377
294.0,0.708900
294.5,0.714218
295.0,0.697644
295.5,0.705223
296.0,0.750084
296.5,0.757906
297.0,0.731502
297.5,0.727376
298.0,0.743443
298.5,0.715645
299.0,0.717548
299.5,0.766089
300.0,0.765578
300.5,0.737537
301.0,0.743398
301.5,0.759601
302.0,0.727332
302.5,0.710387
303.0,0.733132
303.5,0.738586
304.0,0.718057
304.5,0.717215
305.0,0.717095
305.5,0.735924
306.0,0.717102
306.5,0.703975
307.0,0.724367
307.5,0.749578
308.0,0.753549
308.5,0.767716
309.0,0.764635
309.5,0.735291
310.0,0.716197
310.5,0.720831
311.0,0.741649
311.5,0.760519
312.0,0.732121
312.5,0.730060
313.0,0.741604
313.5,0.740655
314.0,0.762693
314.5,0.790123
315.0,0.793181
315.5,0.775653
316.0,0.770386
316.5,0.779878
317.0,0.807942
317.5,0.837328
318.0,0.811483
318.5,0.775028
319.0,0.781433
319.5,0.799417
320.0,0.797935
320.5,0.765024
321.0,0.732139
321.5,0.736421
322.0,0.752676
322.5,0.750702
323.0,0.742601
323.5,0.747286
324.0,0.768616
324.5,0.801686
325.0,0.821597
325.5,0.809158
326.0,0.787980
326.5,0.782766
327.0,0.779793
327.5,0.763700
328.0,0.751015
328.5,0.759366
329.0,0.778865
329.5,0.795158
330.0,0.803535
330.5,0.802609
331.0,0.794658
331.5,0.784108
332.0,0.780315
332.5,0.787955
333.0,0.788059
333.5,0.766254
334.0,0.750205
334.5,0.765362
335.0,0.786283
335.5,0.784682
336.0,0.771797
336.5,0.764077
337.0,0.759278
337.5,0.752770
338.0,0.749062
338.5,0.752666
339.0,0.758977
339.5,0.763204
340.0,0.768916
340.5,0.779321
341.0,0.787815
341.5,0.787935
342.0,0.783599
342.5,0.779110
343.0,0.769930
343.5,0.753522
344.0,0.744202
344.5,0.753377
345.0,0.763949
345.5,0.758478
346.0,0.746644
346.5,0.741655
347.0,0.743718
347.5,0.748771
348.0,0.748676
348.5,0.738377
349.0,0.729209
349.5,0.732526
350.0,0.743361
350.5,0.753585
351.0,0.781710
351.5,0.784512
352.0,0.783512
352.5,0.783372
353.0,0.791654
353.5,0.798493
354.0,0.804158
354.5,0.811355
355.0,0.813693
355.5,0.806216
356.0,0.796437
356.5,0.785492
357.0,0.774543
357.5,0.768548
358.0,0.761431
358.5,0.753990
359.0,0.767759
359.5,0.789487
360.0,0.789367
360.5,0.774385
361.0,0.777436
361.5,0.785498
362.0,0.810973
362.5,0.832639
363.0,0.829821
363.5,0.837842
364.0,0.850484
364.5,0.847529
365.0,0.863190
365.5,0.890639
366.0,0.896781
366.5,0.889172
367.0,0.882618
367.5,0.870197
368.0,0.857354
