wavelength (nm),flux (F_lambda)
115.0,0.072090
115.5,0.049768
116.0,0.024678
116.5,0.000000
117.0,0.001894
117.5,0.008262
118.0,0.004035
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000650
120.5,0.016540
121.0,0.036657
121.5,0.045319
122.0,0.032410
122.5,0.012270
123.0,0.010155
123.5,0.011228
124.0,0.006018
124.5,0.000616
125.0,0.004854
125.5,0.003179
126.0,0.002374
126.5,0.000071
127.0,0.001833
127.5,0.002104
128.0,0.000000
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.001102
131.0,0.000000
131.5,0.000000
132.0,0.000000
132.5,0.000000
133.0,0.000000
133.5,0.000000
134.0,0.000335
134.5,0.000802
135.0,0.000000
135.5,0.001385
136.0,0.002301
136.5,0.000000
137.0,0.000000
137.5,0.001392
138.0,0.002505
138.5,0.000000
139.0,0.000000
139.5,0.000000
140.0,0.000000
140.5,0.001429
141.0,0.000000
141.5,0.000000
142.0,0.001755
142.5,0.003649
143.0,0.004839
143.5,0.002419
144.0,0.003789
144.5,0.006257
145.0,0.004623
145.5,0.002833
146.0,0.001768
146.5,0.000151
147.0,0.001198
147.5,0.003189
148.0,0.003325
148.5,0.001648
149.0,0.003179
149.5,0.009593
150.0,0.008847
150.5,0.008609
151.0,0.007349
151.5,0.003637
152.0,0.003549
152.5,0.002573
153.0,0.004133
153.5,0.007087
154.0,0.008022
154.5,0.015716
155.0,0.018695
155.5,0.013640
156.0,0.014140
156.5,0.018028
157.0,0.020848
157.5,0.025884
158.0,0.032029
158.5,0.026190
159.0,0.021596
159.5,0.029445
160.0,0.035214
160.5,0.036085
161.0,0.033626
161.5,0.036463
162.0,0.036392
162.5,0.035421
163.0,0.040291
163.5,0.042803
164.0,0.051269
164.5,0.059848
165.0,0.062887
165.5,0.047864
166.0,0.056240
166.5,0.071388
167.0,0.056832
167.5,0.062967
168.0,0.081299
168.5,0.084478
169.0,0.090806
169.5,0.100251
170.0,0.122108
170.5,0.152406
171.0,0.184939
171.5,0.208045
172.0,0.210025
172.5,0.198333
173.0,0.237228
173.5,0.243423
174.0,0.242302
174.5,0.251619
175.0,0.283200
175.5,0.314411
176.0,0.292366
176.5,0.263867
177.0,0.291513
177.5,0.335759
178.0,0.355306
178.5,0.321587
179.0,0.316690
179.5,0.396889
180.0,0.402949
180.5,0.365818
181.0,0.344586
181.5,0.377169
182.0,0.385966
182.5,0.383101
183.0,0.353644
183.5,0.338315
184.0,0.311954
184.5,0.295483
185.0,0.290748
185.5,0.291913
186.0,0.302369
186.5,0.318858
187.0,0.349256
187.5,0.352764
188.0,0.364974
188.5,0.381916
189.0,0.376526
189.5,0.364053
190.0,0.338794
190.5,0.339146
191.0,0.345257
191.5,0.366308
192.0,0.378525
192.5,0.347083
193.0,0.300375
193.5,0.304373
194.0,0.372202
194.5,0.418678
195.0,0.427642
195.5,0.430768
196.0,0.413532
196.5,0.395589
197.0,0.411834
197.5,0.448600
198.0,0.451611
198.5,0.445326
199.0,0.403109
199.5,0.363907
200.0,0.369271
200.5,0.395345
201.0,0.387468
201.5,0.393471
202.0,0.375228
202.5,0.365340
203.0,0.354421
203.5,0.371132
204.0,0.371727
204.5,0.389383
205.0,0.446505
205.5,0.490969
206.0,0.446268
206.5,0.397092
207.0,0.393031
207.5,0.418871
208.0,0.453693
208.5,0.492684
209.0,0.503597
209.5,0.486353
210.0,0.462368
210.5,0.444477
211.0,0.416250
211.5,0.386447
212.0,0.405582
212.5,0.436903
213.0,0.422202
213.5,0.361888
214.0,0.325975
214.5,0.370223
215.0,0.385298
215.5,0.406295
216.0,0.400188
216.5,0.358424
217.0,0.344655
217.5,0.344203
218.0,0.347843
218.5,0.370799
219.0,0.386415
219.5,0.403702
220.0,0.414465
220.5,0.418247
221.0,0.391327
221.5,0.354786
222.0,0.332049
222.5,0.345078
223.0,0.362453
223.5,0.374742
224.0,0.378353
224.5,0.342087
225.0,0.336554
225.5,0.351256
226.0,0.345008
226.5,0.330859
227.0,0.324370
227.5,0.340997
228.0,0.356512
228.5,0.364897
229.0,0.377967
229.5,0.363848
230.0,0.335012
230.5,0.340345
231.0,0.354987
231.5,0.348656
232.0,0.334690
232.5,0.351853
233.0,0.351181
233.5,0.312924
234.0,0.276398
234.5,0.271963
235.0,0.258824
235.5,0.259547
236.0,0.285836
236.5,0.269234
237.0,0.271963
237.5,0.308945
238.0,0.295377
238.5,0.252762
239.0,0.228379
239.5,0.243477
240.0,0.246558
240.5,0.221627
241.0,0.207980
241.5,0.218184
242.0,0.270899
242.5,0.323093
243.0,0.335864
243.5,0.327493
244.0,0.325591
244.5,0.354979
245.0,0.354261
245.5,0.354964
246.0,0.362863
246.5,0.345449
247.0,0.311217
247.5,0.313098
248.0,0.314189
248.5,0.312243
249.0,0.291926
249.5,0.302397
250.0,0.360169
250.5,0.374719
251.0,0.361276
251.5,0.338859
252.0,0.307562
252.5,0.278142
253.0,0.267573
253.5,0.272414
254.0,0.272218
254.5,0.279345
255.0,0.296103
255.5,0.314478
256.0,0.329617
256.5,0.356081
257.0,0.391883
257.5,0.381697
258.0,0.313706
258.5,0.308423
259.0,0.358448
259.5,0.382932
260.0,0.349334
260.5,0.327690
261.0,0.316725
261.5,0.301502
262.0,0.348441
262.5,0.372454
263.0,0.366420
263.5,0.380961
264.0,0.441040
264.5,0.518760
265.0,0.555597
265.5,0.538572
266.0,0.513388
266.5,0.470964
267.0,0.446196
267.5,0.455791
268.0,0.468591
268.5,0.462916
269.0,0.446581
269.5,0.422678
270.0,0.428705
270.5,0.449892
271.0,0.447065
271.5,0.429050
272.0,0.421965
272.5,0.424423
273.0,0.437433
273.5,0.454356
274.0,0.423107
274.5,0.360104
275.0,0.333280
275.5,0.330766
276.0,0.363036
