wavelength (nm),flux (F_lambda)
115.0,0.000000
115.5,0.005190
116.0,0.002815
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.007617
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000000
120.5,0.002985
121.0,0.008355
121.5,0.018679
122.0,0.009686
122.5,0.000870
123.0,0.000000
123.5,0.004617
124.0,0.006843
124.5,0.001940
125.0,0.004591
125.5,0.001872
126.0,0.002015
126.5,0.000816
127.0,0.000644
127.5,0.000594
128.0,0.000947
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.000000
131.0,0.000000
131.5,0.000000
132.0,0.000000
132.5,0.000000
133.0,0.001126
133.5,0.002608
134.0,0.001526
134.5,0.001818
135.0,0.001039
135.5,0.001771
136.0,0.001592
136.5,0.000564
137.0,0.002774
137.5,0.001074
138.0,0.001471
138.5,0.000000
139.0,0.002302
139.5,0.000000
140.0,0.000000
140.5,0.000582
141.0,0.001786
141.5,0.004654
142.0,0.001037
142.5,0.000000
143.0,0.000000
143.5,0.001085
144.0,0.001012
144.5,0.005565
145.0,0.006606
145.5,0.004980
146.0,0.001203
146.5,0.002313
147.0,0.003441
147.5,0.003870
148.0,0.004129
148.5,0.006567
149.0,0.004651
149.5,0.006570
150.0,0.006174
150.5,0.006681
151.0,0.008359
151.5,0.007667
152.0,0.002158
152.5,0.004127
153.0,0.005487
153.5,0.007970
154.0,0.010707
154.5,0.013285
155.0,0.009977
155.5,0.012577
156.0,0.017704
156.5,0.016765
157.0,0.014197
157.5,0.019541
158.0,0.027366
158.5,0.019127
159.0,0.018888
159.5,0.023833
160.0,0.026059
160.5,0.025932
161.0,0.030201
161.5,0.036672
162.0,0.037913
162.5,0.037657
163.0,0.042306
163.5,0.053894
164.0,0.065972
164.5,0.078440
165.0,0.073191
165.5,0.059211
166.0,0.082721
166.5,0.094588
167.0,0.082605
167.5,0.104324
168.0,0.116982
168.5,0.115362
169.0,0.129904
169.5,0.143221
170.0,0.178704
170.5,0.228402
171.0,0.263224
171.5,0.291685
172.0,0.281368
172.5,0.301496
173.0,0.340128
173.5,0.331323
174.0,0.337996
174.5,0.372188
175.0,0.424176
175.5,0.443993
176.0,0.400938
176.5,0.377460
177.0,0.432317
177.5,0.505379
178.0,0.516375
178.5,0.464451
179.0,0.481849
179.5,0.566009
180.0,0.564104
180.5,0.503609
181.0,0.494022
181.5,0.522347
182.0,0.535655
182.5,0.520469
183.0,0.488669
183.5,0.454973
184.0,0.418679
184.5,0.402509
185.0,0.407150
185.5,0.428968
186.0,0.449607
186.5,0.475903
187.0,0.492435
187.5,0.493097
188.0,0.513848
188.5,0.526429
189.0,0.520165
189.5,0.486895
190.0,0.460964
190.5,0.482099
191.0,0.502564
191.5,0.527066
192.0,0.531994
192.5,0.469431
193.0,0.407910
193.5,0.443429
194.0,0.537424
194.5,0.579312
195.0,0.572168
195.5,0.566978
196.0,0.550661
196.5,0.554076
197.0,0.588337
197.5,0.572147
198.0,0.576917
198.5,0.562561
199.0,0.475641
199.5,0.473226
200.0,0.519683
200.5,0.514764
201.0,0.508528
201.5,0.488803
202.0,0.479219
202.5,0.483462
203.0,0.519271
203.5,0.543250
204.0,0.525250
204.5,0.567170
205.0,0.578377
205.5,0.588989
206.0,0.558841
206.5,0.558141
207.0,0.593507
207.5,0.606965
208.0,0.656632
208.5,0.647474
209.0,0.612886
209.5,0.594022
210.0,0.575267
210.5,0.570334
211.0,0.563742
211.5,0.541747
212.0,0.603906
212.5,0.630235
213.0,0.555554
213.5,0.453207
214.0,0.420122
214.5,0.481196
215.0,0.496356
215.5,0.498891
216.0,0.492215
216.5,0.471837
217.0,0.476957
217.5,0.445164
218.0,0.475924
218.5,0.532743
219.0,0.560262
219.5,0.584142
220.0,0.592063
220.5,0.578241
221.0,0.494896
221.5,0.416204
222.0,0.431928
222.5,0.451642
223.0,0.463665
223.5,0.500183
224.0,0.514548
224.5,0.485555
225.0,0.454262
225.5,0.438030
226.0,0.432409
226.5,0.450351
227.0,0.439862
227.5,0.451782
228.0,0.463342
228.5,0.508240
229.0,0.490542
229.5,0.491219
230.0,0.450556
230.5,0.431209
231.0,0.469920
231.5,0.454556
232.0,0.423225
232.5,0.453614
233.0,0.413440
233.5,0.400171
234.0,0.385114
234.5,0.348570
235.0,0.346496
235.5,0.394017
236.0,0.397086
236.5,0.395557
237.0,0.433318
237.5,0.419202
238.0,0.372241
238.5,0.318668
239.0,0.336863
239.5,0.375992
240.0,0.359264
240.5,0.346829
241.0,0.306624
241.5,0.314710
242.0,0.384734
242.5,0.424044
243.0,0.419951
243.5,0.413023
244.0,0.435136
244.5,0.461312
245.0,0.422459
245.5,0.419975
246.0,0.448110
246.5,0.431314
247.0,0.403732
247.5,0.400591
248.0,0.408213
248.5,0.399039
249.0,0.386275
249.5,0.404622
250.0,0.469734
250.5,0.464438
251.0,0.452231
251.5,0.418091
252.0,0.372541
252.5,0.363297
253.0,0.342554
253.5,0.366924
254.0,0.373146
254.5,0.354832
255.0,0.372962
255.5,0.397915
256.0,0.434050
256.5,0.459479
257.0,0.500443
257.5,0.516914
258.0,0.467719
258.5,0.430654
259.0,0.476917
259.5,0.480881
260.0,0.435664
260.5,0.412775
261.0,0.389641
261.5,0.421465
262.0,0.481554
262.5,0.503243
263.0,0.459182
263.5,0.524763
264.0,0.658589
264.5,0.722879
265.0,0.701665
265.5,0.706563
266.0,0.664411
266.5,0.587200
267.0,0.568115
267.5,0.607232
268.0,0.631691
268.5,0.617821
269.0,0.599591
269.5,0.595821
270.0,0.586793
270.5,0.586281
271.0,0.579222
271.5,0.616067
272.0,0.594983
272.5,0.646304
273.0,0.623571
273.5,0.603594
274.0,0.537981
274.5,0.465599
275.0,0.439196
275.5,0.450089
276.0,0.490023
276.5,0.512783
277.0,0.546506
277.5,0.573327
278.0,0.538182
278.5,0.505975
279.0,0.447733
279.5,0.307306
280.0,0.234021
280.5,0.307691
281.0,0.498788
281.5,0.700889
282.0,0.814174
282.5,0.787567
283.0,0.748519
283.5,0.640784
284.0,0.635324
284.5,0.633306
285.0,0.570684
285.5,0.560975
286.0,0.608887
286.5,0.606146
287.0,0.598168
