wavelength (nm),flux (F_lambda)
115.0,83.991211
115.5,58.341976
116.0,43.706703
116.5,39.075466
117.0,30.460142
117.5,28.460478
118.0,32.948700
118.5,32.454659
119.0,26.525326
119.5,24.047913
120.0,22.182455
120.5,18.142353
121.0,10.791340
121.5,7.417881
122.0,16.184370
122.5,24.913786
123.0,26.980165
123.5,31.844057
124.0,40.926273
124.5,40.057293
125.0,35.842510
125.5,35.299782
126.0,37.266758
126.5,40.648403
127.0,41.640537
127.5,41.284897
128.0,41.367340
128.5,40.439930
129.0,38.928764
129.5,34.775234
130.0,32.609489
130.5,36.622925
131.0,40.193348
131.5,40.442902
132.0,39.279583
132.5,38.039871
133.0,36.129440
133.5,33.394222
134.0,34.692959
134.5,35.746880
135.0,36.855816
135.5,36.848591
136.0,35.894787
136.5,36.019718
137.0,35.400425
137.5,34.026737
138.0,30.718807
138.5,24.371696
139.0,21.509176
139.5,22.982014
140.0,26.524004
140.5,30.074591
141.0,30.741201
141.5,29.008007
142.0,27.430361
142.5,25.954550
143.0,26.877003
143.5,28.680920
144.0,28.763025
144.5,28.633932
145.0,28.314594
145.5,26.855072
146.0,26.903009
146.5,27.814262
147.0,28.249901
147.5,28.510239
148.0,28.131914
148.5,28.700014
149.0,28.869814
149.5,26.757053
150.0,24.584356
150.5,25.620134
151.0,26.420876
151.5,25.650492
152.0,25.511909
152.5,21.497114
153.0,18.499964
153.5,15.293584
154.0,10.943223
154.5,10.738264
155.0,18.114910
155.5,21.846426
156.0,19.168955
156.5,17.697443
157.0,19.046017
157.5,20.009108
158.0,20.368210
158.5,21.418530
159.0,21.025904
159.5,19.713657
160.0,18.222679
160.5,16.509319
161.0,15.357357
161.5,15.334128
162.0,15.749368
162.5,16.278303
163.0,16.348309
163.5,17.461649
164.0,18.156507
164.5,19.481413
165.0,18.880507
165.5,17.006527
166.0,16.637274
166.5,17.332258
167.0,17.317175
167.5,19.205544
168.0,20.993013
168.5,20.131830
169.0,18.833366
169.5,18.083588
170.0,17.621319
170.5,17.526703
171.0,17.157167
171.5,16.268343
172.0,15.050303
172.5,16.087692
173.0,18.036402
173.5,19.004408
174.0,18.352493
174.5,18.100721
175.0,17.879850
175.5,18.876987
176.0,19.583643
176.5,19.155426
177.0,18.817421
177.5,18.527529
178.0,18.594889
178.5,17.450180
179.0,15.700681
179.5,17.133331
180.0,17.836798
180.5,17.368868
181.0,17.055376
181.5,17.757805
182.0,17.975607
182.5,17.644890
183.0,17.780716
183.5,17.672281
184.0,16.287937
184.5,15.501573
185.0,14.873184
185.5,14.838931
186.0,15.420743
186.5,15.779114
187.0,15.561238
187.5,15.400633
188.0,14.831485
188.5,13.656369
189.0,13.299153
189.5,13.767753
190.0,14.071351
190.5,13.878003
191.0,13.541056
191.5,12.937424
192.0,12.514433
192.5,12.439047
193.0,13.172738
193.5,13.498255
194.0,13.423195
194.5,13.400893
195.0,12.741068
195.5,12.202139
196.0,11.474635
196.5,11.028347
197.0,11.740742
197.5,12.772577
198.0,12.884361
198.5,12.538090
199.0,11.718955
199.5,11.002927
200.0,11.086151
200.5,11.397476
201.0,11.577798
201.5,11.769288
202.0,11.971156
202.5,12.269783
203.0,12.198345
203.5,11.934130
204.0,11.494199
204.5,11.378174
205.0,11.312434
205.5,11.234950
206.0,10.791256
206.5,10.469042
207.0,10.386005
207.5,10.660854
208.0,11.018745
208.5,10.726145
209.0,10.741750
209.5,9.984419
210.0,9.514001
210.5,9.582352
211.0,9.884217
211.5,10.154771
212.0,9.937338
212.5,9.836423
213.0,10.361991
213.5,10.316433
214.0,9.830153
214.5,9.724800
215.0,9.460282
215.5,9.401035
216.0,9.692337
216.5,9.582251
217.0,9.218072
217.5,8.786125
218.0,8.959036
218.5,9.283171
219.0,9.192223
219.5,9.384987
220.0,9.543755
220.5,9.178756
221.0,8.843973
221.5,8.880187
222.0,8.620966
222.5,8.768286
223.0,8.783760
223.5,8.543283
224.0,8.330256
224.5,8.460037
225.0,9.041230
225.5,9.068233
226.0,8.931007
226.5,8.863086
227.0,8.887070
227.5,8.853436
228.0,8.839423
228.5,8.576970
229.0,8.562578
229.5,8.614207
230.0,8.425666
230.5,8.340227
231.0,8.731196
231.5,9.006403
232.0,8.931766
232.5,8.976527
233.0,9.194280
233.5,9.412384
234.0,9.267853
234.5,9.088095
235.0,9.107154
235.5,9.145591
236.0,9.294605
236.5,9.121030
237.0,9.047461
237.5,9.279632
238.0,9.180378
238.5,8.948218
239.0,8.498903
239.5,8.574991
240.0,8.851083
240.5,8.935912
241.0,8.878848
241.5,8.704780
242.0,8.925096
242.5,8.918494
243.0,9.230927
243.5,9.477740
244.0,9.441823
244.5,9.352126
245.0,9.168669
245.5,9.410546
246.0,9.710077
246.5,9.517234
247.0,9.204398
247.5,8.926952
248.0,8.805020
248.5,8.854306
249.0,8.906132
249.5,9.009701
250.0,9.309333
250.5,9.277555
251.0,9.087378
251.5,8.936749
252.0,8.702408
252.5,8.595993
253.0,8.860003
253.5,9.167855
254.0,9.024759
254.5,8.846588
255.0,9.201798
255.5,8.914364
