wavelength (nm),flux (F_lambda)
115.0,168.67620
115.5,133.07395
116.0,113.73732
116.5,111.82681
117.0,99.958008
117.5,79.515594
118.0,86.660614
118.5,96.530807
119.0,89.222694
119.5,79.401352
120.0,79.882309
120.5,73.226616
121.0,58.262592
121.5,33.695015
122.0,53.025375
122.5,83.707420
123.0,90.966011
123.5,93.970375
124.0,93.165443
124.5,89.924446
125.0,86.548447
125.5,87.089844
126.0,89.849701
126.5,94.026787
127.0,93.423546
127.5,92.871849
128.0,92.543579
128.5,90.534103
129.0,91.355659
129.5,86.102081
130.0,80.671089
130.5,83.867256
131.0,92.127243
131.5,89.050255
132.0,88.100487
132.5,83.684067
133.0,84.501854
133.5,78.060562
134.0,76.939613
134.5,76.758209
135.0,76.892059
135.5,77.445564
136.0,75.202354
136.5,74.610458
137.0,74.100189
137.5,71.746628
138.0,70.372696
138.5,66.704506
139.0,59.943005
139.5,50.103031
140.0,52.738991
140.5,54.312225
141.0,60.012531
141.5,61.452969
142.0,59.305641
142.5,56.955635
143.0,55.779633
143.5,59.296753
144.0,58.541019
144.5,58.128235
145.0,57.637035
145.5,56.331577
146.0,55.911293
146.5,55.878323
147.0,56.346790
147.5,56.583092
148.0,55.878654
148.5,55.892426
149.0,57.050808
149.5,54.875122
150.0,51.270939
150.5,50.574753
151.0,51.588127
151.5,51.134132
152.0,51.989243
152.5,48.221321
153.0,44.027851
153.5,42.311970
154.0,42.003342
154.5,35.908291
155.0,30.613894
155.5,38.497719
156.0,41.829384
156.5,40.695652
157.0,41.436749
157.5,42.118565
158.0,41.630573
158.5,43.122540
159.0,42.972858
159.5,40.950474
160.0,40.213570
160.5,38.583035
161.0,36.625740
161.5,36.961899
162.0,36.426613
162.5,36.448105
163.0,36.243759
163.5,36.642345
164.0,35.883747
164.5,37.114666
165.0,39.098278
165.5,37.094318
166.0,35.598927
166.5,36.358475
167.0,35.429489
167.5,35.643135
168.0,37.256390
168.5,37.011951
169.0,35.464096
169.5,35.513260
170.0,35.282494
170.5,34.823437
171.0,35.136864
171.5,34.150097
172.0,31.360159
172.5,31.257393
173.0,32.901249
173.5,34.096474
174.0,33.529358
174.5,33.538074
175.0,32.858585
175.5,33.239677
176.0,34.124428
176.5,33.969868
177.0,33.506454
177.5,32.991158
178.0,32.808456
178.5,31.892338
179.0,29.174871
179.5,29.939695
180.0,31.508415
180.5,30.794138
181.0,30.565256
181.5,31.002949
182.0,31.079384
182.5,31.061529
183.0,31.320990
183.5,31.199097
184.0,29.781872
184.5,28.468447
185.0,28.101299
185.5,27.903095
186.0,28.001213
186.5,28.255426
187.0,27.822668
187.5,27.600435
188.0,27.458912
188.5,26.015541
189.0,25.259911
189.5,25.389442
190.0,25.612518
190.5,25.209770
191.0,24.944689
191.5,24.403837
192.0,23.241129
192.5,22.910620
193.0,23.882998
193.5,24.863586
194.0,24.520283
194.5,24.678238
195.0,24.389515
195.5,23.721693
196.0,22.488934
196.5,22.304169
197.0,22.657324
197.5,22.888111
198.0,22.977465
198.5,22.687084
199.0,21.923159
199.5,21.506130
200.0,21.317299
200.5,21.695354
201.0,21.361055
201.5,21.660103
202.0,21.900597
202.5,22.229357
203.0,22.097231
203.5,22.050694
204.0,21.783779
204.5,21.481226
205.0,21.666586
205.5,20.469343
206.0,18.650339
206.5,19.426329
207.0,20.681660
207.5,20.990429
208.0,20.398628
208.5,20.591026
209.0,20.478413
209.5,19.854063
210.0,19.081133
210.5,19.330610
211.0,19.348227
211.5,19.908888
212.0,19.719687
212.5,19.482634
213.0,20.370943
213.5,19.427752
214.0,19.294806
214.5,19.419487
215.0,18.757816
215.5,18.690893
216.0,18.731297
216.5,18.240723
217.0,18.229401
217.5,17.861237
218.0,17.914452
218.5,17.534904
219.0,17.737318
219.5,17.998594
220.0,17.851961
220.5,17.406822
221.0,16.841700
221.5,16.643559
222.0,16.347572
222.5,15.934520
223.0,15.761248
223.5,16.046997
224.0,16.358173
224.5,16.117451
225.0,15.756803
225.5,15.610353
226.0,15.835552
226.5,15.819355
227.0,15.397172
227.5,15.192964
228.0,15.484340
228.5,15.384805
229.0,15.038617
229.5,14.893688
230.0,14.158429
230.5,13.953891
231.0,14.633996
231.5,14.778890
232.0,14.932195
232.5,14.567330
233.0,14.651675
233.5,15.000705
234.0,14.226336
234.5,14.015830
235.0,14.015253
235.5,14.323827
236.0,14.755285
236.5,14.486556
237.0,14.241611
237.5,14.206848
238.0,13.638237
238.5,13.422465
239.0,13.060600
239.5,13.121196
240.0,13.205726
