wavelength (nm),flux (F_lambda)
115.0,6.313648
115.5,5.611689
116.0,5.454666
116.5,5.484312
117.0,4.718596
117.5,3.895715
118.0,4.650700
118.5,5.147357
119.0,3.789891
119.5,2.722266
120.0,2.339489
120.5,1.063540
121.0,0.561220
121.5,0.509048
122.0,1.173010
122.5,2.440076
123.0,3.597513
123.5,4.960524
124.0,6.458058
124.5,6.526036
125.0,6.134216
125.5,6.592101
126.0,5.260082
126.5,5.223249
127.0,6.807770
127.5,6.651559
128.0,7.003370
128.5,7.182273
129.0,6.517368
129.5,5.318648
130.0,4.567028
130.5,4.627783
131.0,5.864954
131.5,7.886409
132.0,8.156500
132.5,7.285190
133.0,6.431397
133.5,5.896232
134.0,7.354223
134.5,7.648929
135.0,7.818510
135.5,7.836791
136.0,7.490635
136.5,6.545105
137.0,6.520151
137.5,6.560079
138.0,6.511771
138.5,6.828101
139.0,6.629295
139.5,6.185034
140.0,6.615329
140.5,6.952735
141.0,6.995972
141.5,6.622325
142.0,6.439007
142.5,6.981295
143.0,7.211042
143.5,6.930404
144.0,7.381985
144.5,7.590569
145.0,7.900753
145.5,7.776993
146.0,7.959367
146.5,7.600170
147.0,7.149930
147.5,7.014010
148.0,7.139045
148.5,7.169029
149.0,7.628071
149.5,7.079070
150.0,6.937047
150.5,6.975403
151.0,6.684640
151.5,6.661995
152.0,7.056911
152.5,6.621123
153.0,6.031206
153.5,5.823955
154.0,6.102821
154.5,5.836892
155.0,6.016413
155.5,6.455392
156.0,6.129596
156.5,6.195565
157.0,6.094961
157.5,6.144953
158.0,6.413468
158.5,6.655937
159.0,6.793093
159.5,6.632879
160.0,6.291697
160.5,5.923528
161.0,5.839910
161.5,6.131093
162.0,6.231450
162.5,6.128689
163.0,5.988781
163.5,6.044013
164.0,6.163505
164.5,6.139724
165.0,6.108505
165.5,5.608612
166.0,5.633328
166.5,6.174397
167.0,5.945890
167.5,5.759093
168.0,6.284276
168.5,6.294443
169.0,5.957052
169.5,5.843874
170.0,5.827963
170.5,5.562371
171.0,5.160022
171.5,5.090420
172.0,4.787952
172.5,5.110942
173.0,5.646534
173.5,5.718976
174.0,5.584830
174.5,5.480956
175.0,5.486299
175.5,5.915761
176.0,5.646320
176.5,5.610034
177.0,5.589366
177.5,5.582952
178.0,5.858990
178.5,5.680586
179.0,5.198372
179.5,5.802774
180.0,6.264793
180.5,6.125819
181.0,5.890455
181.5,5.673959
182.0,5.573041
182.5,5.740900
183.0,5.598207
183.5,5.491935
184.0,5.219522
184.5,4.728946
185.0,4.490475
185.5,4.456814
186.0,4.574271
186.5,4.837074
187.0,5.251470
187.5,5.281409
188.0,4.817100
188.5,4.331747
189.0,4.002225
189.5,4.085543
190.0,4.362489
190.5,4.507531
191.0,4.478876
191.5,4.202549
192.0,4.109534
192.5,3.889685
193.0,3.971436
193.5,4.360099
194.0,4.438913
194.5,4.436633
195.0,4.234227
195.5,4.070723
196.0,3.801022
196.5,3.647191
197.0,3.766189
197.5,4.247592
198.0,4.243570
198.5,4.170298
199.0,3.680829
199.5,3.379465
200.0,3.407958
200.5,3.600846
201.0,3.446983
201.5,3.852326
202.0,3.844667
202.5,3.810905
203.0,3.990834
203.5,3.996433
204.0,3.805624
204.5,3.429625
205.0,3.571208
205.5,3.693633
206.0,3.583328
206.5,3.143665
207.0,3.309952
207.5,3.436641
208.0,3.450482
208.5,3.658839
209.0,3.640281
209.5,3.377944
210.0,3.290380
210.5,3.234866
211.0,3.174796
211.5,3.358868
212.0,3.389838
212.5,3.327705
213.0,3.608164
213.5,3.326778
214.0,3.177987
214.5,3.095935
215.0,2.824861
215.5,3.067374
216.0,3.349514
216.5,3.082029
217.0,2.966775
217.5,2.865976
218.0,2.752517
218.5,2.840766
219.0,2.904745
219.5,2.928392
220.0,2.952747
220.5,3.009529
221.0,2.814800
221.5,2.812255
222.0,2.866484
222.5,2.707620
223.0,2.537989
223.5,2.688881
224.0,2.773053
224.5,2.665927
225.0,2.614251
225.5,2.633976
226.0,2.544439
226.5,2.532597
227.0,2.756349
227.5,2.846454
228.0,2.909792
228.5,2.863077
229.0,3.070152
229.5,3.201542
230.0,2.949807
230.5,2.739024
231.0,2.968466
231.5,3.192642
232.0,2.998882
232.5,2.968858
233.0,2.958208
233.5,2.869104
234.0,2.787736
234.5,2.868268
235.0,2.822926
235.5,2.870720
236.0,3.007287
236.5,3.027588
237.0,3.027756
237.5,3.018595
238.0,2.976735
238.5,2.988376
239.0,2.865341
239.5,2.828971
240.0,3.044387
240.5,3.135224
241.0,2.871082
241.5,2.902813
242.0,2.934890
242.5,3.016320
243.0,3.187099
243.5,3.002329
244.0,3.034180
244.5,3.117189
245.0,3.188852
245.5,3.343035
246.0,3.495605
246.5,3.329047
247.0,3.127170
247.5,3.106202
248.0,3.178792
248.5,3.277074
249.0,3.239868
249.5,3.114113
250.0,3.291622
250.5,3.371488
251.0,3.358094
251.5,3.238008
252.0,3.131293
252.5,3.148186
253.0,3.205675
253.5,3.214654
254.0,3.180885
254.5,3.084947
255.0,3.139926
255.5,3.110653
256.0,3.420031
256.5,3.361323
257.0,3.265371
257.5,3.415374
258.0,3.003376
258.5,2.845514
259.0,3.223263
259.5,3.414427
260.0,3.435417
260.5,3.370642
261.0,3.351645
261.5,3.332412
262.0,3.395380
262.5,3.527653
263.0,3.367965
263.5,3.422398
264.0,3.669874
264.5,3.755627
265.0,3.778780
265.5,3.706607
266.0,3.694082
266.5,3.661424
267.0,3.487064
267.5,3.584405
268.0,3.715141
268.5,3.655268
269.0,3.644128
269.5,3.551926
270.0,3.383627
270.5,3.565963
271.0,3.541068
271.5,3.368512
272.0,3.374733
272.5,3.416363
273.0,3.410334
273.5,3.595724
274.0,3.570768
274.5,3.357697
275.0,3.325855
275.5,3.246268
276.0,3.383180
276.5,3.512739
277.0,3.393134
277.5,3.320007
278.0,3.563943
278.5,3.520930
279.0,3.415380
279.5,3.427987
280.0,3.122223
280.5,3.112188
281.0,3.266709
281.5,3.568224
282.0,3.552837
282.5,3.521229
283.0,3.409163
283.5,3.354248
284.0,3.316824
284.5,3.274033
285.0,3.443053
285.5,3.315729
286.0,3.253533
286.5,3.415130
287.0,3.526204
287.5,3.427810
288.0,3.274674
288.5,3.387080
289.0,3.337169
289.5,3.476025
290.0,3.510130
290.5,3.526330
291.0,3.554487
291.5,3.553167
292.0,3.487159
292.5,3.380222
293.0,3.330909
293.5,3.414589
294.0,3.308577
294.5,3.317475
295.0,3.333546
295.5,3.408899
296.0,3.477575
296.5,3.336282
297.0,3.389929
297.5,3.345828
298.0,3.331439
298.5,3.345748
299.0,3.251183
299.5,3.234747
300.0,3.319261
300.5,3.319336
301.0,3.317982
301.5,3.327518
302.0,3.324907
302.5,3.249911
303.0,3.187625
303.5,3.260355
304.0,3.298751
304.5,3.262203
305.0,3.230961
305.5,3.258126
306.0,3.267089
306.5,3.228152
307.0,3.248388
307.5,3.329847
308.0,3.413193
308.5,3.337351
309.0,3.359126
309.5,3.352183
310.0,3.354848
310.5,3.339996
311.0,3.336180
311.5,3.321299
312.0,3.274796
312.5,3.296606
313.0,3.257188
313.5,3.235671
314.0,3.155865
314.5,3.198372
315.0,3.244311
315.5,3.221735
316.0,3.192309
316.5,3.239795
317.0,3.243083
317.5,3.107880
318.0,3.013476
318.5,3.049914
319.0,3.211812
319.5,3.136379
320.0,3.092783
320.5,3.083496
321.0,3.074362
321.5,3.065238
322.0,3.055983
322.5,3.046452
323.0,3.036505
323.5,3.025997
324.0,3.014787
324.5,3.002733
325.0,2.989691
325.5,2.975580
326.0,2.960566
326.5,2.944874
327.0,2.928730
327.5,2.912361
