wavelength (nm),flux (F_lambda)
115.0,18.509659
115.5,12.548846
116.0,9.857400
116.5,10.857321
117.0,9.055951
117.5,7.657356
118.0,8.748858
118.5,7.730671
119.0,5.943404
119.5,4.988496
120.0,4.105004
120.5,2.045101
121.0,0.774134
121.5,1.017639
122.0,2.125201
122.5,3.742340
123.0,5.777863
123.5,7.543119
124.0,8.560764
124.5,8.761810
125.0,8.930081
125.5,8.456956
126.0,7.458289
126.5,8.021891
127.0,8.959655
127.5,8.995112
128.0,9.436010
128.5,9.376376
129.0,8.533734
129.5,7.282310
130.0,6.343729
130.5,6.117345
131.0,7.557652
131.5,9.432969
132.0,9.524662
132.5,8.603067
133.0,7.934414
133.5,7.610141
134.0,8.761810
134.5,9.199364
135.0,9.042075
135.5,8.916147
136.0,8.537318
136.5,8.084936
137.0,8.353030
137.5,8.361147
138.0,8.122998
138.5,8.010047
139.0,7.782070
139.5,7.762035
140.0,7.783846
140.5,7.627935
141.0,7.594646
141.5,7.714478
142.0,7.679324
142.5,7.794544
143.0,7.838313
143.5,7.727480
144.0,8.006009
144.5,8.247594
145.0,8.213481
145.5,8.273888
146.0,8.378939
146.5,8.060495
147.0,7.895610
147.5,7.873312
148.0,7.898009
148.5,7.981312
149.0,8.298858
149.5,7.950192
150.0,7.601722
150.5,7.370292
151.0,7.256972
151.5,7.238935
152.0,7.306488
152.5,6.996245
153.0,6.820767
153.5,6.970931
154.0,7.081628
154.5,7.060490
155.0,7.022240
155.5,7.064052
156.0,6.797040
156.5,6.807832
157.0,6.887621
157.5,6.636851
158.0,6.557715
158.5,6.928606
159.0,6.852242
159.5,6.678206
160.0,6.539420
160.5,6.364519
161.0,6.270168
161.5,6.320884
162.0,6.351457
162.5,6.364018
163.0,6.206809
163.5,6.138709
164.0,6.149868
164.5,6.072753
165.0,5.926076
165.5,5.716138
166.0,5.756933
166.5,5.987097
167.0,5.875975
167.5,5.889421
168.0,5.940453
168.5,5.900270
169.0,5.897727
169.5,5.975757
170.0,5.879805
170.5,5.638693
171.0,5.361850
171.5,5.357283
172.0,5.213732
172.5,5.233992
173.0,5.454011
173.5,5.515223
174.0,5.555739
174.5,5.540062
175.0,5.504320
175.5,5.637328
176.0,5.443652
176.5,5.430201
177.0,5.386956
177.5,5.308934
178.0,5.276059
178.5,4.761302
179.0,4.825357
179.5,5.338511
180.0,5.516786
180.5,5.457668
181.0,5.430882
181.5,5.430898
182.0,5.307406
182.5,5.230242
183.0,5.143746
183.5,5.069918
184.0,4.941768
184.5,4.811052
185.0,4.634512
185.5,4.479667
186.0,4.583064
186.5,4.713234
187.0,4.851003
187.5,4.968969
188.0,4.875566
188.5,4.637527
189.0,4.464973
189.5,4.393677
190.0,4.454948
190.5,4.551492
191.0,4.563527
191.5,4.420928
192.0,4.323461
192.5,4.217034
193.0,4.288687
193.5,4.380273
194.0,4.402369
194.5,4.411505
195.0,4.315741
195.5,4.106464
196.0,3.990463
196.5,4.170524
197.0,4.392726
197.5,4.390033
198.0,4.292762
198.5,4.052582
199.0,3.851161
199.5,3.775777
200.0,3.776140
200.5,3.813841
201.0,3.822905
201.5,3.911969
202.0,3.968067
202.5,3.944948
203.0,3.834737
203.5,3.867314
204.0,3.818155
204.5,3.819541
205.0,3.979099
205.5,3.943011
206.0,3.683839
206.5,3.650717
207.0,3.764014
207.5,3.705879
208.0,3.794678
208.5,3.822973
209.0,3.602658
209.5,3.444048
210.0,3.506267
210.5,3.585332
211.0,3.489845
211.5,3.560958
212.0,3.571565
212.5,3.440834
213.0,3.421585
213.5,3.336914
214.0,3.252550
214.5,3.428239
215.0,3.391374
215.5,3.319342
216.0,3.339772
216.5,3.242615
217.0,3.126371
217.5,3.179778
218.0,3.147860
218.5,3.142054
219.0,3.138308
219.5,3.138175
220.0,3.150204
220.5,3.036855
221.0,2.869474
221.5,2.870238
222.0,2.929992
222.5,2.854074
223.0,2.875191
223.5,2.831373
224.0,2.893796
224.5,2.939674
225.0,2.869252
225.5,2.827939
226.0,2.863563
226.5,2.950299
227.0,2.965385
227.5,2.916877
228.0,2.931146
228.5,2.946537
229.0,2.974300
229.5,3.021209
230.0,2.914103
230.5,2.781762
231.0,2.832473
231.5,2.845446
232.0,2.790742
232.5,2.799812
233.0,2.779406
233.5,2.795678
234.0,2.802375
234.5,2.724458
235.0,2.687243
235.5,2.739823
236.0,2.732254
236.5,2.759193
237.0,2.706527
237.5,2.657870
238.0,2.615404
238.5,2.597157
239.0,2.660095
239.5,2.599084
240.0,2.500561
240.5,2.517648
241.0,2.565784
241.5,2.653216
242.0,2.662897
242.5,2.623683
243.0,2.587489
243.5,2.667712
244.0,2.729287
244.5,2.774653
245.0,2.798920
245.5,2.804912
246.0,2.737549
246.5,2.668440
247.0,2.611563
247.5,2.551702
248.0,2.528644
248.5,2.544816
249.0,2.669276
249.5,2.680449
250.0,2.673188
250.5,2.662627
251.0,2.630380
251.5,2.572073
252.0,2.541747
