wavelength (nm),flux (F_lambda)
115.0,3.683146
115.5,2.806452
116.0,2.411212
116.5,2.406080
117.0,2.144050
117.5,1.972001
118.0,2.057353
118.5,1.654702
119.0,0.852181
119.5,0.653054
120.0,0.519260
120.5,0.256794
121.0,0.099633
121.5,0.074636
122.0,0.191057
122.5,0.434194
123.0,0.789237
123.5,1.350396
124.0,1.938763
124.5,2.178136
125.0,2.363807
125.5,2.315874
126.0,1.912943
126.5,2.293288
127.0,2.866262
127.5,2.833810
128.0,3.177725
128.5,3.193169
129.0,2.922549
129.5,2.722732
130.0,2.321355
130.5,1.976519
131.0,2.564857
131.5,3.419511
132.0,3.405693
132.5,3.202231
133.0,2.820454
133.5,2.710276
134.0,3.459378
134.5,3.501801
135.0,3.452438
135.5,3.484319
136.0,3.328557
136.5,3.115736
137.0,3.152692
137.5,3.157814
138.0,3.198367
138.5,3.246595
139.0,3.235604
139.5,3.129658
140.0,3.180778
140.5,3.157804
141.0,3.048999
141.5,3.102520
142.0,3.156604
142.5,3.190784
143.0,3.110182
143.5,3.068428
144.0,3.227481
144.5,3.377659
145.0,3.477995
145.5,3.553304
146.0,3.470665
146.5,3.281692
147.0,3.222266
147.5,3.272842
148.0,3.237097
148.5,3.212358
149.0,3.375517
149.5,3.480043
150.0,3.468347
150.5,3.260136
151.0,3.059817
151.5,3.135739
152.0,3.238094
152.5,3.095344
153.0,2.952761
153.5,3.013887
154.0,3.220823
154.5,3.135713
155.0,3.103781
155.5,3.032700
156.0,2.931714
156.5,2.894391
157.0,2.906151
157.5,2.922683
158.0,2.930528
158.5,2.914257
159.0,2.865761
159.5,2.833108
160.0,2.767922
160.5,2.651284
161.0,2.644725
161.5,2.687534
162.0,2.723766
162.5,2.729154
163.0,2.741445
163.5,2.703408
164.0,2.561677
164.5,2.597939
165.0,2.535235
165.5,2.393545
166.0,2.460511
166.5,2.504204
167.0,2.407189
167.5,2.529643
168.0,2.636013
168.5,2.608791
169.0,2.593903
169.5,2.638955
170.0,2.620540
170.5,2.511845
171.0,2.468231
171.5,2.434440
172.0,2.275278
172.5,2.281552
173.0,2.401660
173.5,2.481649
174.0,2.508122
174.5,2.532261
175.0,2.526782
175.5,2.508865
176.0,2.451230
176.5,2.438265
177.0,2.398169
177.5,2.395849
178.0,2.430441
178.5,2.274938
179.0,2.197374
179.5,2.506390
180.0,2.551542
180.5,2.510782
181.0,2.545616
181.5,2.535276
182.0,2.530748
182.5,2.487900
183.0,2.404641
183.5,2.397187
184.0,2.279734
184.5,2.234319
185.0,2.219015
185.5,2.208697
186.0,2.229392
186.5,2.260576
187.0,2.309554
187.5,2.289247
188.0,2.281473
188.5,2.233927
189.0,2.166776
189.5,2.145794
190.0,2.134418
190.5,2.157890
191.0,2.156069
191.5,2.133705
192.0,2.115443
192.5,2.098008
193.0,2.138952
193.5,2.168165
194.0,2.177763
194.5,2.188283
195.0,2.185696
195.5,2.209637
196.0,2.166481
196.5,2.202204
197.0,2.212134
197.5,2.274044
198.0,2.106685
198.5,2.025852
199.0,1.990614
199.5,1.977278
200.0,2.004114
200.5,2.062877
201.0,2.035776
201.5,1.981111
202.0,1.997646
202.5,2.005994
203.0,2.069575
203.5,2.065518
204.0,2.038385
204.5,2.030324
205.0,2.007393
205.5,1.983271
206.0,1.931680
206.5,1.905059
207.0,1.955196
207.5,1.961354
208.0,1.988557
208.5,2.032728
209.0,1.950492
209.5,1.925513
210.0,1.872708
210.5,1.901528
211.0,1.919215
211.5,1.894041
212.0,1.901112
212.5,1.838705
213.0,1.876283
213.5,1.821471
214.0,1.765234
214.5,1.715423
215.0,1.762515
215.5,1.790054
216.0,1.812181
216.5,1.741027
217.0,1.659690
217.5,1.670204
218.0,1.673741
218.5,1.667094
219.0,1.639166
219.5,1.703736
220.0,1.730271
220.5,1.642679
221.0,1.567354
221.5,1.492520
222.0,1.543975
222.5,1.479887
223.0,1.506302
223.5,1.469212
224.0,1.485511
224.5,1.458561
225.0,1.466839
225.5,1.499020
226.0,1.480125
226.5,1.475924
227.0,1.509628
227.5,1.531625
228.0,1.551420
228.5,1.572033
229.0,1.557670
229.5,1.546046
230.0,1.469717
230.5,1.478577
231.0,1.490793
231.5,1.513752
232.0,1.465264
232.5,1.406170
233.0,1.404026
233.5,1.390608
234.0,1.368646
234.5,1.367331
235.0,1.360875
235.5,1.375128
236.0,1.381818
236.5,1.379595
237.0,1.346742
237.5,1.336494
238.0,1.367459
238.5,1.363675
239.0,1.286253
239.5,1.295108
240.0,1.309080
240.5,1.308397
241.0,1.330417
241.5,1.348567
242.0,1.357370
242.5,1.364738
243.0,1.410107
243.5,1.382947
244.0,1.375973
244.5,1.417547
245.0,1.458742
245.5,1.493610
246.0,1.501850
246.5,1.500184
247.0,1.424483
247.5,1.404076
248.0,1.414952
248.5,1.430257
249.0,1.456355
249.5,1.387751
250.0,1.408397
250.5,1.434455
251.0,1.432739
251.5,1.404488
252.0,1.382528
252.5,1.403772
253.0,1.366618
253.5,1.383496
254.0,1.371776
254.5,1.370148
255.0,1.367620
255.5,1.383440
256.0,1.393699
256.5,1.408048
257.0,1.404487
257.5,1.422855
258.0,1.302045
258.5,1.300035
259.0,1.442049
259.5,1.470028
260.0,1.425851
260.5,1.387976
261.0,1.391228
261.5,1.393637
262.0,1.431347
262.5,1.421558
263.0,1.414292
263.5,1.452660
264.0,1.498381
264.5,1.506469
265.0,1.571938
265.5,1.534349
266.0,1.495007
266.5,1.490633
267.0,1.463528
267.5,1.438554
268.0,1.444740
268.5,1.433089
269.0,1.417599
269.5,1.388061
270.0,1.372289
270.5,1.401835
271.0,1.424713
271.5,1.393084
272.0,1.390238
272.5,1.399975
273.0,1.426520
273.5,1.383035
274.0,1.380820
274.5,1.363675
275.0,1.378390
275.5,1.310137
276.0,1.357661
276.5,1.383492
277.0,1.342340
277.5,1.299308
278.0,1.296109
278.5,1.280174
279.0,1.261040
279.5,1.272539
280.0,1.314934
280.5,1.311479
281.0,1.351441
281.5,1.361941
282.0,1.451872
282.5,1.451392
283.0,1.356713
283.5,1.298150
284.0,1.286619
284.5,1.287828
285.0,1.291196
285.5,1.287190
286.0,1.269292
286.5,1.340171
287.0,1.461846
287.5,1.344537
288.0,1.286565
288.5,1.327306
289.0,1.359246
289.5,1.327132
290.0,1.355107
290.5,1.356542
291.0,1.332564
291.5,1.381212
292.0,1.345764
292.5,1.327802
293.0,1.314486
293.5,1.298430
294.0,1.277632
294.5,1.321708
295.0,1.349402
295.5,1.313045
296.0,1.321581
296.5,1.338756
297.0,1.321069
297.5,1.303425
298.0,1.318537
298.5,1.311794
299.0,1.287296
299.5,1.287172
300.0,1.283247
300.5,1.282704
301.0,1.303769
301.5,1.315730
302.0,1.257999
302.5,1.240766
303.0,1.207196
303.5,1.198919
304.0,1.233875
304.5,1.243432
305.0,1.246003
305.5,1.273646
306.0,1.232894
306.5,1.212135
307.0,1.233889
307.5,1.212783
308.0,1.265748
308.5,1.278565
309.0,1.212872
309.5,1.240797
310.0,1.228754
310.5,1.198816
311.0,1.197441
311.5,1.209788
312.0,1.225785
312.5,1.226090
313.0,1.262166
313.5,1.283649
314.0,1.235799
314.5,1.225510
315.0,1.230230
315.5,1.224104
316.0,1.304189
316.5,1.258486
317.0,1.213698
317.5,1.238945
318.0,1.240147
318.5,1.203985
319.0,1.173157
319.5,1.242668
320.0,1.294408
320.5,1.302992
321.0,1.288815
321.5,1.272173
322.0,1.266163
322.5,1.278130
323.0,1.299612
323.5,1.318685
324.0,1.325385
324.5,1.312539
325.0,1.282167
325.5,1.243503
326.0,1.225450
326.5,1.246614
327.0,1.264754
327.5,1.240342
328.0,1.205547
328.5,1.199179
329.0,1.214905
329.5,1.234704
330.0,1.238955
330.5,1.216208
331.0,1.189285
331.5,1.181718
332.0,1.185579
332.5,1.189294
333.0,1.198172
333.5,1.216787
334.0,1.229894
334.5,1.223715
335.0,1.210148
335.5,1.202775
336.0,1.196224
336.5,1.184941
337.0,1.181607
337.5,1.196741
338.0,1.213983
338.5,1.216007
339.0,1.208485
339.5,1.201224
340.0,1.197552
340.5,1.198211
341.0,1.200069
341.5,1.199557
342.0,1.195228
342.5,1.186786
343.0,1.176426
343.5,1.167241
344.0,1.163442
344.5,1.167423
345.0,1.173201
345.5,1.174764
346.0,1.174364
346.5,1.174417
347.0,1.169709
347.5,1.156547
348.0,1.144955
348.5,1.144710
349.0,1.150882
349.5,1.155141
350.0,1.150260
350.5,1.133509
351.0,1.124897
351.5,1.122191
352.0,1.109807
352.5,1.123394
353.0,1.120405
353.5,1.126106
354.0,1.122182
354.5,1.118655
355.0,1.110782
355.5,1.107669
356.0,1.104867
356.5,1.103491
357.0,1.096225
357.5,1.100468
358.0,1.096667
358.5,1.070980
359.0,1.071079
359.5,1.077342
360.0,1.065252
360.5,1.075036
361.0,1.092104
361.5,1.087895
362.0,1.088846
362.5,1.067911
363.0,1.069238
363.5,1.055978
364.0,1.045633
364.5,1.049223
365.0,1.040804
365.5,1.049732
366.0,1.062814
366.5,1.063643
367.0,1.034812
367.5,1.061635
368.0,1.043768
368.5,1.035831
369.0,1.064001
369.5,1.057612
370.0,1.059639
370.5,1.090203
371.0,1.120368
371.5,1.149502
372.0,1.110044
372.5,1.157923
373.0,1.238390
373.5,1.166549
374.0,1.413123
374.5,1.417310
375.0,1.174282
375.5,1.448023
376.0,1.713677
376.5,1.530534
377.0,1.227975
377.5,1.545611
378.0,2.091764
378.5,2.245004
379.0,1.980337
379.5,1.434000
380.0,1.327223
380.5,1.882828
381.0,2.335364
381.5,2.538407
382.0,2.498887
382.5,2.286891
383.0,1.784024
383.5,1.306505
384.0,1.604814
384.5,2.187338
385.0,2.562356
385.5,2.717794
386.0,2.737169
386.5,2.683117
387.0,2.616486
387.5,2.434257
388.0,2.070496
388.5,1.510266
389.0,1.221866
389.5,1.666150
390.0,2.204364
390.5,2.515807
391.0,2.674729
391.5,2.755537
392.0,2.794583
392.5,2.811598
393.0,2.749774
393.5,2.687147
394.0,2.763383
394.5,2.738262
395.0,2.616255
395.5,2.375185
396.0,2.027714
396.5,1.513816
397.0,1.162687
397.5,1.521002
398.0,2.045921
398.5,2.343363
399.0,2.516267
399.5,2.622008
400.0,2.671083
400.5,2.642586
401.0,2.633490
401.5,2.639407
402.0,2.629339
402.5,2.570326
403.0,2.584357
403.5,2.586414
404.0,2.586220
404.5,2.575602
405.0,2.561171
405.5,2.534493
406.0,2.487435
406.5,2.454891
407.0,2.432863
407.5,2.379805
408.0,2.316481
408.5,2.219456
409.0,1.996184
409.5,1.570253
410.0,1.146163
410.5,1.277407
411.0,1.760862
411.5,2.090565
412.0,2.254113
412.5,2.304031
413.0,2.337958
413.5,2.385900
414.0,2.414201
414.5,2.443933
415.0,2.494457
415.5,2.499346
416.0,2.499211
416.5,2.477487
417.0,2.418731
417.5,2.352907
418.0,2.350579
418.5,2.371596
419.0,2.385925
419.5,2.395344
420.0,2.389928
420.5,2.394457
421.0,2.400859
421.5,2.405999
422.0,2.389127
422.5,2.362467
423.0,2.358851
423.5,2.347601
424.0,2.352512
424.5,2.332011
425.0,2.304692
425.5,2.311571
426.0,2.288888
426.5,2.274608
427.0,2.242515
427.5,2.255527
428.0,2.265403
428.5,2.252413
429.0,2.267578
429.5,2.245968
430.0,2.224006
430.5,2.223342
431.0,2.194190
431.5,2.127432
432.0,2.056321
432.5,1.941361
433.0,1.726845
433.5,1.355617
434.0,1.035223
434.5,1.201928
435.0,1.585043
435.5,1.855730
436.0,2.003997
436.5,2.071205
437.0,2.107709
437.5,2.125518
438.0,2.107485
438.5,2.049182
439.0,2.059308
439.5,2.091858
440.0,2.088429
440.5,2.077029
441.0,2.069326
441.5,2.067457
442.0,2.047182
442.5,2.014081
443.0,1.997983
443.5,1.988896
444.0,2.015232
444.5,2.008000
445.0,2.006647
445.5,2.026764
446.0,2.025176
446.5,1.987374
447.0,1.945607
447.5,1.941498
448.0,1.904193
448.5,1.940423
449.0,1.969560
449.5,1.970027
450.0,1.970663
450.5,1.964233
451.0,1.945914
451.5,1.944003
452.0,1.932650
452.5,1.926816
453.0,1.930192
453.5,1.906317
454.0,1.886461
454.5,1.874839
455.0,1.856520
455.5,1.856969
456.0,1.864455
456.5,1.861906
457.0,1.871211
457.5,1.860576
458.0,1.850666
458.5,1.831408
459.0,1.816690
459.5,1.819894
460.0,1.825532
460.5,1.809691
461.0,1.795387
461.5,1.794540
462.0,1.796781
462.5,1.796841
463.0,1.774590
463.5,1.763623
464.0,1.770710
464.5,1.792698
465.0,1.777108
465.5,1.766348
466.0,1.768353
466.5,1.759567
467.0,1.760284
467.5,1.759086
468.0,1.751426
468.5,1.747531
469.0,1.733617
469.5,1.714509
470.0,1.700934
470.5,1.685824
471.0,1.677974
471.5,1.677422
472.0,1.677875
472.5,1.667629
473.0,1.664546
473.5,1.641747
474.0,1.649850
474.5,1.644041
475.0,1.645036
475.5,1.636987
476.0,1.615584
476.5,1.599936
477.0,1.589906
477.5,1.585374
478.0,1.582418
478.5,1.571539
479.0,1.552458
479.5,1.553180
480.0,1.561078
480.5,1.569352
481.0,1.575977
481.5,1.548159
482.0,1.527140
482.5,1.520642
483.0,1.490126
483.5,1.480387
484.0,1.462256
484.5,1.395076
485.0,1.263400
485.5,1.085879
486.0,0.868596
486.5,0.815058
487.0,0.992391
487.5,1.186866
488.0,1.320372
488.5,1.403138
489.0,1.432157
489.5,1.458799
490.0,1.487208
490.5,1.481736
491.0,1.479630
491.5,1.495451
492.0,1.494588
492.5,1.474376
493.0,1.463554
493.5,1.481395
494.0,1.506935
494.5,1.484679
495.0,1.466383
495.5,1.465063
496.0,1.464099
496.5,1.455585
497.0,1.444294
497.5,1.439226
498.0,1.437513
498.5,1.426569
499.0,1.416617
499.5,1.418122
500.0,1.362214
500.5,1.331049
501.0,1.374272
501.5,1.377954
502.0,1.366890
502.5,1.376325
503.0,1.396030
503.5,1.384497
504.0,1.348842
504.5,1.323432
505.0,1.318660
505.5,1.322464
506.0,1.305677
506.5,1.322329
507.0,1.316497
507.5,1.321923
508.0,1.331215
508.5,1.343765
509.0,1.338662
509.5,1.334452
510.0,1.315941
510.5,1.314166
511.0,1.306097
511.5,1.300102
512.0,1.298757
512.5,1.308536
513.0,1.295794
513.5,1.296980
514.0,1.293248
514.5,1.272927
515.0,1.280483
515.5,1.265123
516.0,1.244852
516.5,1.248761
517.0,1.228351
517.5,1.218748
518.0,1.228957
518.5,1.235267
519.0,1.237621
519.5,1.228692
520.0,1.216825
520.5,1.222395
521.0,1.213872
521.5,1.197677
522.0,1.201006
522.5,1.191061
523.0,1.174867
523.5,1.181420
524.0,1.186636
524.5,1.180200
525.0,1.180143
525.5,1.178791
526.0,1.174848
526.5,1.172829
527.0,1.161194
527.5,1.162815
528.0,1.159127
528.5,1.149823
529.0,1.153507
529.5,1.149115
530.0,1.144653
530.5,1.134655
531.0,1.129359
531.5,1.126814
532.0,1.123527
532.5,1.122053
533.0,1.112969
533.5,1.119364
534.0,1.119032
534.5,1.113179
535.0,1.113443
535.5,1.111919
536.0,1.106797
536.5,1.096513
537.0,1.092653
537.5,1.101024
538.0,1.096654
538.5,1.104045
539.0,1.106834
539.5,1.090893
540.0,1.085434
540.5,1.076030
541.0,1.066260
541.5,1.068639
542.0,1.067215
542.5,1.060634
543.0,1.063041
543.5,1.068301
544.0,1.064498
544.5,1.049570
545.0,1.041783
545.5,1.042910
546.0,1.043476
546.5,1.049555
547.0,1.033479
547.5,1.033056
548.0,1.036611
548.5,1.039725
549.0,1.042640
549.5,1.030127
550.0,1.031731
550.5,1.028452
551.0,1.033452
551.5,1.023686
552.0,1.010624
552.5,1.016056
553.0,1.006559
553.5,1.011910
554.0,1.007882
554.5,0.991376
555.0,0.999845
555.5,1.001638
556.0,0.990436
556.5,0.991275
557.0,0.990684
557.5,0.991125
558.0,0.988903
558.5,0.986880
559.0,0.990824
559.5,0.983407
560.0,0.973764
560.5,0.971557
561.0,0.974190
561.5,0.971143
562.0,0.959132
562.5,0.967745
563.0,0.969385
563.5,0.957651
564.0,0.950613
564.5,0.950294
565.0,0.946077
565.5,0.947354
566.0,0.948478
566.5,0.937159
567.0,0.932849
567.5,0.933554
568.0,0.946598
568.5,0.944364
569.0,0.931725
569.5,0.919287
570.0,0.924063
570.5,0.921498
571.0,0.910643
571.5,0.917449
572.0,0.921900
572.5,0.915562
573.0,0.911590
573.5,0.907578
574.0,0.900825
574.5,0.898989
575.0,0.903877
575.5,0.901074
576.0,0.904870
576.5,0.904860
577.0,0.902162
577.5,0.893362
578.0,0.881731
578.5,0.862427
579.0,0.863768
