wavelength (nm),flux (F_lambda)
115.0,0.031096
115.5,0.028771
116.0,0.023100
116.5,0.007724
117.0,0.007765
117.5,0.012171
118.0,0.002458
118.5,0.000021
119.0,0.001387
119.5,0.002472
120.0,0.002583
120.5,0.004398
121.0,0.009066
121.5,0.015257
122.0,0.010152
122.5,0.002678
123.0,0.000883
123.5,0.002486
124.0,0.003344
124.5,0.002322
125.0,0.002433
125.5,0.001963
126.0,0.001794
126.5,0.001730
127.0,0.000993
127.5,0.001206
128.0,0.002753
128.5,0.001179
129.0,0.002076
129.5,0.003024
130.0,0.002450
130.5,0.002615
131.0,0.000992
131.5,0.001566
132.0,0.002433
132.5,0.001357
133.0,0.000535
133.5,0.001950
134.0,0.003358
134.5,0.001847
135.0,0.002358
135.5,0.001672
136.0,0.001008
136.5,0.002964
137.0,0.003357
137.5,0.003643
138.0,0.001231
138.5,0.002246
139.0,0.003308
139.5,0.002630
140.0,0.003822
140.5,0.002446
141.0,0.001499
141.5,0.003155
142.0,0.003952
142.5,0.002812
143.0,0.002605
143.5,0.002254
144.0,0.003440
144.5,0.004767
145.0,0.002491
145.5,0.002059
146.0,0.003513
146.5,0.006277
147.0,0.001115
147.5,0.000501
148.0,0.008130
148.5,0.002156
149.0,0.004778
149.5,0.008458
150.0,0.003841
150.5,0.001957
151.0,0.003420
151.5,0.006114
152.0,0.003962
152.5,0.001139
153.0,0.006855
153.5,0.006453
154.0,0.001694
154.5,0.005060
155.0,0.007856
155.5,0.004681
156.0,0.004986
156.5,0.006985
157.0,0.004669
157.5,0.003905
158.0,0.010616
158.5,0.006638
159.0,0.000646
159.5,0.006199
160.0,0.007845
160.5,0.000414
161.0,0.002153
161.5,0.009288
162.0,0.009288
162.5,0.004239
163.0,0.003526
163.5,0.007625
164.0,0.007296
164.5,0.004462
165.0,0.006430
165.5,0.010808
166.0,0.008122
166.5,0.005241
167.0,0.006120
167.5,0.007489
168.0,0.007684
168.5,0.007725
169.0,0.009811
169.5,0.012474
170.0,0.013737
170.5,0.018894
171.0,0.025563
171.5,0.028889
172.0,0.028573
172.5,0.032588
173.0,0.036540
173.5,0.034869
174.0,0.037658
174.5,0.046543
175.0,0.053467
175.5,0.056035
176.0,0.053461
176.5,0.055556
177.0,0.066260
177.5,0.081664
178.0,0.088193
178.5,0.080906
179.0,0.084405
179.5,0.096423
180.0,0.092407
180.5,0.082739
181.0,0.088719
181.5,0.092094
182.0,0.096793
182.5,0.099158
183.0,0.094583
183.5,0.087977
184.0,0.075555
184.5,0.065242
185.0,0.062377
185.5,0.073305
186.0,0.084228
186.5,0.096596
187.0,0.104122
187.5,0.103329
188.0,0.110359
188.5,0.115436
189.0,0.113247
189.5,0.107158
190.0,0.102887
190.5,0.109420
191.0,0.114537
191.5,0.122210
192.0,0.122388
192.5,0.103746
193.0,0.079497
193.5,0.087534
194.0,0.126969
194.5,0.150440
195.0,0.154359
195.5,0.148171
196.0,0.130557
196.5,0.120288
197.0,0.125874
197.5,0.153200
198.0,0.135512
198.5,0.138206
199.0,0.126816
199.5,0.104043
200.0,0.135484
200.5,0.129068
201.0,0.119349
201.5,0.136556
202.0,0.139711
202.5,0.147397
203.0,0.161361
203.5,0.174035
204.0,0.156750
204.5,0.170267
205.0,0.178552
205.5,0.186918
206.0,0.190130
206.5,0.180939
207.0,0.193590
207.5,0.192993
208.0,0.242860
208.5,0.254889
209.0,0.242000
209.5,0.214551
210.0,0.204367
210.5,0.202543
211.0,0.228288
211.5,0.236223
212.0,0.243092
212.5,0.246770
213.0,0.229948
213.5,0.191790
214.0,0.189643
214.5,0.224489
215.0,0.226696
215.5,0.241970
216.0,0.218054
216.5,0.205600
217.0,0.208143
217.5,0.184302
218.0,0.188536
218.5,0.219667
219.0,0.240475
219.5,0.250513
220.0,0.252790
220.5,0.260006
221.0,0.255639
221.5,0.235494
222.0,0.206614
222.5,0.199020
223.0,0.194154
223.5,0.227175
224.0,0.243507
224.5,0.215120
225.0,0.234834
225.5,0.246088
226.0,0.225322
226.5,0.201199
227.0,0.180519
227.5,0.169826
228.0,0.183906
228.5,0.224859
229.0,0.228670
229.5,0.221671
230.0,0.213329
230.5,0.214930
231.0,0.213090
231.5,0.214249
232.0,0.204110
232.5,0.215844
233.0,0.218151
233.5,0.187652
234.0,0.158698
234.5,0.147215
235.0,0.140352
235.5,0.149136
236.0,0.161431
236.5,0.154526
237.0,0.164708
237.5,0.169920
238.0,0.158278
238.5,0.133973
239.0,0.127165
239.5,0.131896
240.0,0.135050
240.5,0.116920
241.0,0.104860
241.5,0.116189
242.0,0.160623
242.5,0.204973
243.0,0.214498
243.5,0.201537
244.0,0.214087
244.5,0.229890
245.0,0.207421
245.5,0.207593
246.0,0.212907
246.5,0.192233
247.0,0.177364
247.5,0.187774
248.0,0.198805
248.5,0.181461
249.0,0.160080
249.5,0.172283
250.0,0.211536
250.5,0.216441
251.0,0.209334
251.5,0.185051
252.0,0.155509
252.5,0.146849
253.0,0.146921
253.5,0.146123
254.0,0.150112
254.5,0.145531
255.0,0.167008
255.5,0.184656
256.0,0.199735
256.5,0.222125
257.0,0.257652
257.5,0.241926
258.0,0.177220
258.5,0.197653
259.0,0.240283
259.5,0.240642
260.0,0.213411
260.5,0.208574
261.0,0.200819
261.5,0.197446
262.0,0.227920
262.5,0.228062
263.0,0.238928
263.5,0.326114
264.0,0.387050
264.5,0.436719
265.0,0.451119
265.5,0.444201
266.0,0.417652
266.5,0.370021
267.0,0.347460
267.5,0.369705
268.0,0.396615
268.5,0.390599
269.0,0.369733
269.5,0.372465
270.0,0.385714
270.5,0.366656
271.0,0.347081
271.5,0.341547
272.0,0.335747
272.5,0.347126
273.0,0.352220
273.5,0.345686
274.0,0.297582
274.5,0.246626
275.0,0.227866
275.5,0.253356
276.0,0.303248
276.5,0.339951
277.0,0.372171
277.5,0.372470
278.0,0.343513
278.5,0.287093
279.0,0.243432
279.5,0.186593
280.0,0.148346
280.5,0.168225
281.0,0.250991
281.5,0.369540
282.0,0.447537
282.5,0.464595
283.0,0.487518
283.5,0.449250
284.0,0.431149
284.5,0.443541
285.0,0.378731
285.5,0.349640
286.0,0.396621
286.5,0.424733
287.0,0.431566
287.5,0.464819
288.0,0.470128
288.5,0.453603
289.0,0.449661
289.5,0.454268
290.0,0.494247
290.5,0.561284
291.0,0.586167
291.5,0.573661
292.0,0.550092
292.5,0.510674
293.0,0.511889
293.5,0.521684
294.0,0.529034
294.5,0.524747
295.0,0.507389
295.5,0.546605
296.0,0.591876
296.5,0.590644
297.0,0.560770
297.5,0.540809
298.0,0.551172
298.5,0.522606
299.0,0.537988
299.5,0.584400
300.0,0.570981
300.5,0.554597
301.0,0.570915
301.5,0.563108
302.0,0.552427
302.5,0.548090
303.0,0.573724
303.5,0.587857
304.0,0.574415
304.5,0.569930
305.0,0.579313
305.5,0.572455
306.0,0.549938
306.5,0.563500
307.0,0.575312
307.5,0.592302
308.0,0.595513
308.5,0.600036
309.0,0.595990
309.5,0.560775
310.0,0.555679
310.5,0.584890
311.0,0.621316
311.5,0.621763
312.0,0.587432
312.5,0.584670
313.0,0.596337
313.5,0.600290
314.0,0.627097
314.5,0.643887
315.0,0.630049
315.5,0.616215
316.0,0.684894
316.5,0.679502
317.0,0.705532
317.5,0.696142
318.0,0.664527
