wavelength (nm),flux (F_lambda)
115.0,0.155273
115.5,0.060456
116.0,0.015629
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.006906
120.5,0.002796
121.0,0.011170
121.5,0.055758
122.0,0.031068
122.5,0.000000
123.0,0.000000
123.5,0.000000
124.0,0.000000
124.5,0.000000
125.0,0.005534
125.5,0.002671
126.0,0.003873
126.5,0.000000
127.0,0.000000
127.5,0.000000
128.0,0.000000
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.000064
131.0,0.005193
131.5,0.002668
132.0,0.009086
132.5,0.005034
133.0,0.000000
133.5,0.000000
134.0,0.006048
134.5,0.009883
135.0,0.000000
135.5,0.000000
136.0,0.000000
136.5,0.000489
137.0,0.002639
137.5,0.000560
138.0,0.004366
138.5,0.004102
139.0,0.000572
139.5,0.000000
140.0,0.000000
140.5,0.000374
141.0,0.001805
141.5,0.000664
142.0,0.000000
142.5,0.000949
143.0,0.007529
143.5,0.004100
144.0,0.004928
144.5,0.003202
145.0,0.000000
145.5,0.000572
146.0,0.000000
146.5,0.008049
147.0,0.003624
147.5,0.000278
148.0,0.000000
148.5,0.000000
149.0,0.000655
149.5,0.002635
150.0,0.005762
150.5,0.003920
151.0,0.002654
151.5,0.010903
152.0,0.010828
152.5,0.005791
153.0,0.002104
153.5,0.002806
154.0,0.005471
154.5,0.005565
155.0,0.003168
155.5,0.006524
156.0,0.015137
156.5,0.012023
157.0,0.009738
157.5,0.011540
158.0,0.011176
158.5,0.000000
159.0,0.002329
159.5,0.013580
160.0,0.006790
160.5,0.008143
161.0,0.008003
161.5,0.001259
162.0,0.000000
162.5,0.000000
163.0,0.000000
163.5,0.000000
164.0,0.000000
164.5,0.006994
165.0,0.006042
165.5,0.006977
166.0,0.003162
166.5,0.000000
167.0,0.000000
167.5,0.001058
168.0,0.009058
168.5,0.014565
169.0,0.019235
169.5,0.022901
170.0,0.036778
170.5,0.048759
171.0,0.052253
171.5,0.059039
172.0,0.060008
172.5,0.060390
173.0,0.073334
173.5,0.074254
174.0,0.072537
174.5,0.072844
175.0,0.094292
175.5,0.097863
176.0,0.082209
176.5,0.078339
177.0,0.094537
177.5,0.119003
178.0,0.124100
178.5,0.115718
179.0,0.124379
179.5,0.136562
180.0,0.133966
180.5,0.112071
181.0,0.113217
181.5,0.123495
182.0,0.122382
182.5,0.121373
183.0,0.107612
183.5,0.105202
184.0,0.107567
184.5,0.100060
185.0,0.087687
185.5,0.091471
186.0,0.103090
186.5,0.111854
187.0,0.126878
187.5,0.117772
188.0,0.123976
188.5,0.137166
189.0,0.129673
189.5,0.126398
190.0,0.114500
190.5,0.117301
191.0,0.127418
191.5,0.141804
192.0,0.148618
192.5,0.124289
193.0,0.091822
193.5,0.087969
194.0,0.125956
194.5,0.159535
195.0,0.168363
195.5,0.171779
196.0,0.177179
196.5,0.182835
197.0,0.173310
197.5,0.202430
198.0,0.196343
198.5,0.203956
199.0,0.178365
199.5,0.162483
200.0,0.178009
200.5,0.178972
201.0,0.163519
201.5,0.171125
202.0,0.173487
202.5,0.170985
203.0,0.170303
203.5,0.184260
204.0,0.187735
204.5,0.183156
205.0,0.201306
205.5,0.214298
206.0,0.209785
206.5,0.200006
