wavelength (nm),flux (F_lambda)
115.0,0.000000
115.5,0.000000
116.0,0.000000
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000000
120.5,0.000000
121.0,0.000000
121.5,0.000000
122.0,0.000000
122.5,0.000000
123.0,0.000000
123.5,0.000000
124.0,0.000000
124.5,0.000000
125.0,0.000000
125.5,0.000000
126.0,0.000000
126.5,0.000000
127.0,0.000000
127.5,0.000000
128.0,0.000000
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.000000
131.0,0.000000
131.5,0.000000
132.0,0.000000
132.5,0.000000
133.0,0.000000
133.5,0.000000
134.0,0.000000
134.5,0.000000
135.0,0.000000
135.5,0.000000
136.0,0.000001
136.5,0.000001
137.0,0.000002
137.5,0.000002
138.0,0.000002
138.5,0.000002
139.0,0.000002
139.5,0.000001
140.0,0.000000
140.5,0.000000
141.0,0.000000
141.5,0.000000
142.0,0.000000
142.5,0.000000
143.0,0.000000
143.5,0.000000
144.0,0.000000
144.5,0.000000
145.0,0.000000
145.5,0.000005
146.0,0.000012
146.5,0.000018
147.0,0.000024
147.5,0.000028
148.0,0.000030
148.5,0.000029
149.0,0.000024
149.5,0.000015
150.0,0.000000
150.5,0.000000
151.0,0.000000
151.5,0.000000
152.0,0.000000
152.5,0.000000
153.0,0.000000
153.5,0.000000
154.0,0.000000
154.5,0.000000
155.0,0.000000
155.5,0.000078
156.0,0.000181
156.5,0.000309
157.0,0.000464
157.5,0.000647
158.0,0.000859
158.5,0.001101
159.0,0.001375
159.5,0.001681
160.0,0.002022
160.5,0.002397
161.0,0.002805
161.5,0.003246
162.0,0.003716
162.5,0.004215
163.0,0.004741
163.5,0.005291
164.0,0.005865
164.5,0.006460
165.0,0.007075
165.5,0.007714
166.0,0.008401
166.5,0.009166
167.0,0.010038
167.5,0.011048
168.0,0.012225
168.5,0.013599
169.0,0.015201
169.5,0.017060
170.0,0.019205
170.5,0.021654
171.0,0.024375
171.5,0.027323
172.0,0.030453
172.5,0.033720
173.0,0.037079
173.5,0.040486
174.0,0.043894
174.5,0.047260
175.0,0.050539
175.5,0.053691
176.0,0.056696
176.5,0.059541
177.0,0.062211
177.5,0.064693
178.0,0.066973
178.5,0.069036
179.0,0.070869
179.5,0.072457
180.0,0.073787
180.5,0.074858
181.0,0.075720
181.5,0.076439
182.0,0.077080
182.5,0.077706
183.0,0.078382
183.5,0.079174
184.0,0.080145
184.5,0.081360
185.0,0.082884
185.5,0.084757
186.0,0.086923
186.5,0.089301
187.0,0.091810
187.5,0.094371
188.0,0.096902
188.5,0.099323
189.0,0.101554
189.5,0.103513
190.0,0.105121
190.5,0.106321
191.0,0.107152
191.5,0.107678
192.0,0.107963
192.5,0.108069
193.0,0.108061
193.5,0.108002
194.0,0.107955
194.5,0.107985
195.0,0.108154
195.5,0.108514
196.0,0.109067
196.5,0.109804
197.0,0.110714
197.5,0.111788
198.0,0.113016
198.5,0.114389
199.0,0.115895
199.5,0.117527
200.0,0.119272
200.5,0.121119
201.0,0.123041
201.5,0.125007
202.0,0.126987
202.5,0.128951
203.0,0.130868
203.5,0.132708
204.0,0.134442
204.5,0.136038
205.0,0.137466
205.5,0.138710
206.0,0.139801
206.5,0.140787
207.0,0.141712
207.5,0.142624
208.0,0.143568
208.5,0.144590
209.0,0.145736
209.5,0.147053
210.0,0.148585
210.5,0.150361
211.0,0.152337
211.5,0.154449
212.0,0.156635
212.5,0.158832
213.0,0.160978
213.5,0.163009
214.0,0.164863
214.5,0.166478
215.0,0.167790
215.5,0.168754
216.0,0.169394
216.5,0.169751
217.0,0.169866
217.5,0.169781
218.0,0.169536
218.5,0.169174
219.0,0.168734
219.5,0.168259
220.0,0.167790
220.5,0.167360
221.0,0.166979
221.5,0.166646
222.0,0.166363
222.5,0.166130
223.0,0.165950
223.5,0.165823
224.0,0.165749
224.5,0.165731
225.0,0.165768
225.5,0.165852
226.0,0.165929
226.5,0.165937
227.0,0.165811
227.5,0.165487
228.0,0.164904
228.5,0.163996
229.0,0.162700
229.5,0.160954
230.0,0.158693
230.5,0.155881
231.0,0.152592
231.5,0.148928
232.0,0.144991
232.5,0.140881
233.0,0.136699
233.5,0.132549
234.0,0.128530
234.5,0.124744
235.0,0.121294
235.5,0.118266
236.0,0.115696
236.5,0.113606
237.0,0.112017
237.5,0.110950
238.0,0.110428
238.5,0.110472
239.0,0.111104
239.5,0.112346
240.0,0.114218
240.5,0.116721
241.0,0.119761
241.5,0.123223
242.0,0.126992
242.5,0.130953
243.0,0.134990
243.5,0.138988
244.0,0.142832
244.5,0.146406
245.0,0.149596
245.5,0.152306
246.0,0.154525
246.5,0.156262
247.0,0.157525
247.5,0.158324
248.0,0.158667
248.5,0.158564
249.0,0.158022
249.5,0.157051
250.0,0.155660
250.5,0.153871
251.0,0.151756
251.5,0.149401
252.0,0.146893
252.5,0.144317
253.0,0.141759
253.5,0.139304
254.0,0.137040
254.5,0.135051
255.0,0.133423
255.5,0.132249
256.0,0.131643
256.5,0.131725
257.0,0.132617
257.5,0.134439
258.0,0.137312
258.5,0.141356
259.0,0.146693
259.5,0.153442
260.0,0.161725
260.5,0.171569
261.0,0.182633
261.5,0.194480
262.0,0.206676
262.5,0.218785
263.0,0.230373
263.5,0.241004
264.0,0.250243
264.5,0.257654
265.0,0.262803
265.5,0.265383
266.0,0.265599
266.5,0.263787
267.0,0.260280
267.5,0.255412
268.0,0.249519
268.5,0.242934
269.0,0.235991
269.5,0.229026
270.0,0.222372
270.5,0.216299
271.0,0.210819
271.5,0.205878
272.0,0.201424
272.5,0.197403
273.0,0.193762
273.5,0.190449
274.0,0.187409
274.5,0.184591
275.0,0.181941
275.5,0.179426
276.0,0.177098
276.5,0.175030
277.0,0.173292
277.5,0.171958
278.0,0.171098
278.5,0.170786
279.0,0.171094
279.5,0.172092
280.0,0.173854
280.5,0.176425
281.0,0.179742
281.5,0.183715
282.0,0.188254
282.5,0.193271
283.0,0.198675
283.5,0.204377
284.0,0.210286
284.5,0.216315
285.0,0.222372
285.5,0.228387
286.0,0.234360
286.5,0.240312
287.0,0.246262
287.5,0.252230
288.0,0.258234
288.5,0.264296
289.0,0.270435
289.5,0.276669
290.0,0.283019
290.5,0.289491
291.0,0.296036
291.5,0.302594
292.0,0.309102
292.5,0.315499
293.0,0.321724
293.5,0.327715
294.0,0.333410
294.5,0.338747
295.0,0.343666
295.5,0.348122
296.0,0.352142
296.5,0.355771
297.0,0.359054
297.5,0.362036
298.0,0.364761
298.5,0.367274
299.0,0.369620
299.5,0.371843
300.0,0.373989
300.5,0.376095
301.0,0.378172
301.5,0.380224
302.0,0.382254
302.5,0.384267
303.0,0.386267
303.5,0.388256
304.0,0.390240
304.5,0.392221
