wavelength (nm),flux (F_lambda)
115.0,0.009566
115.5,0.004826
116.0,0.001545
116.5,0.001066
117.0,0.001378
117.5,0.000907
118.0,0.000917
118.5,0.000000
119.0,0.000510
119.5,0.000953
120.0,0.000715
120.5,0.000958
121.0,0.001268
121.5,0.001151
122.0,0.000744
122.5,0.000751
123.0,0.000562
123.5,0.000338
124.0,0.000350
124.5,0.000502
125.0,0.000479
125.5,0.000387
126.0,0.000325
126.5,0.000367
127.0,0.000329
127.5,0.000246
128.0,0.000310
128.5,0.000204
129.0,0.000168
129.5,0.000433
130.0,0.000498
130.5,0.000333
131.0,0.000298
131.5,0.000275
132.0,0.000228
132.5,0.000235
133.0,0.000282
133.5,0.000351
134.0,0.000405
134.5,0.000305
135.0,0.000329
135.5,0.000230
136.0,0.000223
136.5,0.000260
137.0,0.000415
137.5,0.000417
138.0,0.000301
138.5,0.000144
139.0,0.000091
139.5,0.000129
140.0,0.000161
140.5,0.000133
141.0,0.000147
141.5,0.000212
142.0,0.000210
142.5,0.000226
143.0,0.000264
143.5,0.000290
144.0,0.000399
144.5,0.000570
145.0,0.000498
145.5,0.000375
146.0,0.000213
146.5,0.000362
147.0,0.000325
147.5,0.000471
148.0,0.000561
148.5,0.000476
149.0,0.000687
149.5,0.000588
150.0,0.000567
150.5,0.000605
151.0,0.000408
151.5,0.000479
152.0,0.000673
152.5,0.000846
153.0,0.000658
153.5,0.000676
154.0,0.000752
154.5,0.000703
155.0,0.000782
155.5,0.000755
156.0,0.000545
156.5,0.000614
157.0,0.000809
157.5,0.000861
158.0,0.000790
158.5,0.000907
159.0,0.000935
159.5,0.000869
160.0,0.000770
160.5,0.000819
161.0,0.000911
161.5,0.000890
162.0,0.000923
162.5,0.000861
163.0,0.000867
163.5,0.000857
164.0,0.000810
164.5,0.000801
165.0,0.000650
165.5,0.000656
166.0,0.001049
166.5,0.000993
167.0,0.000976
167.5,0.001162
168.0,0.001224
168.5,0.001478
169.0,0.001908
169.5,0.002364
170.0,0.002775
170.5,0.003258
171.0,0.003721
171.5,0.004332
172.0,0.004714
172.5,0.005298
173.0,0.005063
173.5,0.005032
174.0,0.005377
174.5,0.006640
175.0,0.007785
175.5,0.007893
176.0,0.007545
176.5,0.008607
177.0,0.010738
177.5,0.012521
178.0,0.011326
178.5,0.009643
179.0,0.014732
179.5,0.017059
180.0,0.015232
180.5,0.014287
181.0,0.017564
181.5,0.017559
182.0,0.016997
182.5,0.015301
183.0,0.014769
183.5,0.014830
184.0,0.012973
184.5,0.011725
185.0,0.011783
185.5,0.012468
186.0,0.013235
186.5,0.015834
187.0,0.018183
187.5,0.020808
188.0,0.027119
188.5,0.028330
189.0,0.028927
189.5,0.023391
190.0,0.019510
190.5,0.019904
191.0,0.025818
191.5,0.035214
192.0,0.034718
192.5,0.022964
193.0,0.017168
193.5,0.027435
194.0,0.042151
194.5,0.045649
195.0,0.041177
195.5,0.027200
196.0,0.023659
196.5,0.025346
197.0,0.027620
197.5,0.027374
198.0,0.027619
198.5,0.027394
199.0,0.025204
199.5,0.022078
200.0,0.021962
200.5,0.023999
201.0,0.030421
201.5,0.032926
202.0,0.033435
202.5,0.034856
203.0,0.029623
203.5,0.032067
204.0,0.035258
204.5,0.033128
205.0,0.035006
205.5,0.043698
206.0,0.033724
206.5,0.036193
207.0,0.036479
207.5,0.039979
208.0,0.044696
208.5,0.044884
209.0,0.045292
209.5,0.041263
210.0,0.040564
210.5,0.050908
211.0,0.049602
211.5,0.041404
212.0,0.043732
212.5,0.051464
213.0,0.050171
213.5,0.041472
214.0,0.038082
214.5,0.042423
215.0,0.044731
215.5,0.048353
216.0,0.050237
216.5,0.047481
217.0,0.043998
217.5,0.042793
218.0,0.041050
218.5,0.036598
219.0,0.050744
219.5,0.066056
220.0,0.066474
220.5,0.065511
221.0,0.057311
221.5,0.046828
222.0,0.036658
222.5,0.041323
223.0,0.047288
223.5,0.049000
224.0,0.051843
224.5,0.053314
225.0,0.053279
225.5,0.051510
226.0,0.047948
226.5,0.050094
227.0,0.052285
227.5,0.051749
228.0,0.049388
228.5,0.058530
229.0,0.063730
229.5,0.063593
230.0,0.059901
230.5,0.050067
231.0,0.053690
231.5,0.060392
232.0,0.057165
232.5,0.057501
233.0,0.055375
233.5,0.042705
234.0,0.032682
234.5,0.037505
235.0,0.028674
235.5,0.029607
236.0,0.036711
236.5,0.034369
237.0,0.035164
237.5,0.043518
238.0,0.047393
238.5,0.039757
239.0,0.031020
239.5,0.030926
240.0,0.030717
240.5,0.020659
241.0,0.024601
241.5,0.027929
242.0,0.038236
242.5,0.059399
243.0,0.070044
243.5,0.065487
244.0,0.066202
244.5,0.073006
245.0,0.071259
245.5,0.068784
246.0,0.073561
246.5,0.067601
247.0,0.059754
247.5,0.062221
248.0,0.064572
248.5,0.063024
249.0,0.060931
249.5,0.061477
250.0,0.069312
250.5,0.077606
251.0,0.079244
251.5,0.077848
252.0,0.066896
252.5,0.057712
253.0,0.052734
253.5,0.055809
254.0,0.055406
254.5,0.056284
255.0,0.061160
255.5,0.067298
256.0,0.070937
256.5,0.078526
257.0,0.079372
257.5,0.079061
258.0,0.065961
258.5,0.062048
259.0,0.069205
259.5,0.071428
260.0,0.063080
260.5,0.054493
261.0,0.055973
261.5,0.052491
262.0,0.057007
262.5,0.060803
263.0,0.063476
263.5,0.070573
264.0,0.100396
264.5,0.144667
265.0,0.165150
265.5,0.170054
266.0,0.165186
266.5,0.148630
267.0,0.134486
267.5,0.132742
268.0,0.139775
268.5,0.136182
269.0,0.121515
269.5,0.115021
270.0,0.119272
270.5,0.134211
271.0,0.136510
271.5,0.125578
272.0,0.116737
272.5,0.115422
273.0,0.119289
273.5,0.127751
274.0,0.117348
274.5,0.088839
275.0,0.074128
275.5,0.073061
276.0,0.080797
276.5,0.090661
277.0,0.100735
277.5,0.108616
278.0,0.110913
278.5,0.098006
279.0,0.079755
279.5,0.057041
280.0,0.033389
280.5,0.028953
281.0,0.044168
281.5,0.076574
282.0,0.116928
282.5,0.149527
283.0,0.162250
283.5,0.163158
284.0,0.158913
284.5,0.149152
285.0,0.145912
285.5,0.136885
286.0,0.149482
286.5,0.173278
287.0,0.173502
287.5,0.169656
288.0,0.168817
288.5,0.169273
289.0,0.186704
289.5,0.183728
290.0,0.186454
290.5,0.214913
291.0,0.230406
291.5,0.231957
292.0,0.235349
292.5,0.219719
293.0,0.203138
293.5,0.206818
294.0,0.224179
294.5,0.225656
295.0,0.218923
295.5,0.214924
296.0,0.235506
296.5,0.258387
297.0,0.247373
297.5,0.239324
298.0,0.267565
298.5,0.252664
299.0,0.242603
299.5,0.264228
300.0,0.282575
300.5,0.265610
301.0,0.264305
301.5,0.285364
302.0,0.280889
302.5,0.271320
303.0,0.271803
303.5,0.267214
304.0,0.264083
304.5,0.266764
305.0,0.273998
305.5,0.285037
306.0,0.275001
306.5,0.262649
307.0,0.287650
307.5,0.304898
308.0,0.308495
308.5,0.315644
309.0,0.330424
309.5,0.314977
310.0,0.284259
310.5,0.294987
311.0,0.307046
311.5,0.317786
312.0,0.307215
312.5,0.302267
313.0,0.311194
313.5,0.312503
314.0,0.321693
314.5,0.335108
315.0,0.329775
315.5,0.333335
316.0,0.323361
316.5,0.309969
317.0,0.314453
317.5,0.340706
318.0,0.343906
318.5,0.312207
319.0,0.318328
319.5,0.325658
320.0,0.316112
320.5,0.317349
321.0,0.319167
321.5,0.321501
322.0,0.324282
322.5,0.327447
323.0,0.330929
323.5,0.334661
324.0,0.338578
324.5,0.342614
325.0,0.346703
325.5,0.350785
326.0,0.354827
326.5,0.358800
327.0,0.362678
327.5,0.366433
328.0,0.370037
328.5,0.373462
329.0,0.376682
329.5,0.379668
330.0,0.382393
330.5,0.384838
331.0,0.387018
331.5,0.388956
332.0,0.390675
332.5,0.392198
333.0,0.393548
333.5,0.394749
334.0,0.395824
334.5,0.396796
335.0,0.397689
335.5,0.398525
336.0,0.399331
336.5,0.400134
337.0,0.400959
337.5,0.401835
338.0,0.402786
338.5,0.403841
339.0,0.405024
339.5,0.406364
340.0,0.407886
340.5,0.409601
341.0,0.411457
341.5,0.413385
342.0,0.415318
342.5,0.417186
343.0,0.418923
343.5,0.420459
344.0,0.421726
344.5,0.422656
345.0,0.423182
345.5,0.423260
346.0,0.422959
346.5,0.422371
347.0,0.421590
347.5,0.420710
348.0,0.419823
348.5,0.419024
349.0,0.418405
349.5,0.418060
350.0,0.418083
350.5,0.418540
351.0,0.479454
351.5,0.489170
352.0,0.482058
352.5,0.485612
353.0,0.502559
353.5,0.511678
354.0,0.526776
354.5,0.528556
355.0,0.524684
355.5,0.518494
356.0,0.519145
356.5,0.498032
357.0,0.475826
357.5,0.482041
358.0,0.483845
358.5,0.463199
359.0,0.483968
359.5,0.520687
360.0,0.590059
360.5,0.561354
361.0,0.540345
361.5,0.558680
362.0,0.571768
362.5,0.598156
363.0,0.552675
363.5,0.575267
364.0,0.586283
364.5,0.572105
365.0,0.593233
365.5,0.655197
366.0,0.671717
366.5,0.647436
367.0,0.656244
367.5,0.676085
368.0,0.684000
368.5,0.706443
369.0,0.792056
369.5,0.832221
370.0,0.866746
370.5,0.785841
371.0,0.826460
371.5,0.960123
372.0,0.912783
372.5,0.936166
373.0,0.927356
373.5,0.836973
374.0,1.025036
374.5,0.929479
375.0,0.850807
375.5,1.060119
376.0,1.042880
376.5,1.052219
377.0,0.978244
377.5,1.175279
378.0,1.445515
378.5,1.377985
379.0,1.193856
379.5,1.010640
380.0,1.134603
380.5,1.412516
381.0,1.499637
381.5,1.409939
382.0,1.414266
382.5,1.238805
383.0,1.024510
383.5,0.881350
384.0,1.131182
384.5,1.371999
385.0,1.464395
385.5,1.521034
386.0,1.579261
386.5,1.669800
387.0,1.631310
387.5,1.506454
388.0,1.383492
388.5,1.092594
389.0,1.014714
389.5,1.189398
390.0,1.316855
390.5,1.391902
391.0,1.456872
391.5,1.317695
392.0,1.214641
392.5,0.976822
393.0,0.502157
393.5,0.439327
394.0,0.851682
394.5,1.137133
395.0,1.240666
395.5,1.258423
396.0,1.052831
396.5,0.602284
397.0,0.526670
397.5,0.989260
398.0,1.332934
398.5,1.474177
399.0,1.550827
399.5,1.533803
400.0,1.533423
400.5,1.574289
401.0,1.649819
401.5,1.703518
402.0,1.710997
402.5,1.627991
403.0,1.543770
403.5,1.613866
404.0,1.671479
404.5,1.611994
405.0,1.604666
405.5,1.584972
406.0,1.604686
406.5,1.572349
407.0,1.529941
407.5,1.416071
408.0,1.457436
408.5,1.538148
409.0,1.569530
409.5,1.393506
410.0,1.116481
410.5,1.234628
411.0,1.446896
411.5,1.553706
412.0,1.492636
412.5,1.439617
413.0,1.416341
413.5,1.572143
414.0,1.633212
414.5,1.585500
415.0,1.553863
415.5,1.531866
416.0,1.574444
416.5,1.623260
417.0,1.482543
417.5,1.338805
418.0,1.379031
418.5,1.444851
419.0,1.529141
419.5,1.528496
420.0,1.440934
420.5,1.439739
421.0,1.545096
421.5,1.570726
422.0,1.539184
422.5,1.431340
423.0,1.508921
423.5,1.467286
424.0,1.515022
424.5,1.496977
425.0,1.477637
425.5,1.523582
426.0,1.539597
426.5,1.607269
427.0,1.497415
427.5,1.504608
428.0,1.541143
428.5,1.456004
429.0,1.375958
429.5,1.356841
430.0,1.250506
430.5,1.319773
431.0,1.411481
431.5,1.415254
432.0,1.478759
432.5,1.445092
433.0,1.405266
433.5,1.221099
434.0,0.988497
434.5,1.214514
435.0,1.378108
435.5,1.495244
436.0,1.588674
436.5,1.623957
437.0,1.526283
437.5,1.524235
438.0,1.529615
438.5,1.395394
439.0,1.451286
439.5,1.402795
440.0,1.396692
440.5,1.451036
441.0,1.417460
441.5,1.334607
442.0,1.366351
442.5,1.409271
443.0,1.391101
443.5,1.428794
444.0,1.430712
444.5,1.363450
445.0,1.429383
445.5,1.393201
446.0,1.366763
446.5,1.371935
447.0,1.396835
447.5,1.515062
448.0,1.470157
448.5,1.470287
449.0,1.430330
449.5,1.461946
450.0,1.532107
450.5,1.572688
451.0,1.582331
451.5,1.513708
452.0,1.431721
452.5,1.381514
453.0,1.357519
453.5,1.434401
454.0,1.457571
454.5,1.411854
455.0,1.336981
455.5,1.350925
456.0,1.414923
456.5,1.454414
457.0,1.473541
457.5,1.455019
458.0,1.375082
458.5,1.360470
459.0,1.393297
459.5,1.447640
460.0,1.466510
460.5,1.507764
461.0,1.533643
461.5,1.477595
462.0,1.481808
462.5,1.514916
463.0,1.470934
463.5,1.480213
464.0,1.529737
464.5,1.501641
465.0,1.498726
465.5,1.492220
466.0,1.495306
466.5,1.396685
467.0,1.405555
467.5,1.511475
468.0,1.507847
468.5,1.525201
469.0,1.514507
469.5,1.497414
470.0,1.455413
470.5,1.422484
471.0,1.425471
471.5,1.465090
472.0,1.492484
472.5,1.467901
473.0,1.397752
473.5,1.404839
474.0,1.449629
474.5,1.485727
475.0,1.483397
475.5,1.441789
476.0,1.379787
476.5,1.343225
477.0,1.418345
477.5,1.450834
478.0,1.429108
478.5,1.406504
479.0,1.414320
479.5,1.419169
480.0,1.400698
480.5,1.387319
481.0,1.414707
481.5,1.433664
482.0,1.396214
482.5,1.361458
483.0,1.371741
483.5,1.368352
484.0,1.361256
484.5,1.333160
485.0,1.260133
485.5,1.115955
486.0,0.938107
486.5,0.941444
487.0,1.071187
487.5,1.144442
488.0,1.203499
488.5,1.225175
489.0,1.223848
489.5,1.257223
490.0,1.296601
490.5,1.322745
491.0,1.311750
491.5,1.304020
492.0,1.240091
492.5,1.237010
493.0,1.304392
493.5,1.315925
494.0,1.313220
494.5,1.346328
495.0,1.360875
495.5,1.328274
496.0,1.318252
496.5,1.324076
497.0,1.323578
497.5,1.321496
498.0,1.272903
498.5,1.230989
499.0,1.236804
499.5,1.262326
500.0,1.231247
500.5,1.191601
501.0,1.178431
501.5,1.153960
502.0,1.150645
502.5,1.206134
503.0,1.235073
503.5,1.230234
504.0,1.210865
504.5,1.220147
505.0,1.229121
505.5,1.252381
506.0,1.278091
506.5,1.267155
507.0,1.232658
507.5,1.207949
508.0,1.197248
508.5,1.205014
509.0,1.236213
509.5,1.229607
510.0,1.212215
510.5,1.217746
511.0,1.222291
511.5,1.220873
512.0,1.205792
512.5,1.177274
513.0,1.153607
513.5,1.161833
514.0,1.167979
514.5,1.160895
515.0,1.160109
515.5,1.152121
516.0,1.151030
516.5,1.099346
517.0,1.069146
517.5,1.118414
518.0,1.152877
518.5,1.115248
519.0,1.074217
519.5,1.065989
520.0,1.078594
520.5,1.075957
521.0,1.103033
521.5,1.131690
522.0,1.145261
522.5,1.101886
523.0,1.068426
523.5,1.060017
524.0,1.111048
524.5,1.135723
525.0,1.122408
525.5,1.113377
526.0,1.087761
526.5,1.006450
527.0,0.971365
527.5,0.989469
528.0,1.038730
528.5,1.076510
529.0,1.121346
529.5,1.129934
530.0,1.109961
530.5,1.102479
531.0,1.095877
531.5,1.080596
532.0,1.076657
532.5,1.051696
533.0,1.030159
533.5,1.035875
534.0,1.048406
534.5,1.072618
535.0,1.090959
535.5,1.116666
536.0,1.110130
536.5,1.064559
537.0,1.044112
537.5,1.065248
538.0,1.066199
538.5,1.071727
539.0,1.080907
539.5,1.055482
540.0,1.029433
540.5,1.011718
541.0,1.008670
541.5,1.027919
542.0,1.034934
542.5,1.031406
543.0,1.026725
543.5,1.035144
544.0,1.056973
544.5,1.045335
545.0,1.038492
545.5,1.039615
546.0,1.046378
546.5,1.048445
547.0,1.040381
547.5,1.024945
548.0,1.011536
548.5,1.026970
549.0,1.037650
549.5,1.031775
550.0,1.019211
550.5,1.003493
551.0,1.000292
551.5,1.027793
552.0,1.033700
552.5,1.004612
553.0,0.982342
553.5,0.991552
554.0,1.009226
554.5,1.012617
555.0,1.020339
555.5,1.027793
556.0,1.021737
556.5,1.008168
557.0,0.995635
557.5,0.998617
558.0,1.001248
558.5,0.984385
559.0,0.968756
559.5,0.961963
560.0,0.966254
560.5,0.979309
561.0,0.997439
561.5,0.982777
562.0,0.974891
562.5,0.975272
563.0,0.982323
563.5,0.985571
564.0,0.976481
564.5,0.974396
565.0,0.975646
565.5,0.948157
566.0,0.917147
566.5,0.910421
567.0,0.923050
567.5,0.952279
568.0,0.958655
568.5,0.936099
569.0,0.932851
569.5,0.937739
570.0,0.945311
570.5,0.927669
571.0,0.913802
571.5,0.926324
572.0,0.946042
572.5,0.957640
573.0,0.956098
573.5,0.950948
574.0,0.945713
574.5,0.938009
575.0,0.932411
575.5,0.933020
576.0,0.937219
576.5,0.934915
577.0,0.930551
577.5,0.915332
578.0,0.887072
578.5,0.877265
579.0,0.889133
579.5,0.896319
580.0,0.898712
580.5,0.903949
581.0,0.904836
581.5,0.908669
582.0,0.919128
582.5,0.926723
583.0,0.924625
583.5,0.927702
584.0,0.938737
584.5,0.932649
585.0,0.915833
585.5,0.900145
586.0,0.900140
586.5,0.916551
587.0,0.936760
587.5,0.939144
588.0,0.930549
588.5,0.879977
589.0,0.798237
589.5,0.790010
590.0,0.840625
590.5,0.904307
591.0,0.919071
591.5,0.920027
592.0,0.920787
592.5,0.914663
593.0,0.909562
593.5,0.909368
594.0,0.912859
594.5,0.901515
595.0,0.890119
595.5,0.894750
596.0,0.906106
596.5,0.903988
597.0,0.898557
597.5,0.890837
598.0,0.881402
598.5,0.879565
599.0,0.870290
599.5,0.883300
600.0,0.883613
600.5,0.874155
601.0,0.873033
601.5,0.870942
602.0,0.863174
602.5,0.855185
603.0,0.865262
603.5,0.873215
604.0,0.867615
604.5,0.866155
605.0,0.871469
605.5,0.867622
606.0,0.874147
606.5,0.865543
607.0,0.872638
607.5,0.869826
608.0,0.858766
608.5,0.851648
609.0,0.861835
609.5,0.858814
610.0,0.846529
610.5,0.845470
611.0,0.850282
611.5,0.845070
612.0,0.841746
612.5,0.840427
613.0,0.843536
613.5,0.822518
614.0,0.795323
614.5,0.808583
615.0,0.818769
615.5,0.828815
616.0,0.812348
616.5,0.806887
617.0,0.811254
617.5,0.823079
618.0,0.834763
618.5,0.837731
619.0,0.830710
619.5,0.836687
620.0,0.842158
620.5,0.842123
621.0,0.839644
621.5,0.828678
622.0,0.826057
622.5,0.832773
623.0,0.811379
623.5,0.800729
624.0,0.797167
624.5,0.781559
625.0,0.795425
625.5,0.802360
626.0,0.811282
626.5,0.813245
627.0,0.810534
627.5,0.800504
628.0,0.762270
628.5,0.777367
629.0,0.804083
629.5,0.808395
630.0,0.790464
630.5,0.794917
631.0,0.795833
631.5,0.786713
632.0,0.783767
632.5,0.800645
633.0,0.802501
633.5,0.792665
634.0,0.789893
634.5,0.778577
635.0,0.784266
635.5,0.796793
636.0,0.788522
636.5,0.779507
637.0,0.768559
637.5,0.781884
638.0,0.784447
638.5,0.780534
639.0,0.779602
639.5,0.774964
640.0,0.776774
640.5,0.774999
641.0,0.765481
641.5,0.758286
642.0,0.760243
642.5,0.774579
643.0,0.762354
643.5,0.761714
644.0,0.765254
644.5,0.769012
645.0,0.760043
645.5,0.735684
646.0,0.737372
646.5,0.747391
647.0,0.754091
647.5,0.755169
648.0,0.746735
648.5,0.736372
649.0,0.711388
649.5,0.672680
650.0,0.718041
650.5,0.753999
651.0,0.753525
651.5,0.729499
652.0,0.735498
652.5,0.739997
653.0,0.737036
653.5,0.736154
654.0,0.731908
654.5,0.719620
655.0,0.699847
655.5,0.654173
656.0,0.552451
656.5,0.544650
657.0,0.652938
657.5,0.697519
658.0,0.715809
658.5,0.717670
659.0,0.713655
659.5,0.716186
660.0,0.728393
660.5,0.724537
661.0,0.727254
661.5,0.733701
662.0,0.738964
662.5,0.735241
663.0,0.726377
663.5,0.718920
664.0,0.719153
664.5,0.717425
665.0,0.723796
665.5,0.720221
666.0,0.715591
666.5,0.714256
667.0,0.714704
667.5,0.705594
668.0,0.701985
668.5,0.717540
669.0,0.717721
669.5,0.712086
670.0,0.712061
670.5,0.707874
671.0,0.703986
671.5,0.693192
672.0,0.696717
672.5,0.705645
673.0,0.704905
673.5,0.704089
674.0,0.699101
674.5,0.695918
675.0,0.690027
675.5,0.690166
676.0,0.696271
676.5,0.695551
677.0,0.691463
677.5,0.693149
678.0,0.692052
678.5,0.688411
679.0,0.689252
679.5,0.686196
680.0,0.688309
680.5,0.689089
681.0,0.690017
681.5,0.687235
682.0,0.682063
682.5,0.678835
683.0,0.675948
683.5,0.675775
684.0,0.676888
684.5,0.675827
685.0,0.674797
685.5,0.673784
686.0,0.672625
686.5,0.671630
687.0,0.670696
687.5,0.669763
688.0,0.668833
688.5,0.667919
689.0,0.666917
689.5,0.665824
690.0,0.664819
690.5,0.663810
691.0,0.662775
691.5,0.661978
692.0,0.661451
692.5,0.660591
693.0,0.659751
693.5,0.658979
694.0,0.658625
694.5,0.658391
695.0,0.657705
695.5,0.657088
696.0,0.656548
696.5,0.655823
697.0,0.655872
697.5,0.648948
698.0,0.643346
698.5,0.647721
699.0,0.643988
699.5,0.638844
700.0,0.626226
700.5,0.626529
701.0,0.638676
701.5,0.637132
702.0,0.634901
702.5,0.632364
703.0,0.635726
703.5,0.636635
704.0,0.635100
704.5,0.637293
705.0,0.634809
705.5,0.634946
706.0,0.634435
706.5,0.629841
707.0,0.627602
707.5,0.630746
708.0,0.631124
708.5,0.629120
709.0,0.626446
709.5,0.624616
710.0,0.625111
710.5,0.626701
711.0,0.619506
711.5,0.614292
712.0,0.615921
712.5,0.625039
713.0,0.628286
713.5,0.630633
714.0,0.627826
714.5,0.619942
715.0,0.622332
715.5,0.633469
716.0,0.626867
716.5,0.611942
717.0,0.607090
717.5,0.600933
718.0,0.589566
718.5,0.571709
719.0,0.576908
719.5,0.586966
720.0,0.585502
720.5,0.587187
721.0,0.607023
721.5,0.616146
722.0,0.608586
722.5,0.603752
723.0,0.607319
723.5,0.600893
724.0,0.599998
724.5,0.600154
725.0,0.601262
725.5,0.599437
726.0,0.599213
726.5,0.592589
727.0,0.595548
727.5,0.581132
728.0,0.583881
728.5,0.582667
729.0,0.567640
729.5,0.579395
730.0,0.584268
730.5,0.574173
731.0,0.571056
731.5,0.582022
732.0,0.583065
732.5,0.583763
733.0,0.583608
733.5,0.587822
734.0,0.592838
734.5,0.588403
735.0,0.581705
735.5,0.572656
736.0,0.577438
736.5,0.579916
737.0,0.578761
737.5,0.578320
738.0,0.576235
738.5,0.564448
739.0,0.559467
739.5,0.565539
740.0,0.570021
740.5,0.565071
741.0,0.550718
741.5,0.548355
742.0,0.554120
742.5,0.557846
743.0,0.564265
743.5,0.564935
744.0,0.563153
744.5,0.553274
745.0,0.554023
745.5,0.563428
746.0,0.561273
746.5,0.555284
747.0,0.562079
747.5,0.560435
748.0,0.555685
748.5,0.557160
749.0,0.555946
749.5,0.547181
750.0,0.551556
750.5,0.551032
751.0,0.540769
751.5,0.537379
752.0,0.548027
752.5,0.543565
753.0,0.542826
753.5,0.539849
754.0,0.550995
754.5,0.549224
755.0,0.546094
755.5,0.545417
756.0,0.544196
756.5,0.543229
757.0,0.542254
757.5,0.540917
758.0,0.539586
758.5,0.538650
759.0,0.537600
759.5,0.536543
760.0,0.535454
760.5,0.534810
761.0,0.534107
761.5,0.533332
762.0,0.532562
762.5,0.531790
763.0,0.531017
763.5,0.530244
764.0,0.529469
764.5,0.528694
765.0,0.527918
765.5,0.527140
766.0,0.526361
766.5,0.525579
767.0,0.524801
767.5,0.523903
768.0,0.522968
768.5,0.522216
769.0,0.521657
769.5,0.520910
770.0,0.520040
770.5,0.519219
771.0,0.519057
771.5,0.519864
772.0,0.519957
772.5,0.519292
773.0,0.518090
773.5,0.520594
774.0,0.519773
774.5,0.513922
775.0,0.508694
775.5,0.513059
776.0,0.514105
776.5,0.511313
777.0,0.492432
777.5,0.468886
778.0,0.490676
778.5,0.506367
779.0,0.510538
779.5,0.509963
780.0,0.505515
780.5,0.507566
781.0,0.507359
781.5,0.507832
782.0,0.509996
782.5,0.507525
783.0,0.501376
783.5,0.495724
784.0,0.498108
784.5,0.498004
785.0,0.495567
785.5,0.493724
786.0,0.496754
786.5,0.495717
787.0,0.497523
787.5,0.493888
788.0,0.491264
788.5,0.494312
789.0,0.497435
789.5,0.491119
790.0,0.491447
790.5,0.497251
791.0,0.492183
791.5,0.489940
792.0,0.483819
792.5,0.483469
793.0,0.483364
793.5,0.477823
794.0,0.477916
794.5,0.475303
795.0,0.478786
795.5,0.484426
796.0,0.484996
796.5,0.483758
797.0,0.484850
797.5,0.485669
798.0,0.484504
798.5,0.483702
799.0,0.481419
799.5,0.478330
800.0,0.472174
800.5,0.478288
801.0,0.476707
801.5,0.475834
802.0,0.477013
802.5,0.474305
803.0,0.475003
803.5,0.473801
804.0,0.473836
804.5,0.468705
805.0,0.468590
805.5,0.472371
806.0,0.470407
806.5,0.472044
807.0,0.471815
807.5,0.472262
808.0,0.469788
808.5,0.465647
809.0,0.467910
809.5,0.468214
810.0,0.467495
810.5,0.471293
811.0,0.469568
811.5,0.469026
812.0,0.471311
812.5,0.469837
813.0,0.469419
813.5,0.465147
814.0,0.467337
814.5,0.459963
815.0,0.458941
815.5,0.458386
816.0,0.453646
816.5,0.447133
817.0,0.456423
817.5,0.458106
818.0,0.445621
818.5,0.439539
819.0,0.446928
819.5,0.440442
820.0,0.442387
820.5,0.457125
821.0,0.464026
821.5,0.454652
822.0,0.447486
822.5,0.439644
823.0,0.426728
823.5,0.438709
824.0,0.454781
824.5,0.451938
825.0,0.448358
825.5,0.447851
826.0,0.452049
826.5,0.458352
827.0,0.455794
827.5,0.450129
828.0,0.446250
828.5,0.446740
829.0,0.442968
829.5,0.443594
830.0,0.448144
830.5,0.444791
831.0,0.442481
831.5,0.442435
832.0,0.437497
832.5,0.434086
833.0,0.428736
833.5,0.421875
834.0,0.428477
834.5,0.439607
835.0,0.443392
835.5,0.442849
836.0,0.439264
836.5,0.441136
837.0,0.441044
837.5,0.435672
838.0,0.439448
838.5,0.437121
839.0,0.427545
839.5,0.429736
840.0,0.438347
840.5,0.440435
841.0,0.431833
841.5,0.424386
842.0,0.432506
842.5,0.437804
843.0,0.435148
843.5,0.423383
844.0,0.414280
844.5,0.419452
845.0,0.427514
845.5,0.436739
846.0,0.434094
846.5,0.411931
847.0,0.409352
847.5,0.427717
848.0,0.435847
848.5,0.440117
849.0,0.436718
849.5,0.400809
850.0,0.352639
850.5,0.383913
851.0,0.414953
851.5,0.419948
852.0,0.424146
852.5,0.424292
853.0,0.414747
853.5,0.386572
854.0,0.320305
854.5,0.286774
855.0,0.360049
855.5,0.401050
856.0,0.414287
856.5,0.421000
857.0,0.418202
857.5,0.418324
858.0,0.415855
858.5,0.407705
859.0,0.401935
859.5,0.385943
860.0,0.374941
860.5,0.395718
861.0,0.404297
861.5,0.405561
862.0,0.414659
862.5,0.416953
863.0,0.417323
863.5,0.419502
864.0,0.420907
864.5,0.417204
865.0,0.402884
865.5,0.386978
866.0,0.324897
866.5,0.292691
867.0,0.349901
867.5,0.382371
868.0,0.390438
868.5,0.394170
869.0,0.401234
869.5,0.409566
870.0,0.415439
870.5,0.421802
871.0,0.421780
871.5,0.421497
872.0,0.425833
872.5,0.421514
873.0,0.415069
873.5,0.410670
874.0,0.403559
874.5,0.393032
875.0,0.369306
875.5,0.373112
876.0,0.396484
876.5,0.403480
877.0,0.405411
877.5,0.408148
878.0,0.411370
878.5,0.406331
879.0,0.406139
879.5,0.398438
880.0,0.405664
880.5,0.399854
881.0,0.398937
881.5,0.406505
882.0,0.405170
882.5,0.398114
883.0,0.403166
883.5,0.406320
884.0,0.397872
884.5,0.401125
885.0,0.393790
885.5,0.387714
886.0,0.368769
