wavelength (nm),flux (F_lambda)
115.0,0.017546
115.5,0.005564
116.0,0.000000
116.5,0.000994
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000878
120.5,0.004509
121.0,0.006506
121.5,0.003204
122.0,0.000422
122.5,0.000497
123.0,0.001112
123.5,0.001392
124.0,0.001193
124.5,0.000482
125.0,0.000915
125.5,0.000192
126.0,0.001303
126.5,0.000881
127.0,0.000592
127.5,0.000613
128.0,0.000576
128.5,0.000131
129.0,0.000000
129.5,0.000101
130.0,0.000401
130.5,0.000602
131.0,0.000392
131.5,0.000320
132.0,0.000653
132.5,0.000270
133.0,0.000528
133.5,0.000481
134.0,0.000440
134.5,0.000394
135.0,0.000697
135.5,0.000706
136.0,0.000466
136.5,0.000000
137.0,0.001468
137.5,0.001413
138.0,0.000286
138.5,0.000030
139.0,0.000217
139.5,0.000096
140.0,0.000213
140.5,0.000056
141.0,0.000098
141.5,0.000649
142.0,0.000186
142.5,0.000343
143.0,0.000824
143.5,0.000674
144.0,0.000377
144.5,0.001225
145.0,0.000916
145.5,0.000259
146.0,0.000041
146.5,0.000347
147.0,0.000212
147.5,0.000656
148.0,0.000463
148.5,0.000713
149.0,0.001426
149.5,0.000965
150.0,0.000765
150.5,0.000910
151.0,0.000867
151.5,0.000219
152.0,0.000321
152.5,0.000623
153.0,0.001920
153.5,0.001985
154.0,0.001487
154.5,0.000377
155.0,0.000642
155.5,0.001432
156.0,0.001903
156.5,0.001270
157.0,0.000615
157.5,0.001334
158.0,0.001517
158.5,0.000530
159.0,0.001302
159.5,0.001224
160.0,0.000799
160.5,0.000796
161.0,0.001449
161.5,0.000890
162.0,0.000484
162.5,0.000296
163.0,0.000798
163.5,0.000418
164.0,0.000146
164.5,0.000343
165.0,0.000837
165.5,0.001267
166.0,0.001598
166.5,0.001447
167.0,0.001374
167.5,0.001612
168.0,0.001632
168.5,0.001262
169.0,0.001423
169.5,0.002721
170.0,0.002761
170.5,0.002743
171.0,0.003368
171.5,0.003526
172.0,0.003594
172.5,0.005142
173.0,0.004837
173.5,0.005351
174.0,0.007400
174.5,0.008485
175.0,0.010095
175.5,0.011038
176.0,0.010634
176.5,0.013006
177.0,0.016979
177.5,0.019219
178.0,0.018590
178.5,0.016280
179.0,0.017129
179.5,0.019971
180.0,0.020069
180.5,0.018621
181.0,0.020321
181.5,0.022662
182.0,0.026802
182.5,0.026880
183.0,0.026306
183.5,0.022861
184.0,0.017350
184.5,0.014788
185.0,0.019671
185.5,0.023957
186.0,0.029222
186.5,0.035601
187.0,0.034946
187.5,0.035211
188.0,0.040818
188.5,0.039595
189.0,0.037159
189.5,0.035240
190.0,0.039456
190.5,0.045115
191.0,0.048699
191.5,0.050869
192.0,0.046493
192.5,0.033016
193.0,0.025368
193.5,0.040101
194.0,0.059234
194.5,0.063703
195.0,0.060460
195.5,0.049781
196.0,0.052884
196.5,0.044626
197.0,0.051557
197.5,0.071674
198.0,0.050590
198.5,0.067312
199.0,0.058253
199.5,0.027687
200.0,0.058116
200.5,0.074874
201.0,0.050077
201.5,0.070791
202.0,0.074678
202.5,0.064306
203.0,0.056813
203.5,0.079543
204.0,0.099492
204.5,0.082069
205.0,0.090124
205.5,0.114530
206.0,0.100037
206.5,0.070050
207.0,0.104749
207.5,0.127149
208.0,0.144673
208.5,0.142973
209.0,0.130649
209.5,0.114647
210.0,0.134888
210.5,0.155203
211.0,0.152920
211.5,0.158768
212.0,0.144002
212.5,0.154746
213.0,0.157025
213.5,0.142908
214.0,0.136168
214.5,0.153729
215.0,0.151464
215.5,0.150440
216.0,0.152680
216.5,0.136836
217.0,0.142392
217.5,0.117248
218.0,0.125147
218.5,0.151932
219.0,0.173514
219.5,0.190825
220.0,0.203158
220.5,0.194515
221.0,0.157439
221.5,0.133622
222.0,0.127724
222.5,0.142680
223.0,0.151388
223.5,0.160352
224.0,0.171191
224.5,0.161133
225.0,0.169596
225.5,0.177114
226.0,0.163814
226.5,0.146233
227.0,0.134217
227.5,0.120173
228.0,0.126585
228.5,0.142339
229.0,0.165885
229.5,0.163834
230.0,0.156591
230.5,0.146202
231.0,0.154620
231.5,0.149262
232.0,0.141999
232.5,0.137093
233.0,0.126780
233.5,0.126238
234.0,0.099713
234.5,0.106900
235.0,0.098668
235.5,0.121336
236.0,0.140692
236.5,0.098700
237.0,0.112521
237.5,0.140162
238.0,0.136678
238.5,0.089793
239.0,0.087640
239.5,0.103327
240.0,0.095712
240.5,0.087335
241.0,0.072390
241.5,0.080136
242.0,0.112537
242.5,0.156795
243.0,0.179345
243.5,0.167856
244.0,0.145196
244.5,0.163471
245.0,0.151344
245.5,0.130922
246.0,0.144433
246.5,0.150353
247.0,0.152040
247.5,0.150604
248.0,0.152006
248.5,0.127663
249.0,0.108736
249.5,0.109876
250.0,0.163970
250.5,0.161463
251.0,0.130814
251.5,0.120778
252.0,0.091237
252.5,0.079580
253.0,0.094871
253.5,0.102724
254.0,0.113737
254.5,0.119227
255.0,0.115717
255.5,0.135916
256.0,0.156550
256.5,0.175156
257.0,0.203306
257.5,0.218433
258.0,0.196499
258.5,0.184753
259.0,0.191858
259.5,0.205614
260.0,0.168806
260.5,0.156887
261.0,0.156353
261.5,0.144206
262.0,0.176987
262.5,0.198121
263.0,0.172326
263.5,0.219925
264.0,0.393978
264.5,0.463032
265.0,0.403352
265.5,0.378008
266.0,0.441586
266.5,0.374231
267.0,0.328639
267.5,0.354147
268.0,0.356668
268.5,0.361764
269.0,0.353326
269.5,0.349811
270.0,0.417405
270.5,0.415538
271.0,0.338723
271.5,0.323216
272.0,0.349916
272.5,0.353704
273.0,0.439607
273.5,0.378865
274.0,0.261228
274.5,0.192176
275.0,0.197574
275.5,0.238356
276.0,0.232212
276.5,0.279151
277.0,0.303197
277.5,0.335158
278.0,0.306244
278.5,0.228404
279.0,0.179767
279.5,0.109607
280.0,0.072523
280.5,0.075900
281.0,0.138160
281.5,0.273095
282.0,0.447768
282.5,0.476492
283.0,0.484283
283.5,0.488469
284.0,0.389736
284.5,0.382688
285.0,0.348630
285.5,0.229016
286.0,0.321538
286.5,0.374820
287.0,0.384273
287.5,0.430608
288.0,0.403478
288.5,0.376586
289.0,0.402989
289.5,0.399550
290.0,0.391483
290.5,0.412998
291.0,0.468751
291.5,0.526463
292.0,0.480844
292.5,0.432539
293.0,0.425327
293.5,0.451214
294.0,0.448178
294.5,0.455202
295.0,0.459992
295.5,0.464921
296.0,0.499471
296.5,0.504600
297.0,0.512582
297.5,0.472862
298.0,0.484927
298.5,0.502343
299.0,0.516893
299.5,0.520202
300.0,0.477819
300.5,0.460421
301.0,0.477126
301.5,0.470800
302.0,0.469919
302.5,0.542750
303.0,0.594194
303.5,0.582103
304.0,0.629134
304.5,0.556008
305.0,0.524996
305.5,0.558715
306.0,0.499009
306.5,0.456959
307.0,0.495419
307.5,0.503158
308.0,0.522123
308.5,0.493405
309.0,0.478625
309.5,0.424166
310.0,0.402291
310.5,0.451616
311.0,0.525622
311.5,0.545544
312.0,0.476323
312.5,0.464023
313.0,0.493706
313.5,0.517833
314.0,0.522211
314.5,0.506032
315.0,0.526924
315.5,0.508018
316.0,0.475803
316.5,0.518442
317.0,0.561796
317.5,0.558111
318.0,0.531697
318.5,0.535118
319.0,0.552263
319.5,0.560875
320.0,0.581945
320.5,0.647008
321.0,0.660149
321.5,0.656504
322.0,0.630702
322.5,0.588227
323.0,0.566334
323.5,0.593350
324.0,0.630106
324.5,0.637645
325.0,0.645355
325.5,0.685063
326.0,0.730018
326.5,0.746156
327.0,0.728733
327.5,0.686889
328.0,0.655961
328.5,0.667070
329.0,0.708264
329.5,0.754965
330.0,0.775154
330.5,0.748570
331.0,0.709415
331.5,0.694835
332.0,0.699306
332.5,0.707837
333.0,0.710260
333.5,0.701946
334.0,0.695597
334.5,0.702055
335.0,0.707406
335.5,0.696690
336.0,0.675537
336.5,0.655192
337.0,0.648780
337.5,0.664244
338.0,0.686930
338.5,0.700552
339.0,0.704902
339.5,0.703123
340.0,0.695698
340.5,0.684467
341.0,0.679343
341.5,0.687850
342.0,0.699869
342.5,0.702671
343.0,0.690737
343.5,0.664697
344.0,0.642565
344.5,0.640600
345.0,0.650666
345.5,0.660824
346.0,0.668344
346.5,0.672180
347.0,0.668827
347.5,0.656681
348.0,0.644214
348.5,0.639993
349.0,0.642881
349.5,0.650819
350.0,0.667745
350.5,0.693903
351.0,0.717513
351.5,0.709288
352.0,0.689107
352.5,0.679936
353.0,0.700207
353.5,0.727878
354.0,0.753031
354.5,0.769280
355.0,0.775917
355.5,0.764201
356.0,0.739179
356.5,0.699460
357.0,0.659621
357.5,0.648167
358.0,0.637617
358.5,0.615791
359.0,0.638267
359.5,0.704865
360.0,0.741880
360.5,0.706254
361.0,0.669126
361.5,0.665555
362.0,0.678050
362.5,0.713300
363.0,0.722253
363.5,0.705516
364.0,0.719024
364.5,0.709965
365.0,0.711956
365.5,0.771516
366.0,0.816337
366.5,0.810519
367.0,0.791132
367.5,0.787734
368.0,0.770840
368.5,0.761674
369.0,0.782792
369.5,0.822522
370.0,0.834694
370.5,0.785066
371.0,0.771537
371.5,0.803043
372.0,0.792201
372.5,0.792208
373.0,0.785831
373.5,0.733980
374.0,0.738426
374.5,0.714006
375.0,0.696345
375.5,0.787892
376.0,0.830318
376.5,0.820500
377.0,0.795554
377.5,0.872130
378.0,0.982240
378.5,0.989953
379.0,0.904895
379.5,0.808779
380.0,0.811884
380.5,0.926686
381.0,0.998965
381.5,0.963508
382.0,0.883034
382.5,0.797528
383.0,0.706258
383.5,0.640407
384.0,0.705688
384.5,0.871831
385.0,0.983963
385.5,0.994328
386.0,0.970077
386.5,0.999993
387.0,1.001095
387.5,0.972454
388.0,0.918237
388.5,0.811593
389.0,0.755411
389.5,0.845463
390.0,0.940543
390.5,0.976838
391.0,1.008401
391.5,1.022486
392.0,0.972578
392.5,0.828140
393.0,0.602014
393.5,0.508812
394.0,0.652143
394.5,0.835838
395.0,0.963755
395.5,0.990815
396.0,0.878678
396.5,0.631928
397.0,0.516993
397.5,0.707709
398.0,0.950554
398.5,1.071429
399.0,1.126821
399.5,1.155222
400.0,1.163077
400.5,1.167282
401.0,1.185399
401.5,1.211568
402.0,1.230885
402.5,1.226818
403.0,1.198799
403.5,1.203199
404.0,1.226496
404.5,1.195434
405.0,1.186494
405.5,1.171046
406.0,1.155214
406.5,1.154993
407.0,1.159855
407.5,1.132154
408.0,1.126480
408.5,1.167349
409.0,1.170859
409.5,1.062261
410.0,0.932308
410.5,0.961666
411.0,1.085751
411.5,1.170013
412.0,1.192922
412.5,1.184102
413.0,1.169224
413.5,1.195281
414.0,1.233047
414.5,1.228164
415.0,1.214558
415.5,1.201781
416.0,1.222412
416.5,1.239538
417.0,1.206036
417.5,1.166076
418.0,1.169596
418.5,1.183084
419.0,1.194073
419.5,1.181574
420.0,1.161729
420.5,1.187940
421.0,1.227211
421.5,1.228987
422.0,1.206765
422.5,1.154364
423.0,1.140734
423.5,1.156259
424.0,1.169790
424.5,1.173826
425.0,1.170701
425.5,1.173563
426.0,1.166844
426.5,1.176516
427.0,1.156519
427.5,1.156638
428.0,1.172090
428.5,1.140520
429.0,1.096190
429.5,1.058235
430.0,0.997134
430.5,0.967530
431.0,0.992290
431.5,1.094550
432.0,1.172268
432.5,1.145006
433.0,1.103131
433.5,1.012128
434.0,0.903763
434.5,0.965993
435.0,1.081956
435.5,1.151366
436.0,1.200661
436.5,1.224896
437.0,1.216401
437.5,1.199512
438.0,1.174539
438.5,1.133463
439.0,1.152557
439.5,1.181062
440.0,1.193332
440.5,1.199476
441.0,1.206785
441.5,1.214870
442.0,1.228659
442.5,1.237710
443.0,1.235377
443.5,1.221178
444.0,1.226948
444.5,1.230692
445.0,1.230476
445.5,1.192354
446.0,1.167230
446.5,1.185070
447.0,1.216035
447.5,1.246099
448.0,1.242561
448.5,1.240195
449.0,1.236809
449.5,1.243702
450.0,1.268313
450.5,1.299898
451.0,1.307137
451.5,1.287871
452.0,1.255433
452.5,1.209756
453.0,1.177388
453.5,1.196927
454.0,1.228826
454.5,1.210610
455.0,1.191463
455.5,1.214076
456.0,1.245227
456.5,1.251216
457.0,1.255291
457.5,1.250685
458.0,1.227595
458.5,1.202874
459.0,1.207116
459.5,1.211383
460.0,1.210575
460.5,1.222703
461.0,1.238730
461.5,1.241030
462.0,1.239416
462.5,1.236116
