wavelength (nm),flux (F_lambda)
115.0,0.000000
115.5,0.000000
116.0,0.000000
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000000
120.5,0.000000
121.0,0.000000
121.5,0.000000
122.0,0.000000
122.5,0.000000
123.0,0.000000
123.5,0.000000
124.0,0.000000
124.5,0.000000
125.0,0.000000
125.5,0.000000
126.0,0.000000
126.5,0.000000
127.0,0.000000
127.5,0.000000
128.0,0.000000
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.000000
131.0,0.000000
131.5,0.000000
132.0,0.000000
132.5,0.000000
133.0,0.000000
133.5,0.000000
134.0,0.000000
134.5,0.000000
135.0,0.000000
135.5,0.000000
136.0,0.000000
136.5,0.000000
137.0,0.000000
137.5,0.000000
138.0,0.000000
138.5,0.000000
139.0,0.000000
139.5,0.000000
140.0,0.000000
140.5,0.000000
141.0,0.000000
141.5,0.000000
142.0,0.000000
142.5,0.000000
143.0,0.000000
143.5,0.000000
144.0,0.000000
144.5,0.000000
145.0,0.000000
145.5,0.000000
146.0,0.000000
146.5,0.000000
147.0,0.000000
147.5,0.000000
148.0,0.000000
148.5,0.000000
149.0,0.000000
149.5,0.000000
150.0,0.000000
150.5,0.000000
151.0,0.000000
151.5,0.000000
152.0,0.000000
152.5,0.000000
153.0,0.000000
153.5,0.000000
154.0,0.000000
154.5,0.000000
155.0,0.000000
155.5,0.000000
156.0,0.000000
156.5,0.000000
157.0,0.000000
157.5,0.000001
158.0,0.000001
158.5,0.000001
159.0,0.000000
159.5,0.000000
160.0,0.000000
160.5,0.000000
161.0,0.000000
161.5,0.000000
162.0,0.000000
162.5,0.000000
163.0,0.000000
163.5,0.000000
164.0,0.000000
164.5,0.000000
165.0,0.000000
165.5,0.000001
166.0,0.000003
166.5,0.000005
167.0,0.000006
167.5,0.000007
168.0,0.000007
168.5,0.000007
169.0,0.000006
169.5,0.000004
170.0,0.000000
170.5,0.000000
171.0,0.000000
171.5,0.000000
172.0,0.000000
172.5,0.000000
173.0,0.000000
173.5,0.000000
174.0,0.000000
174.5,0.000000
175.0,0.000000
175.5,0.000019
176.0,0.000041
176.5,0.000063
177.0,0.000082
177.5,0.000097
178.0,0.000104
178.5,0.000100
179.0,0.000084
179.5,0.000051
180.0,0.000000
180.5,0.000000
181.0,0.000000
181.5,0.000000
182.0,0.000000
182.5,0.000000
183.0,0.000000
183.5,0.000000
184.0,0.000000
184.5,0.000000
185.0,0.000000
185.5,0.000267
186.0,0.000606
186.5,0.001010
187.0,0.001471
187.5,0.001982
188.0,0.002536
188.5,0.003126
189.0,0.003743
189.5,0.004382
190.0,0.005034
190.5,0.005691
191.0,0.006344
191.5,0.006981
192.0,0.007591
192.5,0.008163
193.0,0.008686
193.5,0.009149
194.0,0.009541
194.5,0.009851
195.0,0.010067
195.5,0.010185
196.0,0.010219
196.5,0.010192
197.0,0.010124
197.5,0.010038
198.0,0.009954
198.5,0.009893
199.0,0.009878
199.5,0.009929
200.0,0.010067
200.5,0.010309
201.0,0.010646
201.5,0.011064
202.0,0.011549
202.5,0.012088
203.0,0.012667
203.5,0.013271
204.0,0.013887
204.5,0.014502
205.0,0.015101
205.5,0.015673
206.0,0.016219
206.5,0.016744
207.0,0.017250
207.5,0.017743
208.0,0.018226
208.5,0.018702
209.0,0.019176
209.5,0.019652
210.0,0.020134
210.5,0.020625
211.0,0.021123
211.5,0.021627
212.0,0.022135
212.5,0.022645
213.0,0.023156
213.5,0.023666
214.0,0.024172
214.5,0.024673
215.0,0.025168
215.5,0.025654
216.0,0.026136
216.5,0.026615
217.0,0.027096
217.5,0.027582
218.0,0.028076
218.5,0.028581
219.0,0.029102
219.5,0.029641
220.0,0.030201
220.5,0.030785
221.0,0.031381
221.5,0.031979
222.0,0.032568
222.5,0.033134
223.0,0.033668
223.5,0.034156
224.0,0.034588
224.5,0.034952
225.0,0.035235
225.5,0.035431
226.0,0.035548
226.5,0.035600
227.0,0.035599
227.5,0.035560
228.0,0.035494
228.5,0.035416
229.0,0.035338
229.5,0.035273
230.0,0.035235
230.5,0.035233
231.0,0.035259
231.5,0.035305
232.0,0.035357
232.5,0.035407
233.0,0.035443
233.5,0.035454
234.0,0.035431
234.5,0.035361
235.0,0.035235
235.5,0.035048
236.0,0.034824
236.5,0.034592
237.0,0.034381
237.5,0.034222
238.0,0.034144
238.5,0.034176
239.0,0.034349
239.5,0.034692
240.0,0.035235
240.5,0.035994
241.0,0.036935
241.5,0.038011
242.0,0.039173
242.5,0.040374
243.0,0.041566
243.5,0.042703
244.0,0.043736
244.5,0.044619
245.0,0.045302
245.5,0.045754
246.0,0.045999
246.5,0.046078
247.0,0.046029
247.5,0.045894
248.0,0.045711
248.5,0.045521
249.0,0.045363
249.5,0.045276
250.0,0.045302
250.5,0.045469
251.0,0.045766
251.5,0.046174
252.0,0.046670
252.5,0.047233
253.0,0.047844
253.5,0.048480
254.0,0.049122
254.5,0.049747
255.0,0.050336
255.5,0.050882
256.0,0.051445
256.5,0.052098
257.0,0.052917
257.5,0.053973
258.0,0.055343
258.5,0.057100
259.0,0.059319
259.5,0.062073
260.0,0.065436
260.5,0.069445
261.0,0.073983
261.5,0.078896
262.0,0.084027
262.5,0.089222
263.0,0.094326
263.5,0.099185
264.0,0.103643
264.5,0.107546
265.0,0.110738
265.5,0.113106
266.0,0.114702
266.5,0.115616
267.0,0.115943
267.5,0.115775
268.0,0.115203
268.5,0.114321
269.0,0.113222
269.5,0.111996
270.0,0.110738
270.5,0.109524
271.0,0.108365
271.5,0.107258
272.0,0.106200
272.5,0.105188
273.0,0.104216
273.5,0.103282
274.0,0.102383
274.5,0.101514
275.0,0.100671
275.5,0.099860
276.0,0.099114
276.5,0.098478
277.0,0.097993
277.5,0.097703
278.0,0.097650
278.5,0.097878
279.0,0.098429
279.5,0.099346
280.0,0.100671
280.5,0.102444
281.0,0.104681
281.5,0.107397
282.0,0.110605
282.5,0.114319
283.0,0.118552
283.5,0.123316
284.0,0.128627
284.5,0.134497
285.0,0.140940
285.5,0.147945
286.0,0.155410
286.5,0.163207
287.0,0.171209
287.5,0.179291
288.0,0.187324
288.5,0.195183
289.0,0.202741
289.5,0.209869
290.0,0.216443
290.5,0.222357
291.0,0.227600
291.5,0.232183
292.0,0.236114
292.5,0.239407
293.0,0.242070
293.5,0.244115
294.0,0.245552
294.5,0.246391
295.0,0.246644
295.5,0.246344
296.0,0.245612
296.5,0.244594
297.0,0.243434
297.5,0.242277
298.0,0.241269
298.5,0.240553
299.0,0.240275
299.5,0.240579
300.0,0.241611
300.5,0.243468
301.0,0.246060
301.5,0.249250
302.0,0.252902
302.5,0.256879
303.0,0.261044
303.5,0.265260
304.0,0.269390
304.5,0.273297
