wavelength (nm),flux (F_lambda)
115.0,0.000000
115.5,0.000000
116.0,0.000000
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000000
120.5,0.000000
121.0,0.000000
121.5,0.000000
122.0,0.000000
122.5,0.000000
123.0,0.000000
123.5,0.000000
124.0,0.000000
124.5,0.000000
125.0,0.000000
125.5,0.000000
126.0,0.000000
126.5,0.000000
127.0,0.000000
127.5,0.000000
128.0,0.000000
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.000000
131.0,0.000000
131.5,0.000000
132.0,0.000000
132.5,0.000000
133.0,0.000000
133.5,0.000000
134.0,0.000000
134.5,0.000000
135.0,0.000000
135.5,0.000000
136.0,0.000000
136.5,0.000000
137.0,0.000000
137.5,0.000000
138.0,0.000000
138.5,0.000000
139.0,0.000000
139.5,0.000000
140.0,0.000000
140.5,0.000000
141.0,0.000000
141.5,0.000000
142.0,0.000000
142.5,0.000000
143.0,0.000000
143.5,0.000000
144.0,0.000000
144.5,0.000000
145.0,0.000000
145.5,0.000000
146.0,0.000000
146.5,0.000000
147.0,0.000000
147.5,0.000000
148.0,0.000000
148.5,0.000000
149.0,0.000000
149.5,0.000000
150.0,0.000000
150.5,0.000000
151.0,0.000000
151.5,0.000000
152.0,0.000000
152.5,0.000000
153.0,0.000000
153.5,0.000000
154.0,0.000000
154.5,0.000000
155.0,0.000000
155.5,0.000000
156.0,0.000000
156.5,0.000000
157.0,0.000000
157.5,0.000000
158.0,0.000000
158.5,0.000000
159.0,0.000000
159.5,0.000000
160.0,0.000000
160.5,0.000000
161.0,0.000000
161.5,0.000000
162.0,0.000000
162.5,0.000000
163.0,0.000000
163.5,0.000000
164.0,0.000000
164.5,0.000000
165.0,0.000000
165.5,0.000000
166.0,0.000000
166.5,0.000000
167.0,0.000000
167.5,0.000000
168.0,0.000000
168.5,0.000000
169.0,0.000000
169.5,0.000000
170.0,0.000000
170.5,0.000000
171.0,0.000000
171.5,0.000000
172.0,0.000000
172.5,0.000000
173.0,0.000000
173.5,0.000000
174.0,0.000000
174.5,0.000000
175.0,0.000000
175.5,0.000001
176.0,0.000001
176.5,0.000002
177.0,0.000002
177.5,0.000003
178.0,0.000003
178.5,0.000003
179.0,0.000002
179.5,0.000001
180.0,0.000000
180.5,0.000000
181.0,0.000000
181.5,0.000000
182.0,0.000000
182.5,0.000000
183.0,0.000000
183.5,0.000000
184.0,0.000000
184.5,0.000000
185.0,0.000000
185.5,0.000007
186.0,0.000016
186.5,0.000025
187.0,0.000033
187.5,0.000038
188.0,0.000041
188.5,0.000040
189.0,0.000033
189.5,0.000020
190.0,0.000000
190.5,0.000000
191.0,0.000000
191.5,0.000000
192.0,0.000000
192.5,0.000000
193.0,0.000000
193.5,0.000000
194.0,0.000000
194.5,0.000000
195.0,0.000000
195.5,0.000106
196.0,0.000240
196.5,0.000401
197.0,0.000585
197.5,0.000789
198.0,0.001010
198.5,0.001247
199.0,0.001496
199.5,0.001755
200.0,0.002020
200.5,0.002291
201.0,0.002573
201.5,0.002873
202.0,0.003198
202.5,0.003555
203.0,0.003950
203.5,0.004392
204.0,0.004886
204.5,0.005440
205.0,0.006061
205.5,0.006753
206.0,0.007511
206.5,0.008330
207.0,0.009201
207.5,0.010119
208.0,0.011075
208.5,0.012063
209.0,0.013077
209.5,0.014109
210.0,0.015152
210.5,0.016199
211.0,0.017248
211.5,0.018294
212.0,0.019335
212.5,0.020365
213.0,0.021383
213.5,0.022384
214.0,0.023364
214.5,0.024322
215.0,0.025253
215.5,0.026153
216.0,0.027019
216.5,0.027848
217.0,0.028636
217.5,0.029381
218.0,0.030078
218.5,0.030724
219.0,0.031316
219.5,0.031850
220.0,0.032323
220.5,0.032733
221.0,0.033084
221.5,0.033380
222.0,0.033627
222.5,0.033829
223.0,0.033991
223.5,0.034119
224.0,0.034217
224.5,0.034290
225.0,0.034343
225.5,0.034380
226.0,0.034398
226.5,0.034393
227.0,0.034359
227.5,0.034294
228.0,0.034192
228.5,0.034049
229.0,0.033861
229.5,0.033624
230.0,0.033333
230.5,0.032986
231.0,0.032587
231.5,0.032143
232.0,0.031659
232.5,0.031143
233.0,0.030599
233.5,0.030035
234.0,0.029457
234.5,0.028871
235.0,0.028283
235.5,0.027703
236.0,0.027155
236.5,0.026668
237.0,0.026268
237.5,0.025984
238.0,0.025844
238.5,0.025875
239.0,0.026105
239.5,0.026561
240.0,0.027273
240.5,0.028250
241.0,0.029442
241.5,0.030778
242.0,0.032189
242.5,0.033607
243.0,0.034963
243.5,0.036187
244.0,0.037212
244.5,0.037967
245.0,0.038384
245.5,0.038418
246.0,0.038124
246.5,0.037579
247.0,0.036863
247.5,0.036052
248.0,0.035226
248.5,0.034463
249.0,0.033841
249.5,0.033438
250.0,0.033333
250.5,0.033581
251.0,0.034143
251.5,0.034955
252.0,0.035957
252.5,0.037084
253.0,0.038275
253.5,0.039467
254.0,0.040597
254.5,0.041604
255.0,0.042424
255.5,0.043027
256.0,0.043503
256.5,0.043977
257.0,0.044572
257.5,0.045411
258.0,0.046616
258.5,0.048313
259.0,0.050623
259.5,0.053669
260.0,0.057576
260.5,0.062414
261.0,0.068047
261.5,0.074288
262.0,0.080948
262.5,0.087839
263.0,0.094775
263.5,0.101565
264.0,0.108024
264.5,0.113962
265.0,0.119192
265.5,0.123566
266.0,0.127097
266.5,0.129837
267.0,0.131839
267.5,0.133156
268.0,0.133841
268.5,0.133946
269.0,0.133525
269.5,0.132630
270.0,0.131313
270.5,0.129625
271.0,0.127599
271.5,0.125268
272.0,0.122662
272.5,0.119814
273.0,0.116755
273.5,0.113515
274.0,0.110127
274.5,0.106621
275.0,0.103030
275.5,0.099400
276.0,0.095841
276.5,0.092476
277.0,0.089431
277.5,0.086830
278.0,0.084797
278.5,0.083458
279.0,0.082938
279.5,0.083359
280.0,0.084848
280.5,0.087493
281.0,0.091236
281.5,0.095984
282.0,0.101643
282.5,0.108120
283.0,0.115321
283.5,0.123152
284.0,0.131521
284.5,0.140333
285.0,0.149495
285.5,0.158911
286.0,0.168476
286.5,0.178080
287.0,0.187618
287.5,0.196979
288.0,0.206058
288.5,0.214744
289.0,0.222931
289.5,0.230510
290.0,0.237374
290.5,0.243433
291.0,0.248680
291.5,0.253124
292.0,0.256775
292.5,0.259644
293.0,0.261742
293.5,0.263079
294.0,0.263665
294.5,0.263510
295.0,0.262626
295.5,0.261054
296.0,0.258962
296.5,0.256550
297.0,0.254018
297.5,0.251564
298.0,0.249390
298.5,0.247694
299.0,0.246677
299.5,0.246537
300.0,0.247475
300.5,0.249623
301.0,0.252845
301.5,0.256938
302.0,0.261700
302.5,0.266926
303.0,0.272415
303.5,0.277963
304.0,0.283366
304.5,0.288423
