wavelength (nm),flux (F_lambda)
115.0,0.000000
115.5,0.000000
116.0,0.000000
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000000
120.5,0.000000
121.0,0.000000
121.5,0.000000
122.0,0.000000
122.5,0.000000
123.0,0.000000
123.5,0.000000
124.0,0.000000
124.5,0.000000
125.0,0.000000
125.5,0.000000
126.0,0.000000
126.5,0.000000
127.0,0.000000
127.5,0.000000
128.0,0.000000
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.000000
131.0,0.000000
131.5,0.000000
132.0,0.000000
132.5,0.000000
133.0,0.000000
133.5,0.000000
134.0,0.000000
134.5,0.000000
135.0,0.000000
135.5,0.000000
136.0,0.000000
136.5,0.000000
137.0,0.000000
137.5,0.000000
138.0,0.000000
138.5,0.000000
139.0,0.000000
139.5,0.000000
140.0,0.000000
140.5,0.000000
141.0,0.000000
141.5,0.000000
142.0,0.000000
142.5,0.000000
143.0,0.000000
143.5,0.000000
144.0,0.000000
144.5,0.000000
145.0,0.000000
145.5,0.000000
146.0,0.000000
146.5,0.000000
147.0,0.000000
147.5,0.000000
148.0,0.000000
148.5,0.000000
149.0,0.000000
149.5,0.000000
150.0,0.000000
150.5,0.000000
151.0,0.000000
151.5,0.000000
152.0,0.000000
152.5,0.000000
153.0,0.000000
153.5,0.000000
154.0,0.000000
154.5,0.000000
155.0,0.000000
155.5,0.000000
156.0,0.000000
156.5,0.000000
157.0,0.000000
157.5,0.000000
158.0,0.000000
158.5,0.000000
159.0,0.000000
159.5,0.000000
160.0,0.000000
160.5,0.000000
161.0,0.000000
161.5,0.000000
162.0,0.000000
162.5,0.000000
163.0,0.000000
163.5,0.000000
164.0,0.000000
164.5,0.000000
165.0,0.000000
165.5,0.000000
166.0,0.000000
166.5,0.000000
167.0,0.000000
167.5,0.000000
168.0,0.000000
168.5,0.000000
169.0,0.000000
169.5,0.000000
170.0,0.000000
170.5,0.000000
171.0,0.000000
171.5,0.000000
172.0,0.000000
172.5,0.000000
173.0,0.000000
173.5,0.000000
174.0,0.000000
174.5,0.000000
175.0,0.000000
175.5,0.000000
176.0,0.000000
176.5,0.000000
177.0,0.000000
177.5,0.000000
178.0,0.000000
178.5,0.000000
179.0,0.000000
179.5,0.000000
180.0,0.000000
180.5,0.000000
181.0,0.000000
181.5,0.000000
182.0,0.000000
182.5,0.000000
183.0,0.000000
183.5,0.000000
184.0,0.000000
184.5,0.000000
185.0,0.000000
185.5,0.000000
186.0,0.000000
186.5,0.000000
187.0,0.000000
187.5,0.000000
188.0,0.000000
188.5,0.000000
189.0,0.000000
189.5,0.000000
190.0,0.000000
190.5,0.000000
191.0,0.000000
191.5,0.000000
192.0,0.000000
192.5,0.000000
193.0,0.000000
193.5,0.000000
194.0,0.000000
194.5,0.000000
195.0,0.000000
195.5,0.000000
196.0,0.000000
196.5,0.000000
197.0,0.000000
197.5,0.000001
198.0,0.000001
198.5,0.000001
199.0,0.000000
199.5,0.000000
200.0,0.000000
200.5,0.000000
201.0,0.000000
201.5,0.000000
202.0,0.000000
202.5,0.000000
203.0,0.000000
203.5,0.000000
204.0,0.000000
204.5,0.000000
205.0,0.000000
205.5,0.000001
206.0,0.000003
206.5,0.000005
207.0,0.000006
207.5,0.000007
208.0,0.000008
208.5,0.000008
209.0,0.000006
209.5,0.000004
210.0,0.000000
210.5,0.000000
211.0,0.000000
211.5,0.000000
212.0,0.000000
212.5,0.000000
213.0,0.000000
213.5,0.000000
214.0,0.000000
214.5,0.000000
215.0,0.000000
215.5,0.000020
216.0,0.000043
216.5,0.000067
217.0,0.000087
217.5,0.000103
218.0,0.000110
218.5,0.000106
219.0,0.000089
219.5,0.000054
220.0,0.000000
220.5,0.000000
221.0,0.000000
221.5,0.000000
222.0,0.000000
222.5,0.000000
223.0,0.000000
223.5,0.000000
224.0,0.000000
224.5,0.000000
225.0,0.000000
225.5,0.000283
226.0,0.000640
226.5,0.001060
227.0,0.001534
227.5,0.002052
228.0,0.002604
228.5,0.003178
229.0,0.003767
229.5,0.004358
230.0,0.004942
230.5,0.005510
231.0,0.006048
231.5,0.006546
232.0,0.006991
232.5,0.007373
233.0,0.007679
233.5,0.007897
234.0,0.008015
234.5,0.008023
235.0,0.007908
235.5,0.007665
236.0,0.007322
236.5,0.006910
237.0,0.006464
237.5,0.006018
238.0,0.005604
238.5,0.005256
239.0,0.005007
239.5,0.004892
240.0,0.004942
240.5,0.005180
241.0,0.005572
241.5,0.006075
242.0,0.006642
242.5,0.007230
243.0,0.007793
243.5,0.008286
244.0,0.008664
244.5,0.008882
245.0,0.008896
245.5,0.008677
246.0,0.008259
246.5,0.007694
247.0,0.007034
247.5,0.006331
248.0,0.005634
248.5,0.004997
249.0,0.004470
249.5,0.004106
250.0,0.003954
250.5,0.004051
251.0,0.004371
251.5,0.004872
252.0,0.005510
252.5,0.006245
253.0,0.007034
253.5,0.007834
254.0,0.008604
254.5,0.009302
255.0,0.009885
255.5,0.010324
256.0,0.010640
256.5,0.010868
257.0,0.011041
257.5,0.011194
258.0,0.011361
258.5,0.011576
259.0,0.011873
259.5,0.012286
260.0,0.012850
260.5,0.013586
261.0,0.014465
261.5,0.015447
262.0,0.016490
262.5,0.017554
263.0,0.018597
263.5,0.019579
264.0,0.020459
264.5,0.021195
265.0,0.021746
265.5,0.022084
266.0,0.022225
266.5,0.022199
267.0,0.022035
267.5,0.021761
268.0,0.021407
268.5,0.021002
269.0,0.020575
269.5,0.020154
270.0,0.019769
270.5,0.019445
271.0,0.019188
271.5,0.018999
272.0,0.018882
272.5,0.018837
273.0,0.018866
273.5,0.018972
274.0,0.019157
274.5,0.019422
275.0,0.019769
275.5,0.020197
276.0,0.020683
276.5,0.021204
277.0,0.021735
277.5,0.022250
278.0,0.022725
278.5,0.023135
279.0,0.023455
279.5,0.023659
280.0,0.023723
280.5,0.023637
281.0,0.023448
281.5,0.023219
282.0,0.023011
282.5,0.022887
283.0,0.022909
283.5,0.023139
284.0,0.023639
284.5,0.024472
285.0,0.025700
285.5,0.027361
286.0,0.029397
286.5,0.031728
287.0,0.034270
287.5,0.036944
288.0,0.039667
288.5,0.042358
289.0,0.044935
289.5,0.047318
290.0,0.049423
290.5,0.051189
291.0,0.052623
291.5,0.053753
292.0,0.054604
292.5,0.055203
293.0,0.055577
293.5,0.055753
294.0,0.055756
294.5,0.055615
295.0,0.055354
295.5,0.055004
296.0,0.054602
296.5,0.054188
297.0,0.053804
297.5,0.053488
298.0,0.053283
298.5,0.053227
299.0,0.053363
299.5,0.053729
300.0,0.054366
300.5,0.055299
301.0,0.056493
301.5,0.057894
302.0,0.059453
302.5,0.061115
303.0,0.062832
303.5,0.064549
304.0,0.066216
304.5,0.067781
