wavelength (nm),flux (F_lambda)
115.0,0.000000
115.5,0.000000
116.0,0.000000
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000000
120.5,0.000000
121.0,0.000000
121.5,0.000000
122.0,0.000000
122.5,0.000000
123.0,0.000000
123.5,0.000000
124.0,0.000000
124.5,0.000000
125.0,0.000000
125.5,0.000000
126.0,0.000000
126.5,0.000000
127.0,0.000000
127.5,0.000000
128.0,0.000000
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.000000
131.0,0.000000
131.5,0.000000
132.0,0.000000
132.5,0.000000
133.0,0.000000
133.5,0.000000
134.0,0.000000
134.5,0.000000
135.0,0.000000
135.5,0.000000
136.0,0.000000
136.5,0.000000
137.0,0.000000
137.5,0.000000
138.0,0.000000
138.5,0.000000
139.0,0.000000
139.5,0.000000
140.0,0.000000
140.5,0.000000
141.0,0.000000
141.5,0.000000
142.0,0.000000
142.5,0.000000
143.0,0.000000
143.5,0.000000
144.0,0.000000
144.5,0.000000
145.0,0.000000
145.5,0.000000
146.0,0.000000
146.5,0.000000
147.0,0.000000
147.5,0.000000
148.0,0.000000
148.5,0.000000
149.0,0.000000
149.5,0.000000
150.0,0.000000
150.5,0.000000
151.0,0.000000
151.5,0.000000
152.0,0.000000
152.5,0.000000
153.0,0.000000
153.5,0.000000
154.0,0.000000
154.5,0.000000
155.0,0.000000
155.5,0.000000
156.0,0.000000
156.5,0.000000
157.0,0.000000
157.5,0.000000
158.0,0.000000
158.5,0.000000
159.0,0.000000
159.5,0.000000
160.0,0.000000
160.5,0.000000
161.0,0.000000
161.5,0.000000
162.0,0.000000
162.5,0.000000
163.0,0.000000
163.5,0.000000
164.0,0.000000
164.5,0.000000
165.0,0.000000
165.5,0.000000
166.0,0.000000
166.5,0.000000
167.0,0.000000
167.5,0.000000
168.0,0.000000
168.5,0.000000
169.0,0.000000
169.5,0.000000
170.0,0.000000
170.5,0.000000
171.0,0.000000
171.5,0.000000
172.0,0.000000
172.5,0.000000
173.0,0.000000
173.5,0.000000
174.0,0.000000
174.5,0.000000
175.0,0.000000
175.5,0.000000
176.0,0.000000
176.5,0.000000
177.0,0.000000
177.5,0.000000
178.0,0.000000
178.5,0.000000
179.0,0.000000
179.5,0.000000
180.0,0.000000
180.5,0.000000
181.0,0.000000
181.5,0.000000
182.0,0.000000
182.5,0.000000
183.0,0.000000
183.5,0.000000
184.0,0.000000
184.5,0.000000
185.0,0.000000
185.5,0.000001
186.0,0.000002
186.5,0.000002
187.0,0.000003
187.5,0.000004
188.0,0.000004
188.5,0.000004
189.0,0.000003
189.5,0.000002
190.0,0.000000
190.5,0.000000
191.0,0.000000
191.5,0.000000
192.0,0.000000
192.5,0.000000
193.0,0.000000
193.5,0.000000
194.0,0.000000
194.5,0.000000
195.0,0.000000
195.5,0.000010
196.0,0.000022
196.5,0.000034
197.0,0.000045
197.5,0.000053
198.0,0.000057
198.5,0.000055
199.0,0.000046
199.5,0.000028
200.0,0.000000
200.5,0.000000
201.0,0.000000
201.5,0.000000
202.0,0.000000
202.5,0.000000
203.0,0.000000
203.5,0.000000
204.0,0.000000
204.5,0.000000
205.0,0.000000
205.5,0.000145
206.0,0.000325
206.5,0.000531
207.0,0.000755
207.5,0.000988
208.0,0.001222
208.5,0.001449
209.0,0.001659
209.5,0.001845
210.0,0.001997
210.5,0.002111
211.0,0.002187
211.5,0.002230
212.0,0.002246
212.5,0.002238
213.0,0.002210
213.5,0.002168
214.0,0.002115
214.5,0.002057
215.0,0.001997
215.5,0.001940
216.0,0.001889
216.5,0.001846
217.0,0.001814
217.5,0.001796
218.0,0.001793
218.5,0.001810
219.0,0.001847
219.5,0.001909
220.0,0.001997
220.5,0.002114
221.0,0.002257
221.5,0.002423
222.0,0.002610
222.5,0.002814
223.0,0.003033
223.5,0.003263
224.0,0.003502
224.5,0.003747
225.0,0.003995
225.5,0.004242
226.0,0.004487
226.5,0.004726
227.0,0.004956
227.5,0.005175
228.0,0.005379
228.5,0.005566
229.0,0.005732
229.5,0.005875
230.0,0.005992
230.5,0.006081
231.0,0.006143
231.5,0.006182
232.0,0.006199
232.5,0.006197
233.0,0.006179
233.5,0.006147
234.0,0.006103
234.5,0.006051
235.0,0.005992
235.5,0.005931
236.0,0.005877
236.5,0.005840
237.0,0.005832
237.5,0.005864
238.0,0.005946
238.5,0.006089
239.0,0.006303
239.5,0.006600
240.0,0.006991
240.5,0.007479
241.0,0.008044
241.5,0.008657
242.0,0.009291
242.5,0.009919
243.0,0.010512
243.5,0.011043
244.0,0.011484
244.5,0.011807
245.0,0.011984
245.5,0.012000
246.0,0.011882
246.5,0.011672
247.0,0.011409
247.5,0.011135
248.0,0.010888
248.5,0.010709
249.0,0.010639
249.5,0.010718
250.0,0.010985
250.5,0.011466
251.0,0.012121
251.5,0.012895
252.0,0.013731
252.5,0.014576
253.0,0.015373
253.5,0.016066
254.0,0.016602
254.5,0.016924
255.0,0.016977
255.5,0.016732
256.0,0.016259
256.5,0.015656
257.0,0.015021
257.5,0.014451
258.0,0.014043
258.5,0.013894
259.0,0.014103
259.5,0.014765
260.0,0.015979
260.5,0.017804
261.0,0.020154
261.5,0.022905
262.0,0.025931
262.5,0.029110
263.0,0.032317
263.5,0.035428
264.0,0.038319
264.5,0.040865
265.0,0.042943
265.5,0.044460
266.0,0.045455
266.5,0.045996
267.0,0.046153
267.5,0.045997
268.0,0.045596
268.5,0.045021
269.0,0.044340
269.5,0.043624
270.0,0.042943
270.5,0.042352
271.0,0.041854
271.5,0.041439
272.0,0.041096
272.5,0.040814
273.0,0.040582
273.5,0.040390
274.0,0.040228
274.5,0.040083
275.0,0.039947
275.5,0.039810
276.0,0.039680
276.5,0.039565
277.0,0.039475
277.5,0.039417
278.0,0.039402
278.5,0.039438
279.0,0.039535
279.5,0.039702
280.0,0.039947
280.5,0.040291
281.0,0.040799
281.5,0.041547
282.0,0.042612
282.5,0.044070
283.0,0.045996
283.5,0.048469
284.0,0.051562
284.5,0.055354
285.0,0.059920
285.5,0.065295
286.0,0.071351
286.5,0.077916
287.0,0.084821
287.5,0.091894
288.0,0.098967
288.5,0.105867
289.0,0.112426
289.5,0.118472
290.0,0.123835
290.5,0.128375
291.0,0.132074
291.5,0.134944
292.0,0.136997
292.5,0.138244
293.0,0.138699
293.5,0.138371
294.0,0.137275
294.5,0.135422
295.0,0.132823
295.5,0.129529
296.0,0.125745
296.5,0.121711
297.0,0.117671
297.5,0.113867
298.0,0.110540
298.5,0.107934
299.0,0.106290
299.5,0.105850
300.0,0.106858
300.5,0.109464
301.0,0.113461
301.5,0.118552
302.0,0.124439
302.5,0.130823
303.0,0.137407
303.5,0.143894
304.0,0.149984
304.5,0.155381
