wavelength (nm),flux (F_lambda)
115.0,0.000000
115.5,0.000000
116.0,0.000000
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000000
120.5,0.000000
121.0,0.000000
121.5,0.000000
122.0,0.000000
122.5,0.000000
123.0,0.000000
123.5,0.000000
124.0,0.000000
124.5,0.000000
125.0,0.000000
125.5,0.000000
126.0,0.000000
126.5,0.000000
127.0,0.000000
127.5,0.000000
128.0,0.000000
128.5,0.000000
129.0,0.000000
129.5,0.000000
130.0,0.000000
130.5,0.000000
131.0,0.000000
131.5,0.000000
132.0,0.000000
132.5,0.000000
133.0,0.000000
133.5,0.000000
134.0,0.000000
134.5,0.000000
135.0,0.000000
135.5,0.000000
136.0,0.000000
136.5,0.000000
137.0,0.000000
137.5,0.000000
138.0,0.000000
138.5,0.000000
139.0,0.000000
139.5,0.000000
140.0,0.000000
140.5,0.000000
141.0,0.000000
141.5,0.000000
142.0,0.000000
142.5,0.000000
143.0,0.000000
143.5,0.000000
144.0,0.000000
144.5,0.000000
145.0,0.000000
145.5,0.000000
146.0,0.000000
146.5,0.000000
147.0,0.000000
147.5,0.000000
148.0,0.000000
148.5,0.000000
149.0,0.000000
149.5,0.000000
150.0,0.000000
150.5,0.000000
151.0,0.000000
151.5,0.000000
152.0,0.000000
152.5,0.000000
153.0,0.000000
153.5,0.000000
154.0,0.000000
154.5,0.000000
155.0,0.000000
155.5,0.000000
156.0,0.000000
156.5,0.000000
157.0,0.000000
157.5,0.000000
158.0,0.000000
158.5,0.000000
159.0,0.000000
159.5,0.000000
160.0,0.000000
160.5,0.000000
161.0,0.000000
161.5,0.000000
162.0,0.000000
162.5,0.000000
163.0,0.000000
163.5,0.000000
164.0,0.000000
164.5,0.000000
165.0,0.000000
165.5,0.000000
166.0,0.000000
166.5,0.000000
167.0,0.000000
167.5,0.000000
168.0,0.000000
168.5,0.000000
169.0,0.000000
169.5,0.000000
170.0,0.000000
170.5,0.000000
171.0,0.000000
171.5,0.000000
172.0,0.000000
172.5,0.000000
173.0,0.000000
173.5,0.000000
174.0,0.000000
174.5,0.000000
175.0,0.000000
175.5,0.000000
176.0,0.000000
176.5,0.000000
177.0,0.000000
177.5,0.000000
178.0,0.000000
178.5,0.000000
179.0,0.000000
179.5,0.000000
180.0,0.000000
180.5,0.000000
181.0,0.000000
181.5,0.000000
182.0,0.000000
182.5,0.000000
183.0,0.000000
183.5,0.000000
184.0,0.000000
184.5,0.000000
185.0,0.000000
185.5,0.000000
186.0,0.000000
186.5,0.000000
187.0,0.000000
187.5,0.000001
188.0,0.000001
188.5,0.000001
189.0,0.000000
189.5,0.000000
190.0,0.000000
190.5,0.000000
191.0,0.000000
191.5,0.000000
192.0,0.000000
192.5,0.000000
193.0,0.000000
193.5,0.000000
194.0,0.000000
194.5,0.000000
195.0,0.000000
195.5,0.000001
196.0,0.000003
196.5,0.000005
197.0,0.000006
197.5,0.000007
198.0,0.000008
198.5,0.000008
199.0,0.000006
199.5,0.000004
200.0,0.000000
200.5,0.000000
201.0,0.000000
201.5,0.000000
202.0,0.000000
202.5,0.000000
203.0,0.000000
203.5,0.000000
204.0,0.000000
204.5,0.000000
205.0,0.000000
205.5,0.000020
206.0,0.000043
206.5,0.000066
207.0,0.000087
207.5,0.000102
208.0,0.000109
208.5,0.000106
209.0,0.000088
209.5,0.000054
210.0,0.000000
210.5,0.000000
211.0,0.000000
211.5,0.000000
212.0,0.000000
212.5,0.000000
213.0,0.000000
213.5,0.000000
214.0,0.000000
214.5,0.000000
215.0,0.000000
215.5,0.000279
216.0,0.000627
216.5,0.001027
217.0,0.001465
217.5,0.001926
218.0,0.002394
218.5,0.002854
219.0,0.003290
219.5,0.003689
220.0,0.004034
220.5,0.004314
221.0,0.004533
221.5,0.004699
222.0,0.004820
222.5,0.004904
223.0,0.004958
223.5,0.004992
224.0,0.005011
224.5,0.005026
225.0,0.005042
225.5,0.005068
226.0,0.005105
226.5,0.005157
227.0,0.005224
227.5,0.005308
228.0,0.005411
228.5,0.005535
229.0,0.005682
229.5,0.005853
230.0,0.006050
230.5,0.006274
231.0,0.006516
231.5,0.006769
232.0,0.007023
232.5,0.007269
233.0,0.007498
233.5,0.007701
234.0,0.007870
234.5,0.007995
235.0,0.008067
235.5,0.008082
236.0,0.008052
236.5,0.007992
237.0,0.007917
237.5,0.007845
238.0,0.007791
238.5,0.007770
239.0,0.007798
239.5,0.007892
240.0,0.008067
240.5,0.008333
241.0,0.008671
241.5,0.009058
242.0,0.009469
242.5,0.009881
243.0,0.010268
243.5,0.010607
244.0,0.010874
244.5,0.011044
245.0,0.011092
245.5,0.011006
246.0,0.010806
246.5,0.010527
247.0,0.010200
247.5,0.009859
248.0,0.009536
248.5,0.009263
249.0,0.009074
249.5,0.009001
250.0,0.009076
250.5,0.009322
251.0,0.009721
251.5,0.010247
252.0,0.010871
252.5,0.011565
253.0,0.012302
253.5,0.013054
254.0,0.013794
254.5,0.014494
255.0,0.015126
255.5,0.015676
256.0,0.016185
256.5,0.016705
257.0,0.017292
257.5,0.017999
258.0,0.018879
258.5,0.019986
259.0,0.021374
259.5,0.023098
260.0,0.025210
260.5,0.027741
261.0,0.030623
261.5,0.033767
262.0,0.037081
262.5,0.040474
263.0,0.043857
263.5,0.047138
264.0,0.050226
264.5,0.053031
265.0,0.055462
265.5,0.057447
266.0,0.058986
266.5,0.060097
267.0,0.060800
267.5,0.061113
268.0,0.061055
268.5,0.060643
269.0,0.059898
269.5,0.058837
270.0,0.057479
270.5,0.055852
271.0,0.054017
271.5,0.052045
272.0,0.050007
272.5,0.047973
273.0,0.046013
273.5,0.044199
274.0,0.042602
274.5,0.041290
275.0,0.040336
275.5,0.039785
276.0,0.039585
276.5,0.039658
277.0,0.039927
277.5,0.040316
278.0,0.040746
278.5,0.041142
279.0,0.041425
279.5,0.041518
280.0,0.041345
280.5,0.040870
281.0,0.040229
281.5,0.039599
282.0,0.039157
282.5,0.039083
283.0,0.039552
283.5,0.040743
284.0,0.042833
284.5,0.045999
285.0,0.050420
285.5,0.056196
286.0,0.063122
286.5,0.070915
287.0,0.079293
287.5,0.087975
288.0,0.096677
288.5,0.105118
289.0,0.113015
289.5,0.120087
290.0,0.126050
290.5,0.130688
291.0,0.134040
291.5,0.136210
292.0,0.137303
292.5,0.137422
293.0,0.136671
293.5,0.135155
294.0,0.132979
294.5,0.130245
295.0,0.127059
295.5,0.123532
296.0,0.119806
296.5,0.116031
297.0,0.112358
297.5,0.108936
298.0,0.105915
298.5,0.103445
299.0,0.101676
299.5,0.100758
300.0,0.100840
300.5,0.102023
301.0,0.104204
301.5,0.107229
302.0,0.110944
302.5,0.115198
303.0,0.119835
303.5,0.124703
304.0,0.129649
304.5,0.134519
