wavelength (nm),flux (F_lambda)
115.0,12.354247
115.5,9.928268
116.0,8.410753
116.5,7.509275
117.0,6.670680
117.5,6.781011
118.0,7.357984
118.5,6.852360
119.0,4.872262
119.5,3.911742
120.0,3.635705
120.5,3.118013
121.0,3.574178
121.5,4.025427
122.0,2.568774
122.5,1.621761
123.0,1.946986
123.5,3.440087
124.0,7.304927
124.5,10.425267
125.0,9.332570
125.5,8.277149
126.0,8.269590
126.5,8.999817
127.0,9.816989
127.5,10.038819
128.0,10.157413
128.5,10.720798
129.0,11.270990
129.5,11.288293
130.0,10.213554
130.5,9.725484
131.0,10.801042
131.5,11.241415
132.0,11.143845
132.5,11.355783
133.0,10.812620
133.5,9.796715
134.0,10.036439
134.5,11.388572
135.0,11.942840
135.5,11.697521
136.0,10.939327
136.5,10.472205
137.0,10.386893
137.5,10.265371
138.0,10.594095
138.5,9.101425
139.0,9.106222
139.5,10.218836
140.0,12.030488
140.5,12.692549
141.0,12.465882
141.5,12.188085
142.0,11.972627
142.5,12.549244
143.0,12.381000
143.5,13.183895
144.0,12.588732
144.5,12.072426
145.0,11.745475
145.5,11.344063
146.0,11.558090
146.5,12.287302
147.0,13.342228
147.5,13.789039
148.0,14.373831
148.5,14.915152
149.0,15.405516
149.5,14.876936
150.0,13.815476
150.5,14.264360
151.0,14.894167
151.5,14.642174
152.0,14.612108
152.5,13.738270
153.0,10.425825
153.5,5.192809
154.0,4.034249
154.5,8.733002
155.0,16.761051
155.5,20.603991
156.0,17.648708
156.5,14.894928
157.0,14.415968
157.5,14.725375
158.0,14.549064
158.5,14.076339
159.0,13.778352
159.5,13.536096
160.0,13.048507
160.5,12.583019
161.0,12.014565
161.5,12.153325
162.0,12.099739
162.5,12.197218
163.0,12.312810
163.5,12.549278
164.0,12.834955
164.5,13.522785
165.0,13.270918
165.5,12.011052
166.0,11.829187
166.5,12.650260
167.0,12.388281
167.5,12.455683
168.0,13.185306
168.5,13.291745
169.0,13.062643
169.5,12.934876
170.0,12.634619
170.5,12.162938
171.0,10.960016
171.5,10.233763
172.0,11.535001
172.5,12.728098
173.0,12.800633
173.5,12.909595
174.0,12.770240
174.5,12.601005
175.0,12.427034
175.5,12.513680
176.0,12.520302
176.5,12.271631
177.0,12.151934
177.5,12.350992
178.0,12.207653
178.5,11.225578
179.0,9.867487
179.5,10.754947
180.0,11.228872
180.5,10.871095
181.0,10.663568
181.5,10.987250
182.0,11.055533
182.5,10.850305
183.0,10.662852
183.5,10.525848
184.0,10.271605
184.5,10.132284
185.0,9.780405
185.5,9.363360
186.0,9.375544
186.5,9.483219
187.0,9.344897
187.5,9.076859
188.0,9.020525
188.5,8.783040
189.0,8.647580
189.5,8.541557
190.0,8.310987
