wavelength (nm),flux (F_lambda)
115.0,42.407425
115.5,33.094707
116.0,28.105522
116.5,25.259573
117.0,23.153645
117.5,24.109468
118.0,24.315250
118.5,21.637413
119.0,15.523624
119.5,15.515518
120.0,14.822867
120.5,9.351143
121.0,3.558274
121.5,1.119698
122.0,3.599699
122.5,7.804561
123.0,7.713953
123.5,11.432046
124.0,27.092165
124.5,34.812096
125.0,28.976881
125.5,26.714216
126.0,27.774818
126.5,28.833733
127.0,30.116142
127.5,30.850407
128.0,30.438484
128.5,31.034836
129.0,31.457289
129.5,30.977301
130.0,29.491348
130.5,30.492313
131.0,32.370758
131.5,31.232496
132.0,29.531504
132.5,31.091269
133.0,31.309933
133.5,28.186846
134.0,26.719275
134.5,27.371384
135.0,28.054155
135.5,27.318346
136.0,26.515944
136.5,26.669899
137.0,26.033829
137.5,24.476685
138.0,21.890242
138.5,18.727989
139.0,19.659313
139.5,24.312500
140.0,29.305035
140.5,30.045202
141.0,26.677095
141.5,24.274874
142.0,24.378708
142.5,23.134026
143.0,23.735548
143.5,25.449806
144.0,24.470655
144.5,23.394642
145.0,22.774652
145.5,21.742226
146.0,21.503277
146.5,22.600733
147.0,23.983444
147.5,25.212008
148.0,26.115294
148.5,27.164072
149.0,28.095900
149.5,27.201332
150.0,24.502460
150.5,24.986588
151.0,26.657597
151.5,25.792690
152.0,24.660095
152.5,22.055025
153.0,19.058975
153.5,12.369664
154.0,7.832278
154.5,10.716280
155.0,21.291166
155.5,26.845823
156.0,22.731327
156.5,20.181852
157.0,20.239647
157.5,21.018057
158.0,20.371601
158.5,20.612638
159.0,20.629747
159.5,20.012148
160.0,18.424767
160.5,17.089897
161.0,16.416096
161.5,17.107100
162.0,17.167007
162.5,16.714413
163.0,16.258451
163.5,16.231470
164.0,16.311426
164.5,17.470190
165.0,18.163280
165.5,17.045876
166.0,16.717417
166.5,17.536158
167.0,17.893839
167.5,18.170853
168.0,19.636587
168.5,19.329304
169.0,18.207499
169.5,17.579361
170.0,17.296461
170.5,17.073406
171.0,16.228642
171.5,14.576410
172.0,14.694257
172.5,16.128902
173.0,17.354851
173.5,18.100166
174.0,17.262835
174.5,17.571491
175.0,17.757542
175.5,17.627384
176.0,18.551510
176.5,18.153305
177.0,17.653080
177.5,17.451771
178.0,17.611177
178.5,15.857885
179.0,11.025812
179.5,14.250124
180.0,16.412931
180.5,15.958702
181.0,15.565578
181.5,16.046961
182.0,16.934723
182.5,16.506197
183.0,16.148693
183.5,16.109179
184.0,15.945634
184.5,15.622842
185.0,15.041477
185.5,14.362033
186.0,14.398850
186.5,14.592279
187.0,14.083439
187.5,13.912041
188.0,14.302147
188.5,14.013246
189.0,13.895707
189.5,13.668299
190.0,13.240902
190.5,12.703928
191.0,12.442489
191.5,12.411217
192.0,11.874570
192.5,11.515812
193.0,11.953981
193.5,11.912534
194.0,11.673103
194.5,11.375293
195.0,11.494267
195.5,11.481780
196.0,10.681927
196.5,10.247885
197.0,10.701011
197.5,10.744381
198.0,10.093458
198.5,10.191929
199.0,9.344323
199.5,8.341738
200.0,9.144217
200.5,9.708358
201.0,9.695713
201.5,9.527818
202.0,8.556144
202.5,7.997608
203.0,8.014608
203.5,8.009953
204.0,7.640467
204.5,7.274504
205.0,6.317981
