Wavelength (nm),Transmitance (%)
301.7509, 42.65172
308.6184, 45.10010
313.7691, 48.06612
318.9198, 50.57035
324.0704, 52.84599
329.2211, 55.09045
334.3718, 57.21022
339.5224, 59.23647
345.5315, 61.51990
352.3991, 63.90464
359.2666, 66.14910
366.1342, 68.34680
373.8602, 70.53983
382.4446, 72.80300
391.0291, 74.86042
400.4720, 76.97395
411.6317, 79.15162
423.6499, 81.24912
437.3850, 83.37483
453.6955, 85.54032
471.7228, 87.54163
490.6086, 89.30999
509.4944, 90.75529
528.3801, 92.01355
547.2659, 93.05076
565.4649, 93.90281
585.0374, 94.65759
603.9232, 95.29522
622.8090, 95.89318
641.6947, 96.30693
660.5805, 96.70651
679.4663, 97.12310
698.3521, 97.36965
717.2378, 97.66721
736.1236, 97.87976
754.3226, 98.10930
773.8951, 98.24533
792.7809, 98.41537
811.6667, 98.60240
830.5525, 98.76394
849.4382, 98.78944
868.3240, 98.90847
887.2098, 98.99349
906.0955, 99.13801
924.9813, 99.20603
943.8671, 99.32505
962.7528, 99.32505
981.6386, 99.32505
1000.524, 99.34206
1019.410, 99.38457
1038.296, 99.48703
1050.314, 99.48882
