Wavelength (nm),Transmitance (%)
410.00,90.62
420.00,90.57
430.00,90.50
440.00,90.50
450.00,90.52
460.00,90.61
470.00,90.72
480.00,90.73
490.00,90.67
500.00,90.67
510.00,90.73
520.00,90.80
530.00,90.95
540.00,91.05
550.00,91.10
560.00,91.15
570.00,91.06
580.00,90.95
590.00,90.99
600.00,91.09
610.00,91.17
620.00,91.18
630.00,91.14
640.00,91.13
650.00,91.10
660.00,91.09
670.00,91.16
680.00,91.24
690.00,91.22
700.00,91.12
710.00,91.05
720.00,91.12
730.00,91.23
740.00,91.31
750.00,91.36
760.00,91.34
770.00,91.24
780.00,91.04
790.00,90.96
800.00,91.01
810.00,91.02
820.00,91.03
830.00,91.07
840.00,90.99
850.00,90.99
860.00,91.26
870.00,91.62
880.00,91.86
890.00,91.85
900.00,91.77
910.00,91.71
920.00,91.73
930.00,91.82
940.00,91.90
950.00,91.98
960.00,92.06
970.00,92.14
980.00,92.09
990.00,91.98
1000.00,91.91
1010.00,91.79
1020.00,91.76
1030.00,91.83
1040.00,91.90
1050.00,92.00
1060.00,92.10
1070.00,92.15
1080.00,92.14
