Wavelength (nm),Transmitance (%)
270,0.27
290,0.09
304.86,2.6
310,7.68
330,17.85
350,24.39
370,32.6
390,40.63
410,48.51
430,53.88
450,57.86
470,61.69
490,64.68
510,67
530,67.82
550,68.2
570,68.33
590,68.6
610,68.98
630,69.62
650,70.73
670,71.53
690,72.49
710,73.53
730,74.07
750,74.14
770,74.09
790,75.03
810,74.9
830,76.46
850,77.5
870,78.53
890,79.34
910,80.39
930,81.05
950,81.46
970,81.73
990,81.95
1010,82.1
1030,82.2
1050,82.54
1070,82.63
1090,82.87
1110,82.74
1130,82.45
1150,81.24
1170,79.6
1190,80.62
1210,81.7
1230,82.31
1250,82.79
1270,83.24
1290,83.53
1310,83.42
1330,82.89
1350,80.78
1370,79.43
1390,80.02
1410,79.84
1430,79.88
1450,80
1470,80.47
1490,81.22
1510,81.86
1530,81.96
1550,82.1
1570,82.29
1590,82.63
1610,82.87
1630,82.32
1650,79.08
1670,74.46
1676.69,72.19
1690,72.47
1710,71.88
1730,75.14
1750,78.03
1770,78.2
1790,78.68
1810,79.15
1830,80.11
1850,80.14
1870,79.14
1890,78.21
1910,78.21
1930,78.74
1950,79.27
1970,79.36
1990,77.6
2010,75.37
2030,75.48
2050,75.98
2070,75.6
2090,74.11
2110,73.75
2130,73.73
2152.64,72.12
2170,67.57
2197.26,63.66
2210.11,57.73
2216.6,53.31
2230,46.94
2244.06,39.57
2258.96,36.61
2270.66,39.51
2283.4,43.25
2310,45.04
2330,47.54
2350,47.91
2370,47.82
2390,47.2
2410,44.22
2430,44.16
2450,44.86
2470,45.96
2490,49.13
2510,51.88
2530,52.33
2550,51.76
2570,51.36
2590,51.94
2610,49.85
2624.03,43.16
2630,37.26
2643.4,23.83
2645.82,16.16
