Wavelength,Transmission
(nm),(%)
400,95.62
424,95.64
448,95.68
472,95.73
496,95.73
520,95.75
544,95.77
568,95.77
592,95.82
616,95.82
640,95.82
664,95.82
688,95.86
712,95.86
736,95.86
760,95.86
784,95.86
808,95.86
832,95.86
856,95.91
880,95.91
904,95.91
928,95.91
952,95.91
976,95.91
1000,95.91
1024,95.91
1048,95.91
1072,95.95
1096,95.95
1120,95.95
1144,95.95
1168,95.95
1192,95.95
1216,95.95
1240,95.95
1264,95.95
1288,95.95
1312,95.95
1336,95.95
1360,96
1384,96
1408,96
1432,96
1456,96
1480,96
1504,96
1528,96
1552,96
1576,96
1600,95.99
